theta,rho,detJ
-6.283185307179586,-6.283185307179586,7.389056101191935
-6.283185307179586,-5.621797380108051,7.389056101131958
-6.283185307179586,-4.960409453036515,7.389056100947897
-6.283185307179586,-4.29902152596498,7.389056101099534
-6.283185307179586,-3.6376335988934447,7.389056100737868
-6.283185307179586,-2.9762456718219092,7.389056101151784
-6.283185307179586,-2.314857744750374,7.389056101176487
-6.283185307179586,-1.6534698176788387,7.389056099393367
-6.283185307179586,-0.9920818906073032,7.3890561000878625
-6.283185307179586,-0.33069396353576774,7.38905609989127
-6.283185307179586,0.33069396353576774,7.389056099878105
-6.283185307179586,0.9920818906073032,7.38905610002291
-6.283185307179586,1.6534698176788378,7.389056099823742
-6.283185307179586,2.3148577447503733,7.3890561004046384
-6.283185307179586,2.976245671821909,7.38905610112294
-6.283185307179586,3.6376335988934443,7.3890561011742815
-6.283185307179586,4.29902152596498,7.389056101067584
-6.283185307179586,4.960409453036515,7.389056101093585
-6.283185307179586,5.621797380108051,7.38905610110213
-6.283185307179586,6.283185307179586,7.389056101191935
-5.621797380108051,-6.283185307179586,1.8139060365621236
-5.621797380108051,-5.621797380108051,1.8139060360868446
-5.621797380108051,-4.960409453036515,1.8139060363433128
-5.621797380108051,-4.29902152596498,1.8139060361008963
-5.621797380108051,-3.6376335988934447,1.8139060367208997
-5.621797380108051,-2.9762456718219092,1.813906036822011
-5.621797380108051,-2.314857744750374,1.81390603711429
-5.621797380108051,-1.6534698176788387,1.8139060359622434
-5.621797380108051,-0.9920818906073032,1.8139060362590325
-5.621797380108051,-0.33069396353576774,1.8139060358414065
-5.621797380108051,0.33069396353576774,1.8139060357775971
-5.621797380108051,0.9920818906073032,1.8139060359690393
-5.621797380108051,1.6534698176788378,1.8139060356875172
-5.621797380108051,2.3148577447503733,1.813906036014716
-5.621797380108051,2.976245671821909,1.8139060366083064
-5.621797380108051,3.6376335988934443,1.8139060368209452
-5.621797380108051,4.29902152596498,1.8139060365941744
-5.621797380108051,4.960409453036515,1.8139060364798076
-5.621797380108051,5.621797380108051,1.813906036211292
-5.621797380108051,6.283185307179586,1.8139060364562714
-4.960409453036515,-6.283185307179586,-6.498480886972738
-4.960409453036515,-5.621797380108051,-6.498480887160491
-4.960409453036515,-4.960409453036515,-6.498480887370013
-4.960409453036515,-4.29902152596498,-6.498480887360868
-4.960409453036515,-3.6376335988934447,-6.498480887173355
-4.960409453036515,-2.9762456718219092,-6.498480887311897
-4.960409453036515,-2.314857744750374,-6.498480887381596
-4.960409453036515,-1.6534698176788387,-6.498480885716055
-4.960409453036515,-0.9920818906073032,-6.498480886582689
