theta,phi,detJ
-6.283185307179586,-6.283185307179586,7.389056101191935
-6.283185307179586,-5.621797380108051,1.8139060365621245
-6.283185307179586,-4.960409453036515,-6.4984808869727395
-6.283185307179586,-4.29902152596498,-5.00447152904036
-6.283185307179586,-3.6376335988934447,4.04143062450492
-6.283185307179586,-2.9762456718219092,6.988696660262601
-6.283185307179586,-2.314857744750374,-0.6101834164442494
-6.283185307179586,-1.6534698176788387,-7.2882790051098
-6.283185307179586,-0.9920818906073032,-2.9681500279008013
-6.283185307179586,-0.33069396353576774,5.8310034945956275
-6.283185307179586,0.33069396353576774,5.831003494609102
-6.283185307179586,0.9920818906073032,-2.968150027946753
-6.283185307179586,1.6534698176788378,-7.288279005533325
-6.283185307179586,2.3148577447503733,-0.6101834163852127
-6.283185307179586,2.976245671821909,6.988696660320183
-6.283185307179586,3.6376335988934443,4.0414306248080045
-6.283185307179586,4.29902152596498,-5.004471529028165
-6.283185307179586,4.960409453036515,-6.498480887106831
-6.283185307179586,5.621797380108051,1.8139060364562725
-6.283185307179586,6.283185307179586,7.389056101191935
-5.621797380108051,-6.283185307179586,7.389056101131958
-5.621797380108051,-5.621797380108051,1.8139060360868444
-5.621797380108051,-4.960409453036515,-6.498480887160491
-5.621797380108051,-4.29902152596498,-5.004471528332947
-5.621797380108051,-3.6376335988934447,4.041430625605378
-5.621797380108051,-2.9762456718219092,6.988696659910438
-5.621797380108051,-2.314857744750374,-0.6101834168043483
-5.621797380108051,-1.6534698176788387,-7.288279004593699
-5.621797380108051,-0.9920818906073032,-2.968150027671514
-5.621797380108051,-0.33069396353576774,5.831003494057653
-5.621797380108051,0.33069396353576774,5.831003494396379
-5.621797380108051,0.9920818906073032,-2.9681500278322113
-5.621797380108051,1.6534698176788378,-7.288279004107215
-5.621797380108051,2.3148577447503733,-0.6101834165414758
-5.621797380108051,2.976245671821909,6.988696660260121
-5.621797380108051,3.6376335988934443,4.041430624705309
-5.621797380108051,4.29902152596498,-5.004471528327666
-5.621797380108051,4.960409453036515,-6.498480886439512
-5.621797380108051,5.621797380108051,1.8139060362112924
-5.621797380108051,6.283185307179586,7.38905610110213
-4.960409453036515,-6.283185307179586,7.389056100947897
-4.960409453036515,-5.621797380108051,1.8139060363433128
-4.960409453036515,-4.960409453036515,-6.498480887370013
-4.960409453036515,-4.29902152596498,-5.004471529062973
-4.960409453036515,-3.6376335988934447,4.041430624882362
-4.960409453036515,-2.9762456718219092,6.988696660157417
-4.960409453036515,-2.314857744750374,-0.6101834163964824
-4.960409453036515,-1.6534698176788387,-7.288279005259716
-4.960409453036515,-0.9920818906073032,-2.9681500281564768
-4.960409453036515,-0.33069396353576774,5.831003494692644
-4.960409453036515,0.33069396353576774,5.831003494650977
-4.960409453036515,0.9920818906073032,-2.9681500283649545
-4.960409453036515,1.6534698176788378,-7.288279005480683
-4.960409453036515,2.3148577447503733,-0.6101834166486753
-4.960409453036515,2.976245671821909,6.988696660484891
-4.960409453036515,3.6376335988934443,4.041430625301603
-4.960409453036515,4.29902152596498,-5.004471528863662
-4.960409453036515,4.960409453036515,-6.498480887393858
-4.960409453036515,5.621797380108051,1.813906036479807
-4.960409453036515,6.283185307179586,7.389056101093585
-4.29902152596498,-6.283185307179586,7.389056101099534
-4.29902152596498,-5.621797380108051,1.8139060361008963
-4.29902152596498,-4.960409453036515,-6.498480887360869
-4.29902152596498,-4.29902152596498,-5.004471529208843
-4.29902152596498,-3.6376335988934447,4.041430625280759
-4.29902152596498,-2.9762456718219092,6.988696660244802
-4.29902152596498,-2.314857744750374,-0.6101834167881149
-4.29902152596498,-1.6534698176788387,-7.288279005903552
-4.29902152596498,-0.9920818906073032,-2.9681500281408018
-4.29902152596498,-0.33069396353576774,5.8310034946754605
-4.29902152596498,0.33069396353576774,5.8310034948703064
-4.29902152596498,0.9920818906073032,-2.9681500280140765
-4.29902152596498,1.6534698176788378,-7.2882790054349975
-4.29902152596498,2.3148577447503733,-0.6101834167766744
-4.29902152596498,2.976245671821909,6.988696660635749
-4.29902152596498,3.6376335988934443,4.041430624836837
-4.29902152596498,4.29902152596498,-5.00447152944541
-4.29902152596498,4.960409453036515,-6.49848088700011
-4.29902152596498,5.621797380108051,1.8139060365941735
-4.29902152596498,6.283185307179586,7.389056101067584
-3.6376335988934447,-6.283185307179586,7.389056100737868
-3.6376335988934447,-5.621797380108051,1.8139060367208986
-3.6376335988934447,-4.960409453036515,-6.498480887173356
-3.6376335988934447,-4.29902152596498,-5.004471529710297
-3.6376335988934447,-3.6376335988934447,4.041430624684222
-3.6376335988934447,-2.9762456718219092,6.988696661042304
-3.6376335988934447,-2.314857744750374,-0.6101834166847961
-3.6376335988934447,-1.6534698176788387,-7.288279005710659
-3.6376335988934447,-0.9920818906073032,-2.968150027918775
-3.6376335988934447,-0.33069396353576774,5.831003495011111
-3.6376335988934447,0.33069396353576774,5.831003494827538
-3.6376335988934447,0.9920818906073032,-2.9681500284779876
-3.6376335988934447,1.6534698176788378,-7.288279005674913
-3.6376335988934447,2.3148577447503733,-0.6101834165332374
-3.6376335988934447,2.976245671821909,6.988696660543682
-3.6376335988934447,3.6376335988934443,4.041430625195982
-3.6376335988934447,4.29902152596498,-5.004471529565749
-3.6376335988934447,4.960409453036515,-6.498480887410021
-3.6376335988934447,5.621797380108051,1.813906036417656
-3.6376335988934447,6.283185307179586,7.389056100661687
-2.9762456718219092,-6.283185307179586,7.3890561011517875
-2.9762456718219092,-5.621797380108051,1.8139060368220115
-2.9762456718219092,-4.960409453036515,-6.498480887311897
-2.9762456718219092,-4.29902152596498,-5.004471529303831
-2.9762456718219092,-3.6376335988934447,4.041430625042981
-2.9762456718219092,-2.9762456718219092,6.988696660744258
-2.9762456718219092,-2.314857744750374,-0.6101834165018601
-2.9762456718219092,-1.6534698176788387,-7.288279004909592
-2.9762456718219092,-0.9920818906073032,-2.968150027941698
-2.9762456718219092,-0.33069396353576774,5.831003494113548
-2.9762456718219092,0.33069396353576774,5.8310034940030295
