theta,rho,detJ
-6.283185307179586,-6.283185307179586,7.241766926572127
-6.283185307179586,-5.621797380108051,7.241766926469047
-6.283185307179586,-4.960409453036515,7.241766926360072
-6.283185307179586,-4.29902152596498,7.241766926436583
-6.283185307179586,-3.6376335988934447,7.241766926075275
-6.283185307179586,-2.9762456718219092,7.241766926562704
-6.283185307179586,-2.314857744750374,7.241766926479564
-6.283185307179586,-1.6534698176788387,7.241766924803752
-6.283185307179586,-0.9920818906073032,7.241766925471782
-6.283185307179586,-0.33069396353576774,7.241766925233635
-6.283185307179586,0.33069396353576774,7.241766925229643
-6.283185307179586,0.9920818906073032,7.241766925535597
-6.283185307179586,1.6534698176788378,7.241766925235955
-6.283185307179586,2.3148577447503733,7.241766925811493
-6.283185307179586,2.976245671821909,7.24176692651013
-6.283185307179586,3.6376335988934443,7.241766926582559
-6.283185307179586,4.29902152596498,7.241766926478961
-6.283185307179586,4.960409453036515,7.241766926463339
-6.283185307179586,5.621797380108051,7.241766926497524
-6.283185307179586,6.283185307179586,7.241766926572127
-5.621797380108051,-6.283185307179586,7.241766926469047
-5.621797380108051,-5.621797380108051,7.241766926684918
-5.621797380108051,-4.960409453036515,7.241766926306409
-5.621797380108051,-4.29902152596498,7.241766925698197
-5.621797380108051,-3.6376335988934447,7.241766926786495
-5.621797380108051,-2.9762456718219092,7.241766926463489
-5.621797380108051,-2.314857744750374,7.241766926082289
-5.621797380108051,-1.6534698176788387,7.2417669249118335
-5.621797380108051,-0.9920818906073032,7.241766926317742
-5.621797380108051,-0.33069396353576774,7.241766924878749
-5.621797380108051,0.33069396353576774,7.2417669250866386
-5.621797380108051,0.9920818906073032,7.241766926139133
-5.621797380108051,1.6534698176788378,7.241766924653052
-5.621797380108051,2.3148577447503733,7.241766926798449
-5.621797380108051,2.976245671821909,7.241766926528393
-5.621797380108051,3.6376335988934443,7.241766926026482
-5.621797380108051,4.29902152596498,7.241766926652996
-5.621797380108051,4.960409453036515,7.241766927139501
-5.621797380108051,5.621797380108051,7.241766925417051
