success,m,omega,r_max
True,0.048536194370890816,0.1,20.0
True,0.08707955855513291,0.1,28.88888888888889
True,0.11071586284266607,0.1,37.77777777777778
True,0.1316883262136163,0.1,46.66666666666667
True,0.15952205625772836,0.1,55.55555555555556
True,0.18542482918610023,0.1,64.44444444444444
True,0.20568416051283617,0.1,73.33333333333334
True,0.22782490806930214,0.1,82.22222222222223
True,0.2523736501006894,0.1,91.11111111111111
True,0.27342126786134924,0.1,100.0
True,0.10759299008694824,0.5,20.0
True,0.1916171064529676,0.5,28.88888888888889
True,0.24115882385738588,0.5,37.77777777777778
True,0.2820877254071629,0.5,46.66666666666667
True,0.3361974199575039,0.5,55.55555555555556
True,0.38639185210827987,0.5,64.44444444444444
True,0.4240199144154037,0.5,73.33333333333334
True,0.4638937954337166,0.5,82.22222222222223
True,0.5082557103747724,0.5,91.11111111111111
True,0.5456511589709082,0.5,100.0
True,0.2893973186060473,1.0,20.0
True,0.5079517821493581,1.0,28.88888888888889
True,0.6278241288654917,1.0,37.77777777777778
True,0.707695387160337,1.0,46.66666666666667
True,0.8102851008036321,1.0,55.55555555555556
True,0.9091614457009864,1.0,64.44444444444444
True,0.9782814583630749,1.0,73.33333333333334
True,1.0445534501984077,1.0,82.22222222222223
True,1.1199015908135432,1.0,91.11111111111111
True,1.1836122012581578,1.0,100.0
True,0.7724297351692752,1.5,20.0
True,1.3520762845738703,1.5,28.88888888888889
True,1.6764156307385303,1.5,37.77777777777778
True,1.8236999966272387,1.5,46.66666666666667
True,1.9568759598064476,1.5,55.55555555555556
True,2.113416742698611,1.5,64.44444444444444
True,2.230215497748862,1.5,73.33333333333334
True,2.3155915615087412,1.5,82.22222222222223
True,2.4108700446365288,1.5,91.11111111111111
True,2.5033969685001085,1.5,100.0
True,2.0849460725130005,2.0,20.0
True,3.9743860472622363,2.0,28.88888888888889
True,5.640206968055792,2.0,37.77777777777778
True,6.77811268073881,2.0,46.66666666666667
True,7.349928524602191,2.0,55.55555555555556
True,7.581045217215944,2.0,64.44444444444444
True,7.7381720527750995,2.0,73.33333333333334
True,7.913975567682887,2.0,82.22222222222223
True,8.046393171209617,2.0,91.11111111111111
True,8.143007993689718,2.0,100.0
