success,reason,m,r,omega,A0_base
True,completed,0.00996170334741857,20.00010000000033,0.0,0.01
True,completed,0.03976236074613077,20.00010000000033,0.0,0.02
True,completed,0.08916516462783983,20.00010000000033,0.0,0.03
True,completed,0.1578265054134909,20.00010000000033,0.0,0.04
True,completed,0.24535990205135327,20.00010000000033,0.0,0.05
True,completed,0.35140518172497454,20.00010000000033,0.0,0.060000000000000005
True,completed,0.47569146800230977,20.00010000000033,0.0,0.06999999999999999
True,completed,0.618086754534871,20.00010000000033,0.0,0.08
True,completed,0.7786314209080184,20.00010000000033,0.0,0.09
True,completed,0.9575564636654794,20.00010000000033,0.0,0.09999999999999999
True,completed,1.155288961362053,20.00010000000033,0.0,0.11
True,completed,1.3724476195826525,20.00010000000033,0.0,0.12
True,completed,1.609830715411199,20.00010000000033,0.0,0.13
True,completed,1.8683979325993023,20.00010000000033,0.0,0.14
True,completed,2.149246849627683,20.00010000000033,0.0,0.15000000000000002
True,completed,2.4535844512129374,20.00010000000033,0.0,0.16
True,completed,2.7826940844700845,20.00010000000033,0.0,0.17
True,completed,3.1378987651216126,20.00010000000033,0.0,0.18000000000000002
True,completed,3.5205225340640824,20.00010000000033,0.0,0.19
True,completed,3.9318524328932645,20.00010000000033,0.0,0.2
True,completed,0.015171589302010954,20.00010000000033,0.21052631578947367,0.01
True,completed,0.06049372715124676,20.00010000000033,0.21052631578947367,0.02
True,completed,0.13544512545575377,20.00010000000033,0.21052631578947367,0.03
True,completed,0.2393251502707588,20.00010000000033,0.21052631578947367,0.04
True,completed,0.37144630873187073,20.00010000000033,0.21052631578947367,0.05
True,completed,0.5313173048622087,20.00010000000033,0.21052631578947367,0.060000000000000005
True,completed,0.7187819227278301,20.00010000000033,0.21052631578947367,0.06999999999999999
True,completed,0.9341023488608857,20.00010000000033,0.21052631578947367,0.08
True,completed,1.177992139540793,20.00010000000033,0.21052631578947367,0.09
True,completed,1.4516104429648724,20.00010000000033,0.21052631578947367,0.09999999999999999
True,completed,1.7565280825484664,20.00010000000033,0.21052631578947367,0.11
True,completed,2.0946721084104314,20.00010000000033,0.21052631578947367,0.12
True,completed,2.468251854262302,20.00010000000033,0.21052631578947367,0.13
True,completed,2.8796682737208603,20.00010000000033,0.21052631578947367,0.14
True,completed,3.3314099272431132,20.00010000000033,0.21052631578947367,0.15000000000000002
True,completed,3.8259428347501867,20.00010000000033,0.21052631578947367,0.16
True,completed,4.36560576191343,20.00010000000033,0.21052631578947367,0.17
True,completed,4.952524886755753,20.00010000000033,0.21052631578947367,0.18000000000000002
True,completed,5.588560035122565,20.00010000000033,0.21052631578947367,0.19
True,completed,6.275288358213465,20.00010000000033,0.21052631578947367,0.2
True,completed,0.023101762214736955,20.00010000000033,0.42105263157894735,0.01
True,completed,0.09197164449283506,20.00010000000033,0.42105263157894735,0.02
True,completed,0.20549388433198945,20.00010000000033,0.42105263157894735,0.03
True,completed,0.36234470713173295,20.00010000000033,0.42105263157894735,0.04
True,completed,0.5615300210736492,20.00010000000033,0.42105263157894735,0.05
True,completed,0.8028056398804312,20.00010000000033,0.42105263157894735,0.060000000000000005
True,completed,1.0869094677906002,20.00010000000033,0.42105263157894735,0.06999999999999999
True,completed,1.4156241276230477,20.00010000000033,0.42105263157894735,0.08
True,completed,1.7917178134863248,20.00010000000033,0.42105263157894735,0.09
True,completed,2.2188004147997438,20.00010000000033,0.42105263157894735,0.09999999999999999
True,completed,2.701112578585971,20.00010000000033,0.42105263157894735,0.11
True,completed,3.243257376676634,20.00010000000033,0.42105263157894735,0.12
