family,dimension_family,free_variables,held_variables,resolution,sample_count,approx_unique_q_count_8dp,singular_fraction,vacuum_hit_count,sign_flip_hit_count,norm_min,norm_max,R_min,R_max,jac_abs_min,jac_abs_max
periodic_simple,1D,omega,theta|phi|rho,65,65,17,0.0,5,0,0.7046880897187134,1.4190675485932571,0.0,0.0,5.627359598019512e-17,7.091705487861116
periodic_simple,1D,theta,omega|phi|rho,65,65,17,0.0,5,0,1.0,1.0,0.0,2.2,3.081965453180449e-17,3.726800000000001
periodic_simple,1D,phi,omega|theta|rho,65,65,17,0.0,5,0,1.0,1.0,0.0,2.2,3.0819654531804484e-17,3.726800000000001
periodic_simple,1D,rho,omega|theta|phi,65,65,17,0.0,5,0,1.0,1.0,0.0,2.2,3.081965453180449e-17,3.726800000000001
periodic_simple,1D,omega,theta|phi|rho,257,257,65,0.0,5,0,0.7046880897187134,1.4190675485932571,0.0,0.0,5.627359598019512e-17,7.091705487861116
periodic_simple,1D,theta,omega|phi|rho,257,257,65,0.0,5,0,1.0,1.0,0.0,2.2,3.081965453180449e-17,3.726800000000001
periodic_simple,1D,phi,omega|theta|rho,257,257,65,0.0,5,0,1.0,1.0,0.0,2.2,3.0819654531804484e-17,3.726800000000001
periodic_simple,1D,rho,omega|theta|phi,257,257,65,0.0,5,0,1.0,1.0,0.0,2.2,3.081965453180449e-17,3.726800000000001
periodic_simple,1D,omega,theta|phi|rho,1025,1025,257,0.0,5,0,0.7046880897187134,1.4190675485932571,0.0,0.0,5.627359598019512e-17,7.091705487861116
periodic_simple,1D,theta,omega|phi|rho,1025,1025,257,0.0,5,0,1.0,1.0,0.0,2.2,3.081965453180449e-17,3.726800000000001
periodic_simple,1D,phi,omega|theta|rho,1025,1025,257,0.0,5,0,1.0,1.0,0.0,2.2,3.0819654531804484e-17,3.726800000000001
periodic_simple,1D,rho,omega|theta|phi,1025,1025,257,0.0,5,0,1.0,1.0,0.0,2.2,3.081965453180449e-17,3.726800000000001
periodic_simple,2D,omega|theta,phi|rho,33,1089,81,0.0,25,0,0.7046880897187134,1.4190675485932571,0.0,2.2,4.653678188719425e-34,7.091705487861116
periodic_simple,2D,omega|phi,theta|rho,33,1089,81,0.0,25,0,0.7046880897187134,1.4190675485932571,0.0,2.2,4.653678188719425e-34,7.091705487861116
periodic_simple,2D,omega|rho,theta|phi,33,1089,81,0.0,25,0,0.7046880897187134,1.4190675485932571,0.0,2.2,4.653678188719424e-34,7.091705487861116
periodic_simple,2D,theta|phi,omega|rho,33,1089,81,0.0,25,0,1.0,1.0,0.0,3.111269837220809,1.326870082470054e-36,3.726800000000001
periodic_simple,2D,theta|rho,omega|phi,33,1089,81,0.0,25,0,1.0,1.0,0.0,3.111269837220809,1.3268700824700541e-36,3.726800000000001
periodic_simple,2D,phi|rho,omega|theta,33,1089,81,0.0,25,0,1.0,1.0,0.0,3.111269837220809,1.3268700824700541e-36,3.726800000000001
periodic_simple,2D,omega|theta,phi|rho,129,16641,1089,0.0,25,0,0.7046880897187134,1.4190675485932571,0.0,2.2,4.653678188719425e-34,7.091705487861116
periodic_simple,2D,omega|phi,theta|rho,129,16641,1089,0.0,25,0,0.7046880897187134,1.4190675485932571,0.0,2.2,4.653678188719425e-34,7.091705487861116
periodic_simple,2D,omega|rho,theta|phi,129,16641,1089,0.0,25,0,0.7046880897187134,1.4190675485932571,0.0,2.2,4.653678188719424e-34,7.091705487861116
periodic_simple,2D,theta|phi,omega|rho,129,16641,1089,0.0,25,0,1.0,1.0,0.0,3.111269837220809,1.326870082470054e-36,3.726800000000001
periodic_simple,2D,theta|rho,omega|phi,129,16641,1089,0.0,25,0,1.0,1.0,0.0,3.111269837220809,1.3268700824700541e-36,3.726800000000001
periodic_simple,2D,phi|rho,omega|theta,129,16641,1089,0.0,25,0,1.0,1.0,0.0,3.111269837220809,1.3268700824700541e-36,3.726800000000001
periodic_simple,2D,omega|theta,phi|rho,257,66049,4225,0.0,25,0,0.7046880897187134,1.4190675485932571,0.0,2.2,4.653678188719425e-34,7.091705487861116
periodic_simple,2D,omega|phi,theta|rho,257,66049,4225,0.0,25,0,0.7046880897187134,1.4190675485932571,0.0,2.2,4.653678188719425e-34,7.091705487861116
periodic_simple,2D,omega|rho,theta|phi,257,66049,4225,0.0,25,0,0.7046880897187134,1.4190675485932571,0.0,2.2,4.653678188719424e-34,7.091705487861116
periodic_simple,2D,theta|phi,omega|rho,257,66049,4225,0.0,25,0,1.0,1.0,0.0,3.111269837220809,1.326870082470054e-36,3.726800000000001
periodic_simple,2D,theta|rho,omega|phi,257,66049,4225,0.0,25,0,1.0,1.0,0.0,3.111269837220809,1.3268700824700541e-36,3.726800000000001
periodic_simple,2D,phi|rho,omega|theta,257,66049,4225,0.0,25,0,1.0,1.0,0.0,3.111269837220809,1.3268700824700541e-36,3.726800000000001
periodic_simple,3D,theta|phi|rho,omega,17,4913,125,0.0,125,0,1.0,1.0,0.0,3.8105117766515306,2.2661533808706034e-50,3.726800000000001
periodic_simple,3D,omega|phi|rho,theta,17,4913,125,0.0,125,0,0.7046880897187134,1.4190675485932571,0.0,3.111269837220809,2.003535229664269e-53,7.091705487861116
