family,q_hash,class_multiplicity,point_a,point_b,q_a,q_b
periodic_simple,-0.4147097281|-0.0000000000|-0.0000000000|-0.5697377864,16,"(-1.5707963267948966, -3.141592653589793, -3.141592653589793, -1.5707963267948966)","(-1.5707963267948966, -3.141592653589793, -3.141592653589793, 4.71238898038469)","(-0.4147097281159982, -6.977275564093691e-17, -6.977275564093691e-17, -0.5697377863520765)","(-0.4147097281159982, -6.977275564093691e-17, -6.977275564093691e-17, -0.5697377863520765)"
periodic_simple,-0.4147097281|-0.0000000000|-0.0000000000|0.5697377864,16,"(-1.5707963267948966, -3.141592653589793, -3.141592653589793, -4.71238898038469)","(-1.5707963267948966, -3.141592653589793, -3.141592653589793, 1.5707963267948966)","(-0.4147097281159982, -6.977275564093691e-17, -6.977275564093691e-17, 0.5697377863520765)","(-0.4147097281159982, -6.977275564093691e-17, -6.977275564093691e-17, 0.5697377863520765)"
periodic_simple,-0.4147097281|-0.0000000000|-0.4028654522|-0.4028654522,4,"(-1.5707963267948966, -3.141592653589793, -0.7853981633974483, -0.7853981633974483)","(-1.5707963267948966, 6.283185307179586, -0.7853981633974483, -0.7853981633974483)","(-0.4147097281159982, -6.977275564093691e-17, -0.40286545222776565, -0.40286545222776565)","(-0.4147097281159982, -1.3954551128187382e-16, -0.40286545222776565, -0.40286545222776565)"
periodic_simple,-0.4147097281|-0.0000000000|-0.4028654522|0.4028654522,4,"(-1.5707963267948966, -3.141592653589793, -0.7853981633974483, 0.7853981633974483)","(-1.5707963267948966, 6.283185307179586, -0.7853981633974483, 0.7853981633974483)","(-0.4147097281159982, -6.977275564093691e-17, -0.40286545222776565, 0.40286545222776565)","(-0.4147097281159982, -1.3954551128187382e-16, -0.40286545222776565, 0.40286545222776565)"
periodic_simple,-0.4147097281|-0.0000000000|-0.5697377864|-0.0000000000,16,"(-1.5707963267948966, -3.141592653589793, -1.5707963267948966, -3.141592653589793)","(-1.5707963267948966, -3.141592653589793, -1.5707963267948966, 6.283185307179586)","(-0.4147097281159982, -6.977275564093691e-17, -0.5697377863520765, -6.977275564093691e-17)","(-0.4147097281159982, -6.977275564093691e-17, -0.5697377863520765, -1.3954551128187382e-16)"
periodic_simple,-0.4147097281|-0.0000000000|-0.5697377864|0.0000000000,24,"(-1.5707963267948966, -3.141592653589793, -1.5707963267948966, -6.283185307179586)","(-1.5707963267948966, -3.141592653589793, -1.5707963267948966, 0.0)","(-0.4147097281159982, -6.977275564093691e-17, -0.5697377863520765, 1.3954551128187382e-16)","(-0.4147097281159982, -6.977275564093691e-17, -0.5697377863520765, 0.0)"
periodic_simple,-0.4147097281|-0.0000000000|0.0000000000|-0.5697377864,24,"(-1.5707963267948966, -3.141592653589793, -6.283185307179586, -1.5707963267948966)","(-1.5707963267948966, -3.141592653589793, -6.283185307179586, 4.71238898038469)","(-0.4147097281159982, -6.977275564093691e-17, 1.3954551128187382e-16, -0.5697377863520765)","(-0.4147097281159982, -6.977275564093691e-17, 1.3954551128187382e-16, -0.5697377863520765)"
periodic_simple,-0.4147097281|-0.0000000000|0.0000000000|0.5697377864,24,"(-1.5707963267948966, -3.141592653589793, -6.283185307179586, -4.71238898038469)","(-1.5707963267948966, -3.141592653589793, -6.283185307179586, 1.5707963267948966)","(-0.4147097281159982, -6.977275564093691e-17, 1.3954551128187382e-16, 0.5697377863520765)","(-0.4147097281159982, -6.977275564093691e-17, 1.3954551128187382e-16, 0.5697377863520765)"
periodic_simple,-0.4147097281|-0.0000000000|0.4028654522|-0.4028654522,4,"(-1.5707963267948966, -3.141592653589793, 0.7853981633974483, -0.7853981633974483)","(-1.5707963267948966, 6.283185307179586, 0.7853981633974483, -0.7853981633974483)","(-0.4147097281159982, -6.977275564093691e-17, 0.40286545222776565, -0.40286545222776565)","(-0.4147097281159982, -1.3954551128187382e-16, 0.40286545222776565, -0.40286545222776565)"
periodic_simple,-0.4147097281|-0.0000000000|0.4028654522|0.4028654522,4,"(-1.5707963267948966, -3.141592653589793, 0.7853981633974483, 0.7853981633974483)","(-1.5707963267948966, 6.283185307179586, 0.7853981633974483, 0.7853981633974483)","(-0.4147097281159982, -6.977275564093691e-17, 0.40286545222776565, 0.40286545222776565)","(-0.4147097281159982, -1.3954551128187382e-16, 0.40286545222776565, 0.40286545222776565)"
periodic_simple,-0.4147097281|-0.0000000000|0.5697377864|-0.0000000000,16,"(-1.5707963267948966, -3.141592653589793, -4.71238898038469, -3.141592653589793)","(-1.5707963267948966, -3.141592653589793, -4.71238898038469, 6.283185307179586)","(-0.4147097281159982, -6.977275564093691e-17, 0.5697377863520765, -6.977275564093691e-17)","(-0.4147097281159982, -6.977275564093691e-17, 0.5697377863520765, -1.3954551128187382e-16)"
periodic_simple,-0.4147097281|-0.0000000000|0.5697377864|0.0000000000,24,"(-1.5707963267948966, -3.141592653589793, -4.71238898038469, -6.283185307179586)","(-1.5707963267948966, -3.141592653589793, -4.71238898038469, 0.0)","(-0.4147097281159982, -6.977275564093691e-17, 0.5697377863520765, 1.3954551128187382e-16)","(-0.4147097281159982, -6.977275564093691e-17, 0.5697377863520765, 0.0)"
periodic_simple,-0.4147097281|-0.4028654522|-0.0000000000|-0.4028654522,4,"(-1.5707963267948966, -0.7853981633974483, -3.141592653589793, -0.7853981633974483)","(-1.5707963267948966, -0.7853981633974483, 6.283185307179586, -0.7853981633974483)","(-0.4147097281159982, -0.40286545222776565, -6.977275564093691e-17, -0.40286545222776565)","(-0.4147097281159982, -0.40286545222776565, -1.3954551128187382e-16, -0.40286545222776565)"
periodic_simple,-0.4147097281|-0.4028654522|-0.0000000000|0.4028654522,4,"(-1.5707963267948966, -0.7853981633974483, -3.141592653589793, 0.7853981633974483)","(-1.5707963267948966, -0.7853981633974483, 6.283185307179586, 0.7853981633974483)","(-0.4147097281159982, -0.40286545222776565, -6.977275564093691e-17, 0.40286545222776565)","(-0.4147097281159982, -0.40286545222776565, -1.3954551128187382e-16, 0.40286545222776565)"
periodic_simple,-0.4147097281|-0.4028654522|-0.4028654522|-0.0000000000,4,"(-1.5707963267948966, -0.7853981633974483, -0.7853981633974483, -3.141592653589793)","(-1.5707963267948966, -0.7853981633974483, -0.7853981633974483, 6.283185307179586)","(-0.4147097281159982, -0.40286545222776565, -0.40286545222776565, -6.977275564093691e-17)","(-0.4147097281159982, -0.40286545222776565, -0.40286545222776565, -1.3954551128187382e-16)"
periodic_simple,-0.4147097281|-0.4028654522|-0.4028654522|0.0000000000,6,"(-1.5707963267948966, -0.7853981633974483, -0.7853981633974483, -6.283185307179586)","(-1.5707963267948966, -0.7853981633974483, -0.7853981633974483, 0.0)","(-0.4147097281159982, -0.40286545222776565, -0.40286545222776565, 1.3954551128187382e-16)","(-0.4147097281159982, -0.40286545222776565, -0.40286545222776565, 0.0)"
periodic_simple,-0.4147097281|-0.4028654522|0.0000000000|-0.4028654522,6,"(-1.5707963267948966, -0.7853981633974483, -6.283185307179586, -0.7853981633974483)","(-1.5707963267948966, -0.7853981633974483, 0.0, -0.7853981633974483)","(-0.4147097281159982, -0.40286545222776565, 1.3954551128187382e-16, -0.40286545222776565)","(-0.4147097281159982, -0.40286545222776565, 0.0, -0.40286545222776565)"
periodic_simple,-0.4147097281|-0.4028654522|0.0000000000|0.4028654522,6,"(-1.5707963267948966, -0.7853981633974483, -6.283185307179586, 0.7853981633974483)","(-1.5707963267948966, -0.7853981633974483, 0.0, 0.7853981633974483)","(-0.4147097281159982, -0.40286545222776565, 1.3954551128187382e-16, 0.40286545222776565)","(-0.4147097281159982, -0.40286545222776565, 0.0, 0.40286545222776565)"
periodic_simple,-0.4147097281|-0.4028654522|0.4028654522|-0.0000000000,4,"(-1.5707963267948966, -0.7853981633974483, 0.7853981633974483, -3.141592653589793)","(-1.5707963267948966, -0.7853981633974483, 0.7853981633974483, 6.283185307179586)","(-0.4147097281159982, -0.40286545222776565, 0.40286545222776565, -6.977275564093691e-17)","(-0.4147097281159982, -0.40286545222776565, 0.40286545222776565, -1.3954551128187382e-16)"
periodic_simple,-0.4147097281|-0.4028654522|0.4028654522|0.0000000000,6,"(-1.5707963267948966, -0.7853981633974483, 0.7853981633974483, -6.283185307179586)","(-1.5707963267948966, -0.7853981633974483, 0.7853981633974483, 0.0)","(-0.4147097281159982, -0.40286545222776565, 0.40286545222776565, 1.3954551128187382e-16)","(-0.4147097281159982, -0.40286545222776565, 0.40286545222776565, 0.0)"
periodic_simple,-0.4147097281|-0.5697377864|-0.0000000000|-0.0000000000,16,"(-1.5707963267948966, -1.5707963267948966, -3.141592653589793, -3.141592653589793)","(-1.5707963267948966, -1.5707963267948966, -3.141592653589793, 6.283185307179586)","(-0.4147097281159982, -0.5697377863520765, -6.977275564093691e-17, -6.977275564093691e-17)","(-0.4147097281159982, -0.5697377863520765, -6.977275564093691e-17, -1.3954551128187382e-16)"
periodic_simple,-0.4147097281|-0.5697377864|-0.0000000000|0.0000000000,24,"(-1.5707963267948966, -1.5707963267948966, -3.141592653589793, -6.283185307179586)","(-1.5707963267948966, -1.5707963267948966, -3.141592653589793, 0.0)","(-0.4147097281159982, -0.5697377863520765, -6.977275564093691e-17, 1.3954551128187382e-16)","(-0.4147097281159982, -0.5697377863520765, -6.977275564093691e-17, 0.0)"
periodic_simple,-0.4147097281|-0.5697377864|0.0000000000|-0.0000000000,24,"(-1.5707963267948966, -1.5707963267948966, -6.283185307179586, -3.141592653589793)","(-1.5707963267948966, -1.5707963267948966, -6.283185307179586, 6.283185307179586)","(-0.4147097281159982, -0.5697377863520765, 1.3954551128187382e-16, -6.977275564093691e-17)","(-0.4147097281159982, -0.5697377863520765, 1.3954551128187382e-16, -1.3954551128187382e-16)"
