benchmark,resolution,shell_radius,sample_count,log_norm_min,log_norm_max,log_vector_spread
s2_direct_hedgehog_principal_log,33,0.15,7,0.0,2.4240513130486487,2.4240513130486487
s2_direct_hedgehog_principal_log,33,0.3,27,0.0,2.4240513130486487,2.4240513130486487
s2_direct_hedgehog_principal_log,33,0.6,80,1.6556438572257903,2.4240513130486487,2.4240513130486487
s2_direct_hedgehog_principal_log,33,1.2,272,1.1481906850081676,1.746003280435142,1.746003280435142
s2_direct_hedgehog_principal_log,49,0.15,19,0.0,2.651635327336065,2.651635327336065
s2_direct_hedgehog_principal_log,49,0.3,32,2.214297435588181,2.651635327336065,2.651635327336065
s2_direct_hedgehog_principal_log,49,0.6,164,1.757056630371453,2.46191883468155,2.46191883468155
s2_direct_hedgehog_principal_log,49,1.2,548,1.2164911578204194,1.5707963267948966,1.5707963267948966
s2_direct_hedgehog_principal_log,65,0.15,27,0.0,2.7708967535984037,2.7708967535984037
s2_direct_hedgehog_principal_log,65,0.3,80,2.280505119961288,2.7708967535984037,2.7708967535984037
s2_direct_hedgehog_principal_log,65,0.6,272,1.8253709257350412,2.347590407760867,2.347590407760867
s2_direct_hedgehog_principal_log,65,1.2,1052,1.2556316450609286,1.5441772137085,1.5441772137085
