family,dimension_family,free_variables,resolution,sample_count,J_ang_abs_max,formula_abs_error_max,sign_change
periodic_simple,1D,theta,257,257,10.648000000000005,7.105427357601002e-15,True
periodic_simple,1D,phi,257,257,10.648000000000005,7.105427357601002e-15,True
periodic_simple,1D,rho,257,257,10.648000000000005,5.329070518200751e-15,True
periodic_simple,1D,theta,1025,1025,10.648000000000005,7.105427357601002e-15,True
periodic_simple,1D,phi,1025,1025,10.648000000000005,8.881784197001252e-15,True
periodic_simple,1D,rho,1025,1025,10.648000000000005,8.881784197001252e-15,True
periodic_simple,2D,theta|phi,129,16641,10.648000000000005,7.105427357601002e-15,True
periodic_simple,2D,theta|rho,129,16641,10.648000000000005,7.105427357601002e-15,True
periodic_simple,2D,phi|rho,129,16641,10.648000000000005,7.105427357601002e-15,True
periodic_simple,2D,theta|phi,257,66049,10.648000000000005,7.105427357601002e-15,True
periodic_simple,2D,theta|rho,257,66049,10.648000000000005,8.881784197001252e-15,True
periodic_simple,2D,phi|rho,257,66049,10.648000000000005,7.105427357601002e-15,True
periodic_simple,3D,theta|phi|rho,33,35937,10.648000000000005,3.552713678800501e-15,True
periodic_simple,3D,theta|phi|rho,65,274625,10.648000000000005,7.105427357601002e-15,True
periodic_harmonic,1D,theta,257,257,5.44,1.7763568394002505e-15,True
periodic_harmonic,1D,phi,257,257,35.90400000000002,2.1316282072803006e-14,True
periodic_harmonic,1D,rho,257,257,5.44,1.7763568394002505e-15,True
periodic_harmonic,1D,theta,1025,1025,5.44,1.7763568394002505e-15,True
periodic_harmonic,1D,phi,1025,1025,35.90400000000002,2.842170943040401e-14,True
periodic_harmonic,1D,rho,1025,1025,5.44,1.7763568394002505e-15,True
periodic_harmonic,2D,theta|phi,129,16641,35.90400000000002,2.1316282072803006e-14,True
periodic_harmonic,2D,theta|rho,129,16641,5.44,1.7763568394002505e-15,True
periodic_harmonic,2D,phi|rho,129,16641,35.90400000000002,2.1316282072803006e-14,True
periodic_harmonic,2D,theta|phi,257,66049,35.90400000000002,2.4868995751603507e-14,True
periodic_harmonic,2D,theta|rho,257,66049,5.44,2.6645352591003757e-15,True
periodic_harmonic,2D,phi|rho,257,66049,35.90400000000002,2.4868995751603507e-14,True
periodic_harmonic,3D,theta|phi|rho,33,35937,35.90400000000002,1.4210854715202004e-14,True
periodic_harmonic,3D,theta|phi|rho,65,274625,35.90400000000002,1.7763568394002505e-14,True
lifted_chart_linear,1D,theta,257,257,0.12375000000000001,6.938893903907228e-17,False
lifted_chart_linear,1D,phi,257,257,0.12375000000000001,6.938893903907228e-17,False
lifted_chart_linear,1D,rho,257,257,0.12375000000000001,5.551115123125783e-17,False
lifted_chart_linear,1D,theta,1025,1025,0.12375000000000001,8.326672684688674e-17,False
lifted_chart_linear,1D,phi,1025,1025,0.12375000000000001,6.938893903907228e-17,False
lifted_chart_linear,1D,rho,1025,1025,0.12375000000000001,6.938893903907228e-17,False
lifted_chart_linear,2D,theta|phi,129,16641,0.12375000000000001,8.326672684688674e-17,False
lifted_chart_linear,2D,theta|rho,129,16641,0.12375000000000001,6.938893903907228e-17,False
lifted_chart_linear,2D,phi|rho,129,16641,0.12375000000000001,6.938893903907228e-17,False
lifted_chart_linear,2D,theta|phi,257,66049,0.12375000000000001,8.326672684688674e-17,False
lifted_chart_linear,2D,theta|rho,257,66049,0.12375000000000001,9.71445146547012e-17,False
lifted_chart_linear,2D,phi|rho,257,66049,0.12375000000000001,9.71445146547012e-17,False
lifted_chart_linear,3D,theta|phi|rho,33,35937,0.12375000000000001,8.326672684688674e-17,False
lifted_chart_linear,3D,theta|phi|rho,65,274625,0.12375000000000001,8.326672684688674e-17,False
periodic_topology_ready,1D,theta,257,257,42.87500000000001,2.842170943040401e-14,True
periodic_topology_ready,1D,phi,257,257,42.87500000000001,3.552713678800501e-14,True
periodic_topology_ready,1D,rho,257,257,42.87500000000001,2.842170943040401e-14,True
periodic_topology_ready,1D,theta,1025,1025,42.87500000000001,2.842170943040401e-14,True
periodic_topology_ready,1D,phi,1025,1025,42.87500000000001,3.552713678800501e-14,True
periodic_topology_ready,1D,rho,1025,1025,42.87500000000001,3.552713678800501e-14,True
periodic_topology_ready,2D,theta|phi,129,16641,42.87500000000001,2.842170943040401e-14,True
periodic_topology_ready,2D,theta|rho,129,16641,42.87500000000001,2.842170943040401e-14,True
periodic_topology_ready,2D,phi|rho,129,16641,42.87500000000001,2.842170943040401e-14,True
periodic_topology_ready,2D,theta|phi,257,66049,42.87500000000001,3.552713678800501e-14,True
periodic_topology_ready,2D,theta|rho,257,66049,42.87500000000001,3.552713678800501e-14,True
periodic_topology_ready,2D,phi|rho,257,66049,42.87500000000001,3.552713678800501e-14,True
periodic_topology_ready,3D,theta|phi|rho,33,35937,42.87500000000001,1.0658141036401503e-14,True
periodic_topology_ready,3D,theta|phi|rho,65,274625,42.87500000000001,2.1316282072803006e-14,True
