r,a,b,c,d,a_prime,b_prime,c_prime,d_prime,m,Phi,qnorm,ricci,energy_density,radial_pressure,tangential_pressure
0.001,0.01419067548593257,0.014190675485932575,-0.014190675485932572,-0.01419067548593257,0.0,0.0,0.0,0.0,1.6877169784588644e-14,0.0,0.028381350971865144,0.00040505207483012743,4.029127494927692e-06,-4.029127494927692e-06,-4.029127494927692e-06
0.011,0.014190669700826644,0.01419066970082665,-0.014190669700826646,-0.014190669700826644,-2.486162221780085e-07,-2.486162221780086e-07,2.4861622217800865e-07,2.486162221780085e-07,2.2463564499560995e-11,-1.8880352321721425e-09,0.028381339401653292,0.0004050517506562863,4.02912433212089e-06,-4.029124084880787e-06,-4.02912433212089e-06
0.020999999999999998,0.014190663437580539,0.014190663437580544,-0.01419066343758054,-0.014190663437580539,-9.138671465973735e-07,-9.138671465973737e-07,9.138671465973737e-07,9.138671465973735e-07,1.562993928496801e-10,-7.277193692425485e-09,0.02838132687516108,0.0004050514707070987,4.029122320757949e-06,-4.0291189801453525e-06,-4.029122320757949e-06
0.031,0.014190651669279726,0.014190651669279731,-0.014190651669279727,-0.014190651669279726,-1.4303987773093576e-06,-1.4303987773093578e-06,1.4303987773093576e-06,1.4303987773093576e-06,5.027870530127748e-10,-1.605019887810586e-08,0.028381303338559455,0.00040505092035130066,4.029118057155039e-06,-4.029109872992656e-06,-4.029118057155039e-06
0.041,0.01419063490807349,0.014190634908073495,-0.014190634908073492,-0.01419063490807349,-1.919520693433556e-06,-1.9195206934335568e-06,1.9195206934335564e-06,1.919520693433556e-06,1.1631886271308323e-09,-2.8200421922922043e-08,0.028381269816146984,0.00040505012784191447,4.029111812437285e-06,-4.029097074199352e-06,-4.029111812437285e-06
0.051000000000000004,0.014190613304721867,0.014190613304721872,-0.014190613304721869,-0.014190613304721867,-2.4003113656053234e-06,-2.4003113656053242e-06,2.400311365605324e-06,2.4003113656053234e-06,2.238765350272114e-09,-4.372659961153937e-08,0.028381226609443738,0.0004050491028739884,4.029103693827451e-06,-4.029080647850867e-06,-4.029103693827451e-06
0.061000000000000006,0.014190586912582733,0.014190586912582738,-0.014190586912582735,-0.014190586912582733,-2.8777418094757987e-06,-2.8777418094758e-06,2.8777418094757995e-06,2.8777418094757987e-06,3.8307773484006e-09,-6.26283202790111e-08,0.02838117382516547,0.0004050478489536863,4.029093740754292e-06,-4.029060615166765e-06,-4.029093740754292e-06
0.07100000000000001,0.014190555755106976,0.014190555755106981,-0.014190555755106977,-0.014190555755106976,-3.3535610496368434e-06,-3.3535610496368447e-06,3.3535610496368443e-06,3.3535610496368434e-06,6.04048336863116e-09,-8.490538215450788e-08,0.028381111510213955,0.00040504636763313406,4.029081970759199e-06,-4.029036985279998e-06,-4.029081970759199e-06
0.081,0.014190519844199202,0.014190519844199207,-0.014190519844199204,-0.014190519844199202,-3.828511678391408e-06,-3.82851167839141e-06,3.828511678391409e-06,3.828511678391408e-06,8.969140509001359e-09,-1.1055764591038143e-07,0.028381039688398408,0.00040504465970312136,4.0290683927938255e-06,-4.029009762800123e-06,-4.0290683927938255e-06
0.091,0.014190479186547474,0.01419047918654748,-0.014190479186547476,-0.014190479186547474,-4.3029523981119986e-06,-4.302952398112e-06,4.302952398111999e-06,4.3029523981119986e-06,1.2718003948175179e-08,-1.3958498995961615e-07,0.028380958373094952,0.0004050427256091279,4.029053011900848e-06,-4.028978950324188e-06,-4.029053011900848e-06
0.10099999999999999,0.01419043378620372,0.014190433786203726,-0.014190433786203722,-0.01419043378620372,-4.777073614362128e-06,-4.77707361436213e-06,4.777073614362129e-06,4.777073614362128e-06,1.738832667513566e-08,-1.7198729415856353e-07,0.028380867572407445,0.00040504056562182874,4.029035831140163e-06,-4.028944549442325e-06,-4.029035831140163e-06
0.11099999999999999,0.014190383645771515,0.01419038364577152,-0.014190383645771517,-0.014190383645771515,-5.2509839459876555e-06,-5.250983945987658e-06,5.250983945987656e-06,5.2509839459876555e-06,2.3081359218879e-08,-2.0776443302061738e-07,0.028380767291543034,0.00040503817991580045,4.0290168524799395e-06,-4.028906561196204e-06,-4.0290168524799395e-06
