r,a,b,c,d,a_prime,b_prime,c_prime,d_prime,m,Phi,qnorm,ricci,energy_density,radial_pressure,tangential_pressure
0.001,0.0057030848759468235,0.03049309373328736,-0.005703084875946816,0.00961424005067809,0.0,0.0,0.0,0.0,2.2785005076120114e-14,0.0,0.03297442541400256,0.0005468401218268827,5.439519279357665e-06,-5.439519279357665e-06,-5.439519279357665e-06
0.011,0.005703082550449917,0.03049308129938594,-0.0057030825504499096,0.009614236130363737,-9.993875096193536e-08,-5.343497014261117e-07,9.993875096193519e-08,-1.684763883079093e-07,3.032691132758944e-11,-2.5489399519745377e-09,0.03297441196831029,0.0005468396840158106,5.439515007842749e-06,-5.439514673953345e-06,-5.439515007842749e-06
0.020999999999999998,0.005703080032750209,0.03049306783781999,-0.005703080032750201,0.009614231886034589,-3.673563216702015e-07,-1.964170443517272e-06,3.6735632167020097e-07,-6.192879708957652e-07,2.1101182865263664e-10,-9.824567604159089e-09,0.03297439741132875,0.0005468393059265481,5.439512291293048e-06,-5.439507779908682e-06,-5.439512291293048e-06
0.031,0.0057030753021285584,0.030493042544265263,-0.005703075302128551,0.009614223911169558,-5.749917130488266e-07,-3.074349511403769e-06,5.749917130488258e-07,-9.69318969759197e-07,6.787871245563899e-10,-2.1668553982650453e-08,0.032974370059547356,0.00054683856263826,5.439506532930293e-06,-5.439495480495653e-06,-5.439506532930293e-06
0.041,0.005703068564458702,0.03049300651948167,-0.005703068564458695,0.009614212552829855,-7.716089512709613e-07,-4.125617028037436e-06,7.716089512709602e-07,-1.300775605507605e-06,1.5703615645872706e-09,-3.807194986212029e-08,0.032974331103298775,0.0005468374923079309,5.439498098922033e-06,-5.439478195429773e-06,-5.439498098922033e-06
0.051000000000000004,0.005703059880343115,0.03049296008749681,-0.005703059880343107,0.00961419791317891,-9.648772012494527e-07,-5.158978268568534e-06,9.648772012494515e-07,-1.6265865288737406e-06,3.022442770252796e-09,-5.9033049935649616e-08,0.032974280892977874,0.0005468361080290479,5.439487134075503e-06,-5.439456011262653e-06,-5.439487134075503e-06
0.061000000000000006,0.005703049271230537,0.03049290336299221,-0.005703049271230529,0.009614180028374936,-1.1567947131285718e-06,-6.185117420638877e-06,1.1567947131285701e-06,-1.9501203827914212e-06,5.171736865125486e-09,-8.455129855773983e-08,0.03297421955259823,0.0005468344145367944,5.4394736916402e-06,-5.439428956652754e-06,-5.4394736916402e-06
0.07100000000000001,0.005703036746547685,0.030492836396370373,-0.005703036746547677,0.009614158914309457,-1.3480645610842755e-06,-7.207793661468379e-06,1.3480645610842734e-06,-2.2725624071874786e-06,8.154948110530592e-09,-1.1462642347686394e-07,0.03297414713666378,0.0005468324139273581,5.439457795306159e-06,-5.439397043934632e-06,-5.439457795306159e-06
0.081,0.005703022311079889,0.030492759213217365,-0.005703022311079881,0.009614134579049567,-1.53898525364037e-06,-8.228603048032278e-06,1.5389852536403677e-06,-2.5944158266618403e-06,1.2108778540581018e-08,-1.4925823676945982e-07,0.03297406367284261,0.0005468301072687169,5.439439457162767e-06,-5.4393602793336145e-06,-5.439439457162767e-06
0.091,0.00570300596751552,0.030492671827907294,-0.005703005967515512,0.00961410702712731,-1.7297009832461522e-06,-9.248316544460984e-06,1.7297009832461497e-06,-2.9159237203289135e-06,1.716992759712029e-08,-1.8844657448928936e-07,0.03297396917667852,0.0005468274951624949,5.439418684020233e-06,-5.4393186663569426e-06,-5.439418684020233e-06
