r,w,theta,phi,rho,w_prime,theta_prime,phi_prime,rho_prime,m,Phi,qnorm,ricci,energy_density,radial_pressure,tangential_pressure,kinetic_density,directional_potential
0.001,-3.412023005428146,2.891592653589793,-1.8207963267948966,1.8207963267948966,0.0,0.0,0.0,0.0,2.2785005076120114e-14,0.0,0.03297442541400256,0.0005468401218268827,5.439519279357665e-06,-5.439519279357665e-06,-5.439519279357665e-06,0.0,0.0
0.011,-3.412023413189409,2.891592653589793,-1.8207963267948966,1.8207963267948966,-1.752370732748274e-05,0.0,0.0,0.0,3.0326911327624696e-11,-2.548939951971229e-09,0.032974411968311954,0.0005468396840159328,5.43951500784463e-06,-5.4395146739525635e-06,-5.43951500784463e-06,3.3389206756498177e-13,0.0
0.020999999999999998,-3.412023854652796,2.891592653589793,-1.8207963267948966,1.8207963267948966,-6.441369287742183e-05,0.0,0.0,0.0,2.110118286525924e-10,-9.824567604147588e-09,0.03297439741131957,0.00054683930592632,5.439512291291541e-06,-5.4395077799041295e-06,-5.439512291291541e-06,4.511387502192857e-12,0.0
0.031,-3.4120246841386876,2.891592653589793,-1.8207963267948966,1.8207963267948966,-0.00010082135348306956,0.0,0.0,0.0,6.787871245560832e-10,-2.166855398262356e-08,0.03297437005953348,0.0005468385626378554,5.439506532926825e-06,-5.439495480489958e-06,-5.439506532926825e-06,1.105243735050309e-11,0.0
0.041,-3.412025865549401,2.891592653589793,-1.8207963267948966,1.8207963267948966,-0.00013529716082459788,0.0,0.0,0.0,1.5703615645862562e-09,-3.807194986207051e-08,0.03297433110328244,0.0005468374923074323,5.439498098917506e-06,-5.439478195423517e-06,-5.439498098917506e-06,1.9903495512907813e-11,0.0
0.051000000000000004,-3.4120273882599137,2.891592653589793,-1.8207963267948966,1.8207963267948966,-0.0001691858832543693,0.0,0.0,0.0,3.022442770250419e-09,-5.903304993556986e-08,0.03297428089296005,0.0005468361080284916,5.439487134070323e-06,-5.439456011256063e-06,-5.439487134070323e-06,3.112281794857723e-11,0.0
0.061000000000000006,-3.412029248510874,2.891592653589793,-1.8207963267948966,1.8207963267948966,-0.00020283793345245838,0.0,0.0,0.0,5.171736865120888e-09,-8.455129855762321e-08,0.0329742195525794,0.0005468344145361995,5.439473691634581e-06,-5.439428956645942e-06,-5.439473691634581e-06,4.473499622410771e-11,0.0
0.07100000000000001,-3.4120314446512428,2.891592653589793,-1.8207963267948966,1.8207963267948966,-0.00023637662397893374,0.0,0.0,0.0,8.154948110522711e-09,-1.1462642347670367e-07,0.03297414713664423,0.0005468324139267356,5.439457795300225e-06,-5.439397043927663e-06,-5.439457795300225e-06,6.07513865183269e-11,0.0
0.081,-3.4120339758441496,2.891592653589793,-1.8207963267948966,1.8207963267948966,-0.0002698543296177493,0.0,0.0,0.0,1.2108778540568592e-08,-1.4925823676924918e-07,0.032974063672822525,0.0005468301072680731,5.439439457156592e-06,-5.439360279326523e-06,-5.439439457156592e-06,7.917785374239247e-11,0.0
0.091,-3.4120368416207447,2.891592653589793,-1.8207963267948966,1.8207963267948966,-0.0003032963669024686,0.0,0.0,0.0,1.7169927597101855e-08,-1.884465744890216e-07,0.032973969176658006,0.000546827495161835,5.439418684013873e-06,-5.43931866634976e-06,-5.439418684013873e-06,1.0001770185600706e-10,0.0
