r,a,b,c,d,m,R
0.0101,4.038200483774427e-18,0.03297440932835475,2.0191002418872133e-18,-2.019100241887214e-18,2.3475498657251977e-11,-0.0005533467349652199
0.0201,4.038199018105525e-18,0.03297439736025992,2.0190995090527622e-18,-2.019099509052763e-18,1.850278598161423e-10,-0.0005533461947136226
0.030100000000000002,4.0381958696450975e-18,0.0329743716511295,2.0190979348225484e-18,-2.019097934822549e-18,6.21366731556403e-10,-0.000553345697896285
0.040100000000000004,4.038191257837383e-18,0.03297433399286168,2.019095628918691e-18,-2.019095628918692e-18,1.4692009753606964e-09,-0.0005533446690617863
0.050100000000000006,4.0381852508348526e-18,0.032974284941963625,2.019092625417426e-18,-2.0190926254174267e-18,2.865238328686983e-09,-0.0005533431805851824
0.06010000000000001,4.038177872185071e-18,0.03297422469071579,2.0190889360925352e-18,-2.019088936092536e-18,4.946185062814488e-09,-0.0005533412492178036
0.07010000000000001,4.038169132071953e-18,0.032974153322276135,2.019084566035976e-18,-2.0190845660359768e-18,7.848745619091588e-09,-0.0005533388804917426
0.0801,4.038159035608039e-18,0.03297407087839174,2.0190795178040193e-18,-2.01907951780402e-18,1.1709622243990189e-08,-0.0005533360767665171
0.0901,4.038147585641724e-18,0.0329739773823215,2.0190737928208618e-18,-2.0190737928208625e-18,1.6665514623993008e-08,-0.0005533328392212522
0.1001,4.038134783887016e-18,0.032973872848061365,2.0190673919435076e-18,-2.0190673919435084e-18,2.2853119520448907e-08,-0.0005533291685129386
0.11009999999999999,4.0381206314386444e-18,0.03297375728455047,2.019060315719322e-18,-2.0190603157193226e-18,3.040913040442499e-08,-0.0005533250650384224
0.12009999999999998,4.0381051290300755e-18,0.03297363069777803,2.0190525645150374e-18,-2.019052564515038e-18,3.947023709156425e-08,-0.0005533205290531518
0.1301,4.038088277172609e-18,0.03297349309191911,2.019044138586304e-18,-2.019044138586305e-18,5.017312537695224e-08,-0.0005533155607304541
0.1401,4.038070076234929e-18,0.03297334446998426,2.019035038117464e-18,-2.0190350381174647e-18,6.265447666999491e-08,-0.0005533101601934204
0.1501,4.038050526490864e-18,0.032973184834209454,2.0190252632454316e-18,-2.0190252632454324e-18,7.705096762930905e-08,-0.0005533043275331167
0.16010000000000002,4.0380296281492544e-18,0.0329730141863,2.019014814074627e-18,-2.0190148140746276e-18,9.349926979762654e-08,-0.0005532980628195052
0.17010000000000003,4.0380073813732824e-18,0.03297283252758838,2.019003690686641e-18,-2.0190036906866416e-18,1.1213604923671378e-07,-0.0005532913661082689
0.18010000000000004,4.037983786293366e-18,0.03297263985913955,2.0189918931466825e-18,-2.0189918931466833e-18,1.330979661623072e-07,-0.0005532842374452287
0.19010000000000005,4.037958843015982e-18,0.032972436181822946,2.0189794215079908e-18,-2.0189794215079915e-18,1.5652167457906615e-07,-0.0005532766768692848
0.20010000000000006,4.037932551629848e-18,0.032972221496363,2.0189662758149236e-18,-2.0189662758149243e-18,1.8254382191554395e-07,-0.0005532686844144326
0.21010000000000006,4.03790491221033e-18,0.032971995803375134,2.0189524561051645e-18,-2.0189524561051653e-18,2.1130104865917878e-07,-0.0005532602601111724
0.22010000000000007,4.037875924822658e-18,0.03297175910339199,2.0189379624113287e-18,-2.0189379624113295e-18,2.4292998799130486e-07,-0.0005532514039875155
0.23010000000000008,4.0378455895243015e-18,0.032971511396882834,2.0189227947621504e-18,-2.018922794762151e-18,2.775672654221852e-07,-0.0005532421160697181
0.2401000000000001,4.037813906366745e-18,0.03297125268426808,2.0189069531833722e-18,-2.018906953183373e-18,3.1534949842606727e-07,-0.0005532323963828215
0.2501000000000001,4.037780875396846e-18,0.03297098296593033,2.0188904376984224e-18,-2.0188904376984232e-18,3.564132960762626e-07,-0.00055322224495106
0.2601000000000001,4.037746496657873e-18,0.03297070224222292,2.018873248328936e-18,-2.018873248328937e-18,4.008952586802507e-07,-0.0005532116617981678
0.2701000000000001,4.03771077019032e-18,0.03297041051347649,2.0188553850951594e-18,-2.0188553850951602e-18,4.489319774148094e-07,-0.0005532006469476176
0.2801000000000001,4.037673696032537e-18,0.032970107780004206,2.018836848016268e-18,-2.018836848016269e-18,5.006600339611723e-07,-0.0005531892004228052
0.29010000000000014,4.037635274221242e-18,0.032969794042105885,2.0188176371106208e-18,-2.0188176371106216e-18,5.562160001402138e-07,-0.0005531773222471951
0.30010000000000014,4.0375955047919216e-18,0.032969469300071295,2.0187977523959604e-18,-2.018797752395961e-18,6.157364375476638e-07,-0.0005531650124444349
0.31010000000000015,4.037554387779155e-18,0.03296913355418281,2.018777193889577e-18,-2.018777193889578e-18,6.793578971893523e-07,-0.0005531522710384483
0.32010000000000016,4.0375119232168846e-18,0.03296878680471757,2.018755961608442e-18,-2.0187559616084427e-18,7.472169191164858e-07,-0.000553139098053509
