r,a,b,c,d,a_prime,b_prime,c_prime,d_prime,m,Phi,qnorm,ricci,energy_density,radial_pressure,tangential_pressure
0.001,0.018618555356779944,0.013165306748676213,-0.01316530674867622,1.4616426678633298e-18,0.0,0.0,0.0,0.0,1.4525500055804662e-14,0.0,0.026330613497352436,0.0003486120013393119,3.4677077021443705e-06,-3.4677077021443705e-06,-3.4677077021443705e-06
0.011,0.018618547767242165,0.013165301382062582,-0.013165301382062589,1.4616420720495281e-18,-3.2616208389122545e-07,-2.306314212854208e-07,2.3063142128542097e-07,-2.5605231411309878e-23,1.9333484906727907e-11,-1.6249558559006917e-09,0.026330602764125174,0.0003486117223766901,3.467704980442711e-06,-3.4677047676793017e-06,-3.467704980442711e-06
0.020999999999999998,0.01861853955042756,0.013165295571897256,-0.013165295571897263,1.4616414269915959e-18,-1.1989113610465835e-06,-8.477583534376319e-07,8.477583534376325e-07,-9.412008433047708e-23,1.345205901657215e-10,-6.263187409977865e-09,0.026330591143794522,0.00034861148147229246,3.4677032496257186e-06,-3.467700374848852e-06,-3.4677032496257186e-06
0.031,0.018618524111477183,0.013165284654910748,-0.013165284654910755,1.4616402149626179e-18,-1.8765543194476016e-06,-1.3269242845463049e-06,1.3269242845463057e-06,-1.4731818926375714e-22,4.3272855943425185e-10,-1.3813759490409425e-08,0.026330569309821507,0.00034861100787455824,3.467699580695732e-06,-3.4676925377837013e-06,-3.467699580695732e-06
0.041,0.018618502122284792,0.013165269106203695,-0.013165269106203702,1.4616384887093606e-18,-2.5182381964795815e-06,-1.7806633053736922e-06,1.7806633053736933e-06,-1.9769334007310105e-22,1.0011095871095614e-09,-2.427096688166162e-08,0.0263305382124074,0.00034861032589616694,3.4676942069648732e-06,-3.467681523918264e-06,-3.4676942069648732e-06
0.051000000000000004,0.018618473780634033,0.013165249065630253,-0.01316524906563026,1.4616362637587544e-18,-3.148992225225539e-06,-2.226673756360693e-06,2.226673756360694e-06,-2.4721044726402286e-22,1.926815138660858e-09,-3.7633722360932586e-08,0.026330498131260517,0.00034860944388006307,3.4676872207024377e-06,-3.4676673883998674e-06,-3.4676872207024377e-06
0.061000000000000006,0.01861843915652571,0.013165224582688465,-0.013165224582688472,1.461633545606186e-18,-3.775337928743236e-06,-2.6695670506851153e-06,2.669567050685116e-06,-2.9638148054512883e-22,3.296995725145709e-09,-5.3901671593748476e-08,0.026330449165376944,0.0003486083648434322,3.467678655838414e-06,-3.467650149488543e-06,-3.467678655838414e-06
0.07100000000000001,0.018618398280725368,0.013165195679132855,-0.013165195679132862,1.4616303366668928e-18,-4.3995698680826e-06,-3.1109656880252085e-06,3.11096568802521e-06,-3.4538657356644296e-22,5.198800671087975e-09,-7.307464088628517e-08,0.026330391358265724,0.00034860709012193787,3.467668527467861e-06,-3.4676298150434815e-06,-3.467668527467861e-06
0.081,0.018618351168850883,0.013165162366006932,-0.01316516236600694,1.4616266381669506e-18,-5.022662255797646e-06,-3.5515585406842345e-06,3.551558540684236e-06,-3.9430220651717597e-22,7.71937788193978e-09,-9.515251028029509e-08,0.02633032473201388,0.00034860562039608616,3.4676568432940366e-06,-3.4676063890313816e-06,-3.4676568432940366e-06
0.091,0.01861829782967652,0.013165124649515038,-0.013165124649515044,1.4616224507951797e-18,-5.6450856754374216e-06,-3.9916783614808394e-06,3.991678361480841e-06,-4.431653223814048e-22,1.0945873611484897e-08,-1.2013517507942814e-07,0.02633024929903009,0.0003486039560492319,3.4676436076563764e-06,-3.467579873687143e-06,-3.4676436076563764e-06
