r,a,b,c,d,a_prime,b_prime,c_prime,d_prime,m,Phi,qnorm,ricci,energy_density,radial_pressure,tangential_pressure
0.001,0.009614240050678095,0.02949441185677788,0.009614240050678093,0.005703084875946816,0.0,0.0,0.0,0.0,2.2785005076120114e-14,0.0,0.03297442541400256,0.0005468401218268827,5.439519279357665e-06,-5.439519279357665e-06,-5.439519279357665e-06
0.011,0.009614236130363742,0.029494399830100212,0.00961423613036374,0.0057030825504499096,-1.6847638830790948e-07,-5.168491694302396e-07,-1.684763883079093e-07,-9.993875096193519e-08,3.032691132758944e-11,-2.548939951974538e-09,0.03297441196831029,0.0005468396840158106,5.439515007842749e-06,-5.439514673953345e-06,-5.439515007842749e-06
0.020999999999999998,0.009614231886034594,0.029494386809415137,0.009614231886034592,0.005703080032750201,-6.192879708957655e-07,-1.8998417321876322e-06,-6.192879708957653e-07,-3.6735632167020097e-07,2.1101182865263664e-10,-9.824567604159089e-09,0.03297439741132875,0.000546839305926548,5.439512291293047e-06,-5.439507779908681e-06,-5.439512291293047e-06
0.031,0.009614223911169563,0.02949436234425175,0.009614223911169562,0.005703075302128551,-9.693189697591974e-07,-2.9736612320855224e-06,-9.693189697591972e-07,-5.749917130488258e-07,6.787871245563899e-10,-2.1668553982650456e-08,0.032974370059547356,0.00054683856263826,5.439506532930293e-06,-5.439495480495653e-06,-5.439506532930293e-06
0.041,0.00961421255282986,0.02949432749931887,0.009614212552829859,0.005703068564458695,-1.3007756055076057e-06,-3.990498597898544e-06,-1.3007756055076055e-06,-7.716089512709602e-07,1.5703615645872706e-09,-3.80719498621203e-08,0.032974331103298775,0.0005468374923079309,5.439498098922033e-06,-5.439478195429773e-06,-5.439498098922033e-06
0.051000000000000004,0.009614197913178916,0.029494282588031853,0.009614197913178914,0.005703059880343107,-1.6265865288737414e-06,-4.990016137563069e-06,-1.6265865288737412e-06,-9.648772012494515e-07,3.0224427702527962e-09,-5.903304993564963e-08,0.032974280892977874,0.0005468361080290479,5.439487134075504e-06,-5.439456011262654e-06,-5.439487134075504e-06
0.061000000000000006,0.009614180028374941,0.029494227721316272,0.00961418002837494,0.005703049271230529,-1.9501203827914225e-06,-5.982548119993199e-06,-1.950120382791422e-06,-1.1567947131285701e-06,5.171736865125487e-09,-8.455129855773983e-08,0.03297421955259823,0.0005468344145367944,5.4394736916402e-06,-5.439428956652754e-06,-5.4394736916402e-06
0.07100000000000001,0.009614158914309463,0.029494162947923896,0.00961415891430946,0.005703036746547677,-2.2725624071874803e-06,-6.971730605279676e-06,-2.2725624071874795e-06,-1.3480645610842734e-06,8.154948110530592e-09,-1.1462642347686393e-07,0.03297414713666378,0.0005468324139273581,5.439457795306159e-06,-5.439397043934632e-06,-5.439457795306159e-06
0.081,0.009614134579049572,0.029494088292602822,0.00961413457904957,0.005703022311079881,-2.594415826661842e-06,-7.959107377801555e-06,-2.594415826661841e-06,-1.5389852536403677e-06,1.2108778540581018e-08,-1.4925823676945982e-07,0.03297406367284262,0.000546830107268717,5.439439457162768e-06,-5.439360279333615e-06,-5.439439457162768e-06
0.091,0.009614107027127314,0.029494003769256386,0.009614107027127313,0.005703005967515512,-2.9159237203289156e-06,-8.945424151778194e-06,-2.9159237203289147e-06,-1.7297009832461497e-06,1.716992759712029e-08,-1.8844657448928936e-07,0.03297396917667852,0.0005468274951624949,5.439418684020233e-06,-5.4393186663569426e-06,-5.439418684020233e-06
