r,w,theta,phi,rho,w_prime,theta_prime,phi_prime,rho_prime,m,Phi,qnorm,ricci,energy_density,radial_pressure,tangential_pressure,kinetic_density,directional_potential
0.001,-3.412023005428146,2.891592653589793,-1.8207963267948966,1.3207963267948966,0.0,0.0,0.0,0.0,3.743517763392595e-14,0.0,0.03297442541400256,0.0008984442632142226,8.936990348943715e-06,-8.936990348943715e-06,-8.936990348943715e-06,0.0,3.4974710695860493e-06
0.011,-3.4120236752265676,2.8915925817360386,-1.820795348170378,1.3207963986486508,-2.8784549081913974e-05,-3.0878917348004893e-06,4.2057357727460434e-05,3.0878917348004893e-06,4.982681212068009e-11,-4.187801142033339e-09,0.03297440332779187,0.0008984405465435402,8.936954087273193e-06,-8.936951252327542e-06,-8.936954087273193e-06,2.8349456768083522e-12,3.4974406811600107e-06
0.020999999999999998,-3.4120244003813474,2.8915925039445067,-1.820794288660619,1.3207964764401825,-0.00010580694396775776,-1.1350496479921861e-05,0.00015459222268087355,1.1350496479921861e-05,3.4668630278775436e-10,-1.614135489273789e-08,0.032974379416254355,0.0008984373369971113,8.936931028524479e-06,-8.93689272477887e-06,-8.936931028524479e-06,3.8303746872398696e-11,3.49740778126838e-06
0.031,-3.412025762905406,2.891592357779783,-1.8207922979065905,1.3207966226049064,-0.00016561009739723967,-1.7765723683471652e-05,0.00024196939511421866,1.7765723683471652e-05,1.1152232136831077e-09,-3.560036675127958e-08,0.032974334487899694,0.0008984310273278725,8.936882149013343e-06,-8.936788309550125e-06,-8.936882149013343e-06,9.38394699701546e-11,3.4973459648427705e-06
0.041,-3.4120277034957613,2.891592149605695,-1.8207894625482968,1.3207968307789941,-0.0002222390128707973,-2.3840194310639426e-05,0.0003247094079805921,2.3840194310639426e-05,2.580037873465498e-09,-6.254982854617897e-08,0.032974270498286294,0.0008984219415310602,8.936810557682108e-06,-8.936641571175174e-06,-8.936810557682108e-06,1.6898652820094633e-10,3.497257923060632e-06
0.051000000000000004,-3.412030204688807,2.891591881298432,-1.820785808094717,1.3207970990862574,-0.00027790235665422857,-2.9810767478894247e-05,0.00040603936913724445,2.9810767478894247e-05,4.965720899845002e-09,-9.698653055433568e-08,0.03297418802337339,0.0008984101908644738,8.936717484542248e-06,-8.936453246426794e-06,-8.936717484542248e-06,2.642381669125594e-10,3.4971444491530027e-06
0.061000000000000006,-3.4120332602957686,2.8915915535254344,-1.820781343580216,1.320797426859255,-0.00033317543375148716,-3.5739082427201374e-05,0.0004867999854565166,3.5739082427201374e-05,8.496850196001356e-09,-1.389090418924094e-07,0.03297408726736884,0.000898395815658993,8.936603382529859e-06,-8.936223581211402e-06,-8.936603382529859e-06,3.798014242640196e-10,3.497005825086359e-06
0.07100000000000001,-3.412036867588113,2.8915911665837135,-1.8207760729819644,1.3207978138009762,-0.0003882605071084934,-4.1646760138607794e-05,0.0005672869361960093,4.1646760138607794e-05,1.3397987858850898e-08,-1.8831628570344927e-07,0.032973968320410815,0.0008983788338711779,8.936468453830315e-06,-8.935952683441714e-06,-8.936468453830315e-06,5.157705832566973e-10,3.496842176099861e-06
0.081,-3.4120410251717437,2.891590720627896,-1.8207699983258114,1.3207982597567938,-0.00044324331497983156,-4.754292137697307e-05,0.0006476256539664546,4.754292137697307e-05,1.9893677082139107e-08,-2.452072116846871e-07,0.032973831228664874,0.0008983592547576485,8.936312802337542e-06,-8.935640609745142e-06,-8.936312802337542e-06,6.721929225838319e-10,3.496653567149951e-06
0.091,-3.412045732254145,2.8915902157488422,-1.8207631207570159,1.3207987646358472,-0.0004981651488727194,-5.343191888482634e-05,0.0007278766331012147,5.343191888482634e-05,2.8208439059192258e-08,-3.095806968073819e-07,0.03297367601848949,0.0008983370836448396,8.936136487319565e-06,-8.935287394249724e-06,-8.936136487319565e-06,8.490935962496482e-10,3.4964400361589805e-06
0.10099999999999999,-3.4120509883456225,2.8915896520056963,-1.820755440976744,1.3207993283789934,-0.0005530478149166847,-5.9316015128403914e-05,0.0008080718990639553,5.9316015128403914e-05,3.856676988605353e-08,-3.8143550913485344e-07,0.03297350270628746,0.0008983123238838396,8.935939545502571e-06,-8.93489306011247e-06,-8.935939545502571e-06,1.0464861893020367e-09,3.496201607569457e-06
0.11099999999999999,-3.4120567931217822,2.891589029440636,-1.8207469594429933,1.3207999509440536,-0.0006079036500029933,-6.519645678647196e-05,0.0008882296423596796,6.519645678647196e-05,5.1193137465219785e-08,-4.6077029277361607e-07,0.03297331130304057,0.0008982849777527665,8.935722001287084e-06,-8.934457624775256e-06,-8.935722001287084e-06,1.2643776780893018e-09,3.4959382985831513e-06
0.12099999999999998,-3.412063146354139,2.891588348086319,-1.8207376764719774,1.3208006322983705,-0.0006627400081960709,-7.107395603519706e-05,0.0009683607733242284,7.107395603519706e-05,6.631197841009737e-08,-5.475835609614213e-07,0.03297310181659775,0.0008982550469128456,8.935483871917887e-06,-8.933981102601773e-06,-8.935483871917887e-06,1.5027709632501358e-09,3.495650122309236e-06
0.13099999999999998,-3.4120700478724872,2.891587607969918,-1.8207275922931023,1.3208013724147716,-0.0007175614498283382,-7.694892538740564e-05,0.0010484721204562805,7.694892538740564e-05,8.414769495027034e-08,-6.41873692641406e-07,0.03297287425291583,0.0008982225326559808,8.935225170292627e-06,-8.933463506302303e-06,-8.935225170292627e-06,1.76166625353356e-09,3.495337089471387e-06
0.141,-3.412077497543281,2.8915868091154393,-1.8207167070805588,1.3208021712692501,-0.0007723708855508071,-8.282160042428104e-05,0.0011285681019044338,8.282160042428104e-05,1.049246518376671e-07,-7.436389306622803e-07,0.032972628616772484,0.0008981874360471103,8.934945906577637e-06,-8.932904847750396e-06,-8.934945906577637e-06,2.0410618649401745e-09,3.4949992093886907e-06
0.151,-3.412085495256598,2.891585951545122,-1.820705020972364,1.3208030288395674,-0.0008271702089118876,-8.869210765870734e-05,0.0012086516496768037,8.869210765870734e-05,1.2886717325370858e-07,-8.528773807917492e-07,0.032972364912196,0.0008981497580100523,8.934646089182695e-06,-8.932305138474272e-06,-8.934646089182695e-06,2.3409547040805532e-09,3.4946364905668696e-06
0.161,-3.412094040917968,2.8915850352803134,-1.8206925340823097,1.320803945104376,-0.0008819606630314415,-9.456050387356653e-05,0.0012887247453548685,9.456050387356653e-05,1.5619953971751992e-07,-9.695870111613282e-07,0.032972083142734865,0.0008981094993813776,8.934325725372917e-06,-8.931664389964687e-06,-8.934325725372917e-06,2.661340572208019e-09,3.494248941069173e-06
0.171,-3.412103134443059,2.8915840603420384,-1.8206792465077177,1.3208049200426513,-0.0009367430618422223,-0.0001004267998586878,0.001368788743325407,0.0001004267998586878,1.871459849952876e-07,-1.0937656519520032e-06,0.03297178331163276,0.0008980666609453926,8.933984821666178e-06,-8.930982613874571e-06,-8.933984821666178e-06,3.0022143629802748e-09,3.4938365687571356e-06
0.18100000000000002,-3.412112775754134,2.8915830267513796,-1.820665158334627,1.32080595363331,-0.0009915179282717955,-0.00010629097523754883,0.0014488445726597114,0.00010629097523754883,2.2193069301084274e-07,-1.2254109952206471e-06,0.0329714654219456,0.000898021243457527,8.933623384098862e-06,-8.930259822152363e-06,-8.933623384098862e-06,3.3635701948910557e-09,3.493399381451503e-06
0.19100000000000003,-3.412122964777614,2.891581934529738,-1.8206502696413494,1.3208070458549517,-0.001046285583181215,-0.00011215298801138403,0.0015288928670467844,0.00011215298801138403,2.607777947575526e-07,-1.364520594812258e-06,0.03297112947662172,0.0008979732476603721,8.933241418408143e-06,-8.92949602713331e-06,-8.933241418408143e-06,3.745401502240615e-09,3.4929373870425425e-06
