label,family,source,dynamics_mode,closure_mode,success,failure_reason,steps,r_final,horizon_hit,regularity_ok,boundary_residual_qnorm,boundary_residual_state_prime_norm,final_mass,integrated_abs_ricci,peak_qnorm,half_mass_radius,mass_90_radius,ricci_half_radius,ricci_90_radius,settling_radius,core_radius,soft_region_width,theta_total_shift,phi_total_shift,rho_total_shift,omega_seed,theta_seed,phi_seed,rho_seed,w0,theta0,phi0,rho0,notes
continuation_00,continuation,linear_ordered_path_scalar_to_rich,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.011066977174822804,0.09646569594005977,0.05943756285506182,0.004307895242972155,0.024428055163203403,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.860999999999876,20.000000000000327,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-3.712023005428146,0.0,0.0,0.0,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_01,continuation,linear_ordered_path_scalar_to_rich,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.011163223065883781,0.09898520562154207,0.06498371754254617,0.005208078698594097,0.025361499935814383,14.470999999999735,18.961000000000165,14.120999999999743,18.831000000000145,0.001,7.080999999999893,20.000000000000327,-0.14933961272796756,0.21560348353754943,0.14933961272796792,0.23750000000000002,0.39269908169872414,-0.19634954084936207,0.19634954084936207,-3.674523005428146,0.39269908169872414,-0.19634954084936207,0.19634954084936207,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_02,continuation,linear_ordered_path_scalar_to_rich,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.010461231211479063,0.1071546829006981,0.07314464059677031,0.007258367520798048,0.026330613497352433,13.720999999999751,18.831000000000145,13.500999999999756,18.721000000000128,0.001,5.510999999999926,20.000000000000327,-0.3308180728330364,0.4502577494026543,0.330818072833038,0.275,0.7853981633974483,-0.39269908169872414,0.39269908169872414,-3.637023005428146,0.7853981633974483,-0.39269908169872414,0.39269908169872414,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_03,continuation,linear_ordered_path_scalar_to_rich,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.008346927402965948,0.12205283794487204,0.08480503093782354,0.010060910994479661,0.02733675882347593,12.210999999999784,18.521000000000097,11.840999999999791,18.5410000000001,0.001,4.530999999999947,20.000000000000327,-0.644921016605556,0.7609335025726804,0.6449210166055568,0.3125,1.1780972450961724,-0.5890486225480862,0.5890486225480862,-3.599523005428146,1.1780972450961724,-0.5890486225480862,0.5890486225480862,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_04,continuation,linear_ordered_path_scalar_to_rich,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.006208824395459892,0.18777013453225325,0.09586031318411042,0.012026659830316807,0.02838135097186515,11.510999999999799,17.891,10.54099999999982,17.70099999999997,0.001,4.2409999999999535,20.000000000000327,-1.230497332701889,-0.9589600138249643,1.2304973327018844,0.35,1.5707963267948966,-0.7853981633974483,0.7853981633974483,-3.562023005428146,1.5707963267948966,-0.7853981633974483,0.7853981633974483,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_05,continuation,linear_ordered_path_scalar_to_rich,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.009911702218700302,0.13808333211884452,0.096340469391744,0.011318173228926719,0.029465859072380318,13.060999999999765,18.751000000000133,13.100999999999765,18.60100000000011,0.001,4.540999999999947,20.000000000000327,-0.15943688504033093,-0.7474556832324475,0.15943688504032916,0.3875,1.9634954084936207,-0.9817477042468103,0.9817477042468103,-3.524523005428146,1.9634954084936207,-0.9817477042468103,0.9817477042468103,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_06,continuation,linear_ordered_path_scalar_to_rich,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.0125662537117065,0.10937424103959958,0.09735525522831177,0.009579685456068847,0.030591808393267573,14.130999999999743,18.891000000000155,13.850999999999749,18.73100000000013,0.001,5.580999999999925,20.000000000000327,-0.040565069943875987,-0.37971648580060546,0.040565069943875987,0.425,2.356194490192345,-1.1780972450961724,1.1780972450961724,-3.487023005428146,2.356194490192345,-1.1780972450961724,1.1780972450961724,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_07,continuation,linear_ordered_path_scalar_to_rich,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014071102016437189,0.09878560031628968,0.10142641624370766,0.008118853564473338,0.03176078248631887,14.550999999999734,18.971000000000167,14.170999999999742,18.841000000000147,0.001,7.170999999999891,20.000000000000327,-0.0083378698561547,-0.16810383162461173,0.008337869856148483,0.4625,2.748893571891069,-1.3744467859455345,1.3744467859455345,-3.449523005428146,2.748893571891069,-1.3744467859455345,1.3744467859455345,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_08,continuation,linear_ordered_path_scalar_to_rich,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,3.141592653589793,-1.5707963267948966,1.5707963267948966,-3.412023005428146,3.141592653589793,-1.5707963267948966,1.5707963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_00,rich_neighborhood,ordered_rich_anchor_neighborhood,exploratory_directional,minimal_trace,True,,2000,20.001000000000328,False,True,0.014415423853449072,0.09952944838454873,0.10999185716674044,0.00934621966411501,0.03297442541400256,14.460999999999736,18.951000000000164,14.100999999999743,18.821000000000144,0.001,6.7309999999999,20.000000000000327,-0.0167345198102824,0.20401335488354166,0.01673451981027596,0.5,2.891592653589793,-1.8207963267948966,1.3207963267948966,-3.412023005428146,2.891592653589793,-1.8207963267948966,1.3207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=exploratory_directional. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
