r,omega,theta,phi,rho,mass
0.0001,-3.412023005428146,3.141592653589793,0.7853981633974483,1.5707963267948966,0.0
0.0101,-3.412023170475221,3.141593645224922,0.7853991581234522,1.570797318430012,4.318058103501172e-08
0.0201,-3.4120236592721667,3.1415936502114707,0.7853991632869073,1.570797323416548,3.403399253437663e-07
0.0301,-3.412024471802831,3.1415936517800604,0.7853991650470121,1.5707973249851244,1.1429421549463439e-06
0.040100000000000004,-3.412025608106532,3.141593652720602,0.7853991662325318,1.5707973259256522,2.702451391001287e-06
0.050100000000000006,-3.4120270682392357,3.1415936532086044,0.7853991670231714,1.5707973264136417,5.270331753604701e-06
0.0601,-3.4120288522723876,3.1415936534422793,0.7853991676204916,1.570797326647303,9.0980473612877e-06
0.07010000000000001,-3.412030960292315,3.1415936536597324,0.7853991682664282,1.5707973268647426,1.4437062330598822e-05
0.0801,-3.41203339239813,3.141593653880438,0.7853991689814597,1.5707973270854352,2.1538840773766095e-05
0.0901,-3.412036148710478,3.141593654067638,0.7853991697281631,1.570797327272622,3.065484680519793e-05
0.10010000000000001,-3.412039229367022,3.14159365422,0.7853991705049046,1.57079732742497,4.2036544536305474e-05
0.1101,-3.412042634520732,3.141593654337677,0.7853991713116727,1.5707973275426337,5.593539807385357e-05
0.1201,-3.412046364339883,3.14159365442231,0.7853991721500794,1.5707973276272533,7.26028715199608e-05
0.1301,-3.4120504190080543,3.141593654477026,0.7853991730233599,1.5707973276819562,9.229042897209942e-05
0.1401,-3.412054798724132,3.1415936545064396,0.7853991739363725,1.570797327711356,0.00011524953452309542
0.15009999999999998,-3.412059503702307,3.14159365451665,0.7853991748955985,1.5707973277215532,0.00014173165226112847
0.1601,-3.4120645341720754,3.141593654515245,0.7853991759091427,1.5707973277201346,0.000171988246269732
0.1701,-3.412069890378239,3.1415936545112975,0.7853991769867326,1.5707973277161738,0.00020627078062779316
0.18009999999999998,-3.412075572580904,3.1415936545153675,0.7853991781397192,1.5707973277202307,0.00024483071940955257
0.1901,-3.4120815810555167,3.1415936545394394,0.7853991793810118,1.570797327744289,0.000287919526683967
0.2001,-3.412087916101686,3.141593654575674,0.7853991807031941,1.5707973277805105,0.0003357886663426871
0.21009999999999998,-3.412094578030985,3.141593654611285,0.7853991820933,1.5707973278161078,0.0003886896023579029
0.2201,-3.412101567164575,3.14159365464611,0.7853991835511792,1.5707973278509193,0.00044687379884580014
0.2301,-3.4121088838413804,3.1415936546799985,0.7853991850767169,1.5707973278847949,0.0005105927199070231
0.24009999999999998,-3.4121165284180894,3.141593654712812,0.7853991866698332,1.5707973279175946,0.000580097829626675
0.2501,-3.4121245012691532,3.141593654744421,0.7853991883304835,1.5707973279491905,0.0006556405920743183
0.2601,-3.412132802786787,3.141593654774709,0.7853991900586582,1.570797327979465,0.0007374724713039738
0.2701,-3.4121414333809694,3.1415936548035686,0.785399191854383,1.5707973280083112,0.0008258449313541215
0.2801,-3.412150393479442,3.1415936548309054,0.7853991937177186,1.5707973280356342,0.0009210094362477005
0.29009999999999997,-3.4121596835277104,3.1415936548566337,0.7853991956487609,1.5707973280613494,0.0010232174499921075
0.3001,-3.4121693039890437,3.141593654880681,0.7853991976476411,1.5707973280853835,0.0011327204365792003
0.3101,-3.4121792553444736,3.141593654902985,0.7853991997145252,1.570797328107674,0.0012497698599852939
0.3201,-3.4121895380927967,3.1415936549234935,0.7853992018496148,1.570797328128169,0.0013746171841711623
0.3301,-3.412200152750572,3.141593654942167,0.7853992040531462,1.570797328146829,0.0015075138730820399
0.3401,-3.4122110998521222,3.1415936549589754,0.7853992063253911,1.570797328163624,0.0016487113906476169
0.3501,-3.4122223799495335,3.1415936549739008,0.7853992086666564,1.570797328178536,0.0017984612007820456
0.3601,-3.4122339936126562,3.141593654986935,0.7853992110772837,1.5707973281915573,0.001957014767383935
0.3701,-3.4122459414291026,3.1415936549980827,0.7853992135576504,1.5707973282026915,0.002124623554336355
0.3801,-3.4122582240042503,3.1415936550073584,0.7853992161081687,1.5707973282119536,0.0023015390255068328
0.3901,-3.4122708419612393,3.141593655014787,0.7853992187292858,1.5707973282193688,0.002488012644747355
0.4001,-3.412283795940973,3.1415936550204058,0.7853992214214843,1.570797328224974,0.002684295875894366
0.4101,-3.4122970866021185,3.141593655024262,0.7853992241852819,1.570797328228817,0.0028906401827687713
0.4201,-3.412310714621107,3.1415936550264147,0.7853992270212312,1.5707973282309562,0.0031072970291759323
0.4301,-3.412324680692132,3.141593655026933,0.7853992299299205,1.5707973282314613,0.0033345178789056735
0.4401,-3.412338985527151,3.1415936550258983,0.7853992329119726,1.5707973282304133,0.0035725541957322736
0.4501,-3.4123536298558856,3.141593655023402,0.7853992359680458,1.5707973282279033,0.003821657443414475
0.4601,-3.41236861442582,3.1415936550195465,0.7853992390988336,1.5707973282240346,0.004082079085695474
0.4701,-3.412383940002202,3.1415936550144457,0.7853992423050643,1.5707973282189205,0.004354070586302928
0.48009999999999997,-3.4123996073680436,3.1415936550082244,0.7853992455875017,1.570797328212686,0.004637883408948955
0.4901,-3.4124156173241196,3.1415936550010186,0.7853992489469448,1.5707973282054664,0.00493376901733013
0.5001,-3.412431970688968,3.1415936549929744,0.7853992523842273,1.5707973281974088,0.005241978875127485
0.5101,-3.4124486682988913,3.14159365498425,0.7853992559002183,1.5707973281886707,0.005562764446006517
0.5201,-3.412465711007955,3.141593654975013,0.7853992594958222,1.5707973281794212,0.005896377193617173
0.5301,-3.412483099687987,3.1415936549654453,0.7853992631719783,1.5707973281698395,0.00624306858159387
0.5401,-3.4125008352285806,3.1415936549557357,0.7853992669296612,1.5707973281601169,0.006603090073555473
0.5501,-3.412518918537091,3.141593654946087,0.7853992707698806,1.5707973281504546,0.006976693133105311
0.5601,-3.412537350538638,3.141593654936712,0.7853992746936813,1.5707973281410659,0.007364129223831175
0.5701,-3.4125561321761047,3.1415936549278336,0.7853992787021432,1.570797328132174,0.007765649809305305
0.5801,-3.4125752644101364,3.1415936549196872,0.7853992827963816,1.5707973281240144,0.008181506353084405
0.5901,-3.412594748219143,3.1415936549125183,0.7853992869775466,1.5707973281168324,0.00861195031870965
0.6001,-3.4126145845992983,3.141593654906584,0.7853992912468237,1.5707973281108847,0.009057233169706658
0.6101,-3.412634774564539,3.1415936549021524,0.7853992956054334,1.5707973281064394,0.009517606369585511
0.6201,-3.4126553191465647,3.141593654899501,0.7853993000546314,1.5707973281037753,0.009993321381840746
0.6301,-3.4126762193948394,3.1415936548989216,0.7853993045957086,1.570797328103182,0.010484629669951367
0.6401,-3.4126974763765903,3.141593654900713,0.785399309229991,1.5707973281049603,0.010991782697380834
0.6501,-3.412719091396304,3.1415936549050043,0.7853993139590272,1.570797328109238,0.011515031927398972
0.6601,-3.4127410680925,3.1415936549098022,0.7853993187860491,1.5707973281140226,0.012054628821377634
0.6701,-3.4127634080475926,3.1415936549144834,0.7853993237118682,1.5707973281186902,0.012610824842344466
0.6801,-3.412786112085643,3.1415936549190504,0.7853993287365897,1.570797328123244,0.013183871453930535
0.6901,-3.412809181070908,3.141593654923506,0.785399333860373,1.5707973281276861,0.013774020119722796
0.7001000000000001,-3.4128326159078375,3.1415936549278527,0.785399339083431,1.5707973281320198,0.014381522303264092
0.7101,-3.4128564175410774,3.1415936549320937,0.7853993444060303,1.5707973281362468,0.015006629468053157
0.7201,-3.412880586955467,3.1415936549362304,0.7853993498284914,1.5707973281403704,0.01564959307754464
0.7301,-3.4129051251760396,3.1415936549402663,0.7853993553511881,1.570797328144393,0.01631066459514905
0.7401,-3.412930033268024,3.1415936549442036,0.7853993609745485,1.5707973281483167,0.016990095484232807
0.7501,-3.4129553123368424,3.1415936549480445,0.7853993666990541,1.5707973281521443,0.017688137208118217
0.7601,-3.412980963528112,3.1415936549517918,0.7853993725252401,1.570797328155878,0.018405041230083474
0.7701,-3.413006988027644,3.1415936549554475,0.7853993784536952,1.5707973281595204,0.019141059013362674
0.7801,-3.413033387061444,3.141593654959014,0.7853993844850625,1.5707973281630736,0.019896442021145797
0.7901,-3.413060161895712,3.141593654962494,0.7853993906200382,1.5707973281665402,0.02067144171657872
0.8001,-3.4130873138368423,3.1415936549658894,0.7853993968593724,1.5707973281699221,0.021466309562763207
0.8101,-3.413114844231424,3.1415936549692023,0.7853994032038691,1.570797328173222,0.022281297022756913
0.8201,-3.4131427544662403,3.1415936549724357,0.7853994096543857,1.5707973281764416,0.02311665555957339
0.8301000000000001,-3.413171045968268,3.141593654975591,0.7853994162118336,1.5707973281795835,0.023972636636182085
0.8401,-3.4131997202046795,3.1415936549786703,0.7853994228771778,1.5707973281826497,0.02484949171550832
0.8501,-3.413228778682841,3.1415936549816763,0.7853994296514369,1.5707973281856422,0.025747472260433335
0.8601,-3.413258222950313,3.1415936549846104,0.7853994365356834,1.5707973281885632,0.026666829733794244
0.8701,-3.4132880545948505,3.1415936549874752,0.7853994435310436,1.5707973281914145,0.02760781559838405
0.8801,-3.413318275244403,3.1415936549902725,0.7853994506386973,1.5707973281941985,0.028570681316951667
0.8901,-3.413348886567114,3.1415936549930046,0.785399457859878,1.5707973281969168,0.029555678352201874
0.9001,-3.4133798902713215,3.1415936549956727,0.7853994651958732,1.5707973281995715,0.030563058166795366
0.9101,-3.4134112881055585,3.141593654998279,0.7853994726480238,1.5707973282021646,0.03159307222334872
0.9201,-3.413443081858551,3.1415936550008254,0.7853994802177247,1.5707973282046976,0.0326459719844344
0.9301,-3.413475273359221,3.141593655003314,0.7853994879064242,1.5707973282071728,0.03372200891258077
0.9401,-3.4135078644766836,3.1415936550057464,0.7853994957156247,1.5707973282095917,0.034821434470272083
0.9501000000000001,-3.4135408571202484,3.141593655008124,0.7853995036468822,1.570797328211956,0.035944500119948486
0.9601,-3.4135742532394207,3.141593655010449,0.785399511701806,1.5707973282142678,0.037091457324006004
0.9701,-3.413608054823898,3.141593655012723,0.7853995198820597,1.5707973282165284,0.038262557544796585
0.9801,-3.413642263903574,3.1415936550149475,0.7853995281893603,1.5707973282187395,0.039458052244628034
0.9901,-3.4136768825485357,3.141593655017124,0.7853995366254788,1.570797328220903,0.04067819288576408
1.0001,-3.4137119128690654,3.1415936550192547,0.7853995451922394,1.57079732822302,0.04192323093042431
1.0101,-3.413747357015639,3.1415936550213406,0.7853995538915206,1.5707973282250924,0.04319341784078424
