r,omega,theta,phi,rho,mass
0.0001,-3.412023005428146,0.0,0.7853981633974483,0.0,0.0
0.0101,-3.412023170477324,0.0,0.7853991580539812,0.0,4.318058088979693e-08
0.0201,-3.412023659274303,0.0,0.7853991632524555,0.0,3.4033992520338323e-07
0.0301,-3.412024471804938,0.0,0.7853991650471487,0.0,1.1429421548132608e-06
0.040100000000000004,-3.4120256081086655,0.0,0.7853991662520442,0.0,2.7024513908778777e-06
0.050100000000000006,-3.412027068241466,0.0,0.7853991669936078,0.0,5.270331753489209e-06
0.0601,-3.412028852274626,0.0,0.7853991675525978,0.0,9.09804736117575e-06
0.07010000000000001,-3.4120309602934853,0.0,0.7853991682336141,0.0,1.443706232982758e-05
0.0801,-3.4120333923976878,0.0,0.7853991689684283,0.0,2.153884077231608e-05
0.0901,-3.4120361487090416,0.0,0.7853991697312012,0.0,3.065484680379032e-05
0.10010000000000001,-3.412039229365205,0.0,0.7853991705187632,0.0,4.203654453534661e-05
0.1101,-3.412042634519109,0.0,0.7853991713302142,0.0,5.593539807349681e-05
0.1201,-3.412046364338957,0.0,0.7853991721669225,0.0,7.260287152016838e-05
0.1301,-3.4120504190082266,0.0,0.7853991730325254,0.0,9.22904289727043e-05
0.1401,-3.4120547987256673,0.0,0.7853991739329291,0.0,0.00011524953452386313
0.15009999999999998,-3.412059503705301,0.0,0.7853991748763084,0.0,0.00014173165226181897
0.1601,-3.412064534176425,0.0,0.7853991758731073,0.0,0.0001719882462701616
0.1701,-3.4120698903836053,0.0,0.7853991769360381,0.0,0.0002062707806278961
0.18009999999999998,-3.412075572586685,0.0,0.7853991780800824,0.0,0.0002448307194094434
0.1901,-3.4120815810610376,0.0,0.7853991793220997,0.0,0.000287919526681346
0.2001,-3.4120879161149755,0.0,0.7853991806482427,0.0,0.0003357886662838519
0.21009999999999998,-3.4120945780618714,0.0,0.7853991820429264,0.0,0.000388689602196126
0.2201,-3.4121015672202373,0.0,0.7853991835059063,0.0,0.0004468737985431127
0.2301,-3.4121088839265385,0.0,0.7853991850369769,0.0,0.0005105927194337175
0.24009999999999998,-3.412116528535191,0.0,0.7853991866359711,0.0,0.0005800978289608075
0.2501,-3.412124501418563,0.0,0.7853991883027605,0.0,0.000655640591201212
