r,omega,theta,phi,rho,mass
0.0001,-3.412023005428146,0.0,0.0,0.0,0.0
0.0101,-3.4120231720628844,0.0,0.0,0.0,2.3475385998922825e-11
0.0201,-3.4120236601443406,0.0,0.0,0.0,1.8502781097010966e-10
0.0301,-3.4120244724436355,0.0,0.0,0.0,6.213668522912563e-10
0.040100000000000004,-3.4120256084680953,0.0,0.0,0.0,1.46920107577707e-09
0.050100000000000006,-3.4120270682355525,0.0,0.0,0.0,2.8652385141121647e-09
0.0601,-3.4120288517520256,0.0,0.0,0.0,4.946185973338919e-09
0.07010000000000001,-3.4120309590145683,0.0,0.0,0.0,7.848747840256029e-09
0.0801,-3.4120333900128177,0.0,0.0,0.0,1.170962607633637e-08
0.0901,-3.4120361447289933,0.0,0.0,0.0,1.666552021772701e-08
0.10010000000000001,-3.412039223137899,0.0,0.0,0.0,2.2853127375249215e-08
0.1101,-3.412042625227126,0.0,0.0,0.0,3.040911828196121e-08
0.1201,-3.4120463510274712,0.0,0.0,0.0,3.947014214622359e-08
0.1301,-3.412050400541127,0.0,0.0,0.0,5.017291030235128e-08
0.1401,-3.4120547737687117,0.0,0.0,0.0,6.265412770348043e-08
0.15009999999999998,-3.4120594707110192,0.0,0.0,0.0,7.705049005119101e-08
0.1601,-3.4120644913690197,0.0,0.0,0.0,9.349868379550714e-08
0.1701,-3.4120698357438615,0.0,0.0,0.0,1.1213538613489671e-07
0.18009999999999998,-3.4120755038368684,0.0,0.0,0.0,1.330972650162716e-07
0.1901,-3.412081495649541,0.0,0.0,0.0,1.5652097913498776e-07
0.2001,-3.412087811183557,0.0,0.0,0.0,1.8254317793484496e-07
0.21009999999999998,-3.41209445044077,0.0,0.0,0.0,2.1130050160808682e-07
0.2201,-3.4121014134232115,0.0,0.0,0.0,2.429295810954013e-07
0.2301,-3.412108700133088,0.0,0.0,0.0,2.775670380859198e-07
0.24009999999999998,-3.4121163105727836,0.0,0.0,0.0,3.153494850172182e-07
0.2501,-3.4121242447448594,0.0,0.0,0.0,3.564135250753157e-07
0.2601,-3.4121325026520526,0.0,0.0,0.0,4.008957521946762e-07
0.2701,-3.4121410842972772,0.0,0.0,0.0,4.489327510582068e-07
0.2801,-3.4121499896836234,0.0,0.0,0.0,5.006610970972591e-07
0.29009999999999997,-3.4121592188143586,0.0,0.0,0.0,5.562173564916282e-07
0.3001,-3.412168771692927,0.0,0.0,0.0,6.157380861695537e-07
0.3101,-3.412178648322949,0.0,0.0,0.0,6.793598338077189e-07
0.3201,-3.412188848708222,0.0,0.0,0.0,7.472191378312506e-07
0.3301,-3.4121993728527196,0.0,0.0,0.0,8.194525274137205e-07
0.3401,-3.412210220760592,0.0,0.0,0.0,8.961965224771431e-07
0.3501,-3.412221392436167,0.0,0.0,0.0,9.77587633691978e-07
0.3601,-3.4122328878839476,0.0,0.0,0.0,1.063762362477127e-06
0.3701,-3.412244707108615,0.0,0.0,0.0,1.1548572009999384e-06
0.3801,-3.4122568501150266,0.0,0.0,0.0,1.2510086321762031e-06
0.3901,-3.412269316908215,0.0,0.0,0.0,1.3523531296701552e-06
0.4001,-3.4122821074933913,0.0,0.0,0.0,1.4590271578944739e-06
0.4101,-3.4122952218806564,0.0,0.0,0.0,1.5711668177386471e-06
0.4201,-3.412308660240956,0.0,0.0,0.0,1.6888962242413177e-06
0.4301,-3.412322422654564,0.0,0.0,0.0,1.8123465673815337e-06
0.4401,-3.4123365091171953,0.0,0.0,0.0,1.9416554078314413e-06
0.4501,-3.412350919624792,0.0,0.0,0.0,2.076960258527646e-06
0.4601,-3.4123656541735174,0.0,0.0,0.0,2.218398584671212e-06
0.4701,-3.4123807127597603,0.0,0.0,0.0,2.366107803727663e-06
0.48009999999999997,-3.412396095380133,0.0,0.0,0.0,2.5202252854269785e-06
0.4901,-3.4124118020314707,0.0,0.0,0.0,2.6808883517636026e-06
0.5001,-3.412427832710835,0.0,0.0,0.0,2.848234276996433e-06
0.5101,-3.412444187415509,0.0,0.0,0.0,3.022400287648829e-06
0.5201,-3.412460866143001,0.0,0.0,0.0,3.2035235625086065e-06
0.5301,-3.412477868891044,0.0,0.0,0.0,3.3917412326280416e-06
0.5401,-3.412495195657592,0.0,0.0,0.0,3.58719038132387e-06
0.5501,-3.412512846440827,0.0,0.0,0.0,3.7900080441772837e-06
0.5601,-3.4125308212391516,0.0,0.0,0.0,4.000331209033937e-06
0.5701,-3.412549120051194,0.0,0.0,0.0,4.218296816003939e-06
