r,omega,theta,phi,rho,mass
0.0001,-3.412023005428146,3.141592653589793,0.0,0.0,0.0
0.0101,-3.412023170476639,3.141593652602476,0.0,0.0,2.347539922660872e-11
0.0201,-3.4120236592636224,3.1415936578189703,0.0,0.0,1.850278248148722e-10
0.0301,-3.4120244717512844,3.1415936594840694,0.0,0.0,6.213668522843611e-10
0.040100000000000004,-3.412025607939743,3.1415936604882653,0.0,0.0,1.4692013489137754e-09
0.050100000000000006,-3.4120270678293423,3.1415936609584603,0.0,0.0,2.8652391310976686e-09
0.0601,-3.412028851420594,3.1415936611670188,0.0,0.0,4.946186437657526e-09
0.07010000000000001,-3.412030958714301,3.1415936614228293,0.0,0.0,7.848747006711985e-09
0.0801,-3.412033389711635,3.1415936616722453,0.0,0.0,1.1709621109139512e-08
0.0901,-3.412036144413173,3.141593661884189,0.0,0.0,1.6665511594998682e-08
0.10010000000000001,-3.412039222819597,3.1415936620557248,0.0,0.0,2.28531174333987e-08
0.1101,-3.4120426249317846,3.141593662185997,0.0,0.0,3.04091329727812e-08
0.1201,-3.4120463507508063,3.1415936622762266,0.0,0.0,3.947024794092027e-08
0.1301,-3.412050400277927,3.1415936623297136,0.0,0.0,5.0173147444922425e-08
0.1401,-3.4120547735146074,3.141593662351836,0.0,0.0,6.265451197122665e-08
0.15009999999999998,-3.4120594704625007,3.141593662350051,0.0,0.0,7.705101738560434e-08
0.1601,-3.4120644911234552,3.1415936623338925,0.0,0.0,9.349933493315935e-08
0.1701,-3.4120698354995147,3.141593662314974,0.0,0.0,1.1213613123832804e-07
0.18009999999999998,-3.412075503592915,3.1415936623069864,0.0,0.0,1.33098068304879e-07
0.1901,-3.4120814954060887,3.141593662325699,0.0,0.0,1.5652180351591356e-07
0.2001,-3.412087810947606,3.141593662366757,0.0,0.0,1.8254383290085355e-07
0.21009999999999998,-3.4120944502264634,3.14159366240803,0.0,0.0,2.1130064634824966e-07
0.2201,-3.4121014132430907,3.141593662449134,0.0,0.0,2.4292895515256094e-07
0.2301,-3.412108699998086,3.141593662489813,0.0,0.0,2.7756545576777e-07
0.24009999999999998,-3.4121163104922565,3.1415936625298273,0.0,0.0,3.1534682881125984e-07
0.2501,-3.412124244726616,3.141593662568951,0.0,0.0,3.564097390638147e-07
0.2601,-3.412132502702384,3.1415936626069754,0.0,0.0,4.0089083546961904e-07
0.2701,-3.41214108442099,3.141593662643705,0.0,0.0,4.4892675113625796e-07
0.2801,-3.4121499898840684,3.14159366267896,0.0,0.0,5.006541033347179e-07
0.29009999999999997,-3.412159219093462,3.1415936627125762,0.0,0.0,5.562094934993849e-07
0.3001,-3.4121687720512206,3.141593662744403,0.0,0.0,6.157295072280468e-07
0.3101,-3.4121786487596015,3.1415936627743077,0.0,0.0,6.793507142818915e-07
0.3201,-3.4121888492210686,3.1415936628021695,0.0,0.0,7.472096685855075e-07
0.3301,-3.412199373438293,3.1415936628278844,0.0,0.0,8.194429082268847e-07
0.3401,-3.412210221414154,3.141593662851364,0.0,0.0,8.961869554574125e-07
0.3501,-3.4122213931517376,3.141593662872533,0.0,0.0,9.775783166918822e-07
0.3601,-3.4122328886543363,3.141593662891334,0.0,0.0,1.0637534825084844e-06
0.3701,-3.4122447079254514,3.1415936629077224,0.0,0.0,1.154848927648812e-06
0.3801,-3.41225685096879,3.1415936629216694,0.0,0.0,1.2510011110178579e-06
0.3901,-3.412269317788267,3.141593662933161,0.0,0.0,1.352346475684015e-06
0.4001,-3.4122821083880046,3.1415936629421997,0.0,0.0,1.4590214488790777e-06
0.4101,-3.412295222772332,3.1415936629488015,0.0,0.0,1.5711624419982411e-06
0.4201,-3.412308660945786,3.141593662952998,0.0,0.0,1.6889058506000992e-06
0.4301,-3.412322422913111,3.141593662954836,0.0,0.0,1.8123880544066504e-06
0.4401,-3.4123365086792568,3.1415936629543775,0.0,0.0,1.9417454173032906e-06
0.4501,-3.4123509182493823,3.1415936629516996,0.0,0.0,2.0771142873388172e-06
0.4601,-3.4123656516288534,3.141593662946894,0.0,0.0,2.2186309967254287e-06
0.4701,-3.4123807088232425,3.1415936629400685,0.0,0.0,2.3664318618387233e-06
0.48009999999999997,-3.4123960898383294,3.141593662931345,0.0,0.0,2.520653183217702e-06
0.4901,-3.4124117946801023,3.1415936629208607,0.0,0.0,2.681431245564764e-06
0.5001,-3.4124278233547543,3.141593662908768,0.0,0.0,2.8489023177457106e-06
0.5101,-3.4124441758686883,3.1415936628952355,0.0,0.0,3.0232026527897435e-06
0.5201,-3.4124608522285125,3.1415936628804446,0.0,0.0,3.2044684878894643e-06
0.5301,-3.412477852441043,3.1415936628645937,0.0,0.0,3.392836044400879e-06
0.5401,-3.4124951765133043,3.141593662847896,0.0,0.0,3.5884415278433867e-06
0.5501,-3.412512824452526,3.1415936628305787,0.0,0.0,3.791421127899794e-06
0.5601,-3.412530796266146,3.1415936628128858,0.0,0.0,4.001911018416307e-06
0.5701,-3.41254909196181,3.141593662795075,0.0,0.0,4.2200473574025295e-06
0.5801,-3.41256771154737,3.1415936627774195,0.0,0.0,4.445966287031468e-06
0.5901,-3.412586655030886,3.1415936627602083,0.0,0.0,4.679803933639532e-06
0.6001,-3.4126059224206244,3.141593662743744,0.0,0.0,4.921696407726527e-06
0.6101,-3.412625513725059,3.141593662728346,0.0,0.0,5.171779803955663e-06
0.6201,-3.4126454289528723,3.1415936627143473,0.0,0.0,5.430190201153548e-06
0.6301,-3.4126656681129517,3.1415936627020975,0.0,0.0,5.697063662310192e-06
0.6401,-3.4126862312143933,3.14159366269196,0.0,0.0,5.972536234579007e-06
0.6501,-3.4127071182665,3.141593662684314,0.0,0.0,6.256743949276801e-06
0.6601,-3.4127283292787824,3.1415936626795533,0.0,0.0,6.549822821883789e-06
0.6701,-3.4127498642609577,3.1415936626780874,0.0,0.0,6.8519088520435815e-06
0.6801,-3.4127717232229506,3.1415936626803407,0.0,0.0,7.163138023563193e-06
0.6901,-3.412793906200438,3.141593662686158,0.0,0.0,7.483643775720136e-06
0.7001000000000001,-3.412816413342374,3.141593662692499,0.0,0.0,7.813548380080375e-06
0.7101,-3.4128392446717117,3.141593662698864,0.0,0.0,8.152986625790953e-06
0.7201,-3.412862400189191,3.141593662705251,0.0,0.0,8.502095468762122e-06
0.7301,-3.412885879895758,3.141593662711655,0.0,0.0,8.861011807734497e-06
0.7401,-3.412909683792561,3.141593662718073,0.0,0.0,9.229872484279063e-06
0.7501,-3.412933811880954,3.141593662724502,0.0,0.0,9.608814282797176e-06
0.7601,-3.412958264162493,3.141593662730937,0.0,0.0,9.997973930520556e-06
0.7701,-3.412983040638941,3.1415936627373755,0.0,0.0,1.0397488097511297e-05
0.7801,-3.413008141312264,3.1415936627438144,0.0,0.0,1.0807493396661858e-05
0.7901,-3.413033566184631,3.14159366275025,0.0,0.0,1.1228126383695072e-05
