r,omega,theta,phi,rho,m
0.0101,0.5,0.0,-1.5707963267948966,0.0,1.715486666903329e-11
0.0201,0.4999983512787293,0.0,-1.5708083267948965,0.0,1.7502335363246119e-07
0.030100000000000002,0.49999831863078337,0.0,-1.570808564418659,0.0,8.680948612092489e-07
0.040100000000000004,0.49999666974980334,0.0,-1.570820565792863,0.0,2.4224212682682413e-06
0.050100000000000006,0.4999944677523048,0.0,-1.5708365930278463,0.0,5.181187087158564e-06
0.06010000000000001,0.4999917152921427,0.0,-1.5708566270172313,0.0,9.487673138099747e-06
0.07010000000000001,0.49998841290632284,0.0,-1.5708806640502841,0.0,1.568526150983716e-05
0.0801,0.49998456077655856,0.0,-1.57090870303539,0.0,2.4117457754670713e-05
0.0901,0.4999801589830765,0.0,-1.5709407436592775,0.0,3.512791310453085e-05
0.1001,0.49997520756830593,0.0,-1.5709767859251045,0.0,4.906044665617583e-05
0.11009999999999999,0.4999697065581554,0.0,-1.5710168299981424,0.0,6.625906751361802e-05
0.12009999999999998,0.4999636559705367,0.0,-1.5710608761439508,0.0,8.706799688032213e-05
0.1301,0.499957055819243,0.0,-1.5711089247002383,0.0,0.00011183169009458183
0.1401,0.49994990611588985,0.0,-1.5711609760627743,0.0,0.0001408948586016934
0.1501,0.49994220687096114,0.0,-1.5712170306777915,0.0,0.00017460249185659402
0.16010000000000002,0.4999339580944067,0.0,-1.5712770890376344,0.0,0.00021329987915062818
0.17010000000000003,0.49992515979600144,0.0,-1.5713411516781401,0.0,0.0002573326313560811
0.18010000000000004,0.49991581198556945,0.0,-1.5714092191769944,0.0,0.00030704670258208317
0.19010000000000005,0.49990591467312956,0.0,-1.5714812921526584,0.0,0.00036278841173544864
0.20010000000000006,0.4998954678689919,0.0,-1.5715573712636473,0.0,0.00042490446397996673
0.21010000000000006,0.4998844715838244,0.0,-1.5716374572080272,0.0,0.0004937419720876133
0.22010000000000007,0.49987292582869874,0.0,-1.5717215507230575,0.0,0.0005696484776750996
0.23010000000000008,0.499860830615124,0.0,-1.5718096525849252,0.0,0.0006529719723191187
0.2401000000000001,0.4998481859550704,0.0,-1.571901763608546,0.0,0.0007440609185435898
0.2501000000000001,0.49983499186098734,0.0,-1.571997884647408,0.0,0.0008432642706721412
0.2601000000000001,0.49982124834581637,0.0,-1.572098016593448,0.0,0.0009509314955390047
0.2701000000000001,0.49980695542300174,0.0,-1.5722021603769476,0.0,0.0010674125930514278
0.2801000000000001,0.4997921131064979,0.0,-1.5723103169664476,0.0,0.0011930581165966393
0.29010000000000014,0.4997767214107756,0.0,-1.5724224873686719,0.0,0.0013282191932863269
0.30010000000000014,0.4997607803508267,0.0,-1.5725386726284596,0.0,0.0014732475440315113
0.31010000000000015,0.4997442899421679,0.0,-1.5726588738287044,0.0,0.0016284955034406225
0.32010000000000016,0.4997272502008436,0.0,-1.5727830920902965,0.0,0.0017943160395334932
0.33010000000000017,0.49970966114342835,0.0,-1.5729113285720686,0.0,0.0019710627732639086
0.3401000000000002,0.499691522787029,0.0,-1.5730435844707429,0.0,0.0021590899978432554
0.3501000000000002,0.49967283514928595,0.0,-1.5731798610208803,0.0,0.002358752697857725
0.3601000000000002,0.4996535982483747,0.0,-1.5733201594948296,0.0,0.002570406568171429
0.3701000000000002,0.4996338121030066,0.0,-1.5734644812026783,0.0,0.0027944080326076895
0.3801000000000002,0.4996134767324302,0.0,-1.5736128274922012,0.0,0.0030311142624006634
0.3901000000000002,0.4995925921564313,0.0,-1.5737651997488105,0.0,0.003280883194409364
0.40010000000000023,0.4995711583953343,0.0,-1.5739215993955045,0.0,0.003544073549086026
0.41010000000000024,0.49954917547000194,0.0,-1.5740820278928167,0.0,0.0038210448481906605
0.42010000000000025,0.49952664340183633,0.0,-1.5742464867387624,0.0,0.004112157432243537
0.43010000000000026,0.49950356221277886,0.0,-1.5744149774687857,0.0,0.0044177724777072
0.44010000000000027,0.49947993192531076,0.0,-1.5745875016557052,0.0,0.004738252013889533
0.4501000000000003,0.4994557525624531,0.0,-1.574764060909658,0.0,0.005073958939559246
0.4601000000000003,0.4994310241477672,0.0,-1.5749446568780439,0.0,0.005425257039265052
0.4701000000000003,0.4994057467053544,0.0,-1.5751292912454662,0.0,0.0057925109993496576
0.4801000000000003,0.4993799202598568,0.0,-1.5753179657336738,0.0,0.006176086423649593
0.4901000000000003,0.4993535448364566,0.0,-1.5755106821014997,0.0,0.006576349848871748
0.5001000000000003,0.4993266204608769,0.0,-1.5757074421447999,0.0,0.006993668759637367
0.5101000000000003,0.4992991471593811,0.0,-1.575908247696389,0.0,0.007428411603184113
0.5201000000000003,0.49927112495877346,0.0,-1.576113100625977,0.0,0.007880947803716684
0.5301000000000003,0.49924255388639877,0.0,-1.5763220028401017,0.0,0.008351647776396307
0.5401000000000004,0.49921343397014245,0.0,-1.576534956282062,0.0,0.008840882940959319
0.5501000000000004,0.49918376523843067,0.0,-1.5767519629318485,0.0,0.009349025734954879
0.5601000000000004,0.49915354772023013,0.0,-1.5769730248060723,0.0,0.009876449626591722
0.5701000000000004,0.4991227814450481,0.0,-1.5771981439578933,0.0,0.010423529127183709
0.5801000000000004,0.4990914664429326,0.0,-1.5774273224769462,0.0,0.010990639803183787
0.5901000000000004,0.499059602744472,0.0,-1.5776605624892652,0.0,0.011578158287795813
