sector,axis,delta,center_theta0,center_phi0,center_rho0,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
scalar_phi_local,phi,-0.2,0.0,0.0,0.0,0.5,0.0,-0.2,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.33302160253551194,12.207893444446892,0.027279202923170688,0.03330216025355119
scalar_phi_local,phi,-0.1,0.0,0.0,0.0,0.5,0.0,-0.1,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.1629397051196713,13.656326259052465,0.011931444960291741,0.01629397051196713
scalar_phi_local,phi,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.1081453845055517,15.821130281147463,0.006835503063546494,0.01081453845055517
scalar_phi_local,phi,0.10000000000000003,0.0,0.0,0.0,0.5,0.0,0.10000000000000003,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.16293970511967154,13.656326259060144,0.01193144496028505,0.016293970511967154
scalar_phi_local,phi,0.2,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.33302160253551194,12.207893444446892,0.027279202923170688,0.03330216025355119
scalar_theta_local,theta,-0.2,0.0,0.0,0.0,0.5,-0.2,0.0,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.10814538440121235,15.825507567759148,0.0068336123778761975,0.010814538440121235
scalar_theta_local,theta,-0.1,0.0,0.0,0.0,0.5,-0.1,0.0,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.10814538440823572,15.825213348981693,0.006833739427291485,0.010814538440823572
scalar_theta_local,theta,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.1081453845055517,15.821130281147463,0.006835503063546494,0.01081453845055517
scalar_theta_local,theta,0.10000000000000003,0.0,0.0,0.0,0.5,0.10000000000000003,0.0,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.10814538440823572,15.825213348981693,0.006833739427291485,0.010814538440823572
scalar_theta_local,theta,0.2,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.10814538440121235,15.825507567759148,0.0068336123778761975,0.010814538440121235
scalar_rho_local,rho,-0.2,0.0,0.0,0.0,0.5,0.0,0.0,-0.2,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.10814538440121235,15.825507567759148,0.0068336123778761975,0.010814538440121235
scalar_rho_local,rho,-0.1,0.0,0.0,0.0,0.5,0.0,0.0,-0.1,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.10814538440823572,15.825213348981693,0.006833739427291485,0.010814538440823572
scalar_rho_local,rho,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.1081453845055517,15.821130281147463,0.006835503063546494,0.01081453845055517
scalar_rho_local,rho,0.10000000000000003,0.0,0.0,0.0,0.5,0.0,0.0,0.10000000000000003,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.10814538440823572,15.825213348981693,0.006833739427291485,0.010814538440823572
