configuration,test_type,parameter,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
scalar_anchor,outer_box_sensitivity,20.0,0.5,0.0,0.0,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.1081453845055517,15.821130281147463,0.006835503063546494,0.01081453845055517
scalar_anchor,outer_box_sensitivity,15.0,0.5,0.0,0.0,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",15.0,0,The solver successfully reached the end of the integration interval.,False,[],15.0,0.05729356437926281,13.048196319405202,0.0043909183289997065,0.007639141917235041
scalar_anchor,outer_box_sensitivity,10.0,0.5,0.0,0.0,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.01998411732053536,8.026441710661937,0.0024897853919488917,0.003996823464107072
scalar_anchor,outer_box_sensitivity,5.0,0.5,0.0,0.0,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.0027560790801170907,5.0,0.0005512158160234182,0.0011024316320468364
phi_sheet_anchor,outer_box_sensitivity,20.0,0.5,0.0,0.7853981633974483,0.0,0.02,"[0.0, 0.0, 0.01, 0.0]",20.0,1,A termination event occurred.,True,[3.3842251993597814],3.3842251993597814,1.624428095692695,2.906202013336613,0.5589522298306056,0.96
phi_sheet_anchor,outer_box_sensitivity,15.0,0.5,0.0,0.7853981633974483,0.0,0.02,"[0.0, 0.0, 0.01, 0.0]",15.0,1,A termination event occurred.,True,[3.3842251993597814],3.3842251993597814,1.624428095692695,2.906202013336613,0.5589522298306056,0.96
phi_sheet_anchor,outer_box_sensitivity,10.0,0.5,0.0,0.7853981633974483,0.0,0.02,"[0.0, 0.0, 0.01, 0.0]",10.0,1,A termination event occurred.,True,[3.3842251993597814],3.3842251993597814,1.624428095692695,2.906202013336613,0.5589522298306056,0.96
phi_sheet_anchor,outer_box_sensitivity,5.0,0.5,0.0,0.7853981633974483,0.0,0.02,"[0.0, 0.0, 0.01, 0.0]",5.0,1,A termination event occurred.,True,[3.3842251993597814],3.3842251993597814,1.624428095692695,2.906202013336613,0.5589522298306056,0.96
phi_offsheet_anchor,outer_box_sensitivity,20.0,0.5,0.0,0.6853981633974483,0.0,0.02,"[0.0, 0.0, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.546781283731745,8.389567268493296,0.4227609327422105,0.3546781283731745
phi_offsheet_anchor,outer_box_sensitivity,15.0,0.5,0.0,0.6853981633974483,0.0,0.02,"[0.0, 0.0, 0.01, 0.0]",15.0,0,The solver successfully reached the end of the integration interval.,False,[],15.0,2.805020286514307,6.283785352858712,0.4463902137010784,0.37400270486857423
phi_offsheet_anchor,outer_box_sensitivity,10.0,0.5,0.0,0.6853981633974483,0.0,0.02,"[0.0, 0.0, 0.01, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,2.04343474729707,4.462554998767365,0.4579069048698564,0.408686949459414
phi_offsheet_anchor,outer_box_sensitivity,5.0,0.5,0.0,0.6853981633974483,0.0,0.02,"[0.0, 0.0, 0.01, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.1714031692048743,2.749657390642634,0.4260178643314907,0.4685612676819497
