phi,rho,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-6.283185307179586,-6.283185307179586,0.5,0.0,-6.283185307179586,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081702381,5.0,0.0005512158163404762,0.0011024316326809524
-6.283185307179586,-4.886921905584122,0.5,0.0,-6.283185307179586,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081701946,5.0,0.0005512158163403891,0.0011024316326807783
-6.283185307179586,-3.490658503988659,0.5,0.0,-6.283185307179586,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081701175,5.0,0.0005512158163402351,0.0011024316326804702
-6.283185307179586,-2.0943951023931957,0.5,0.0,-6.283185307179586,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081699357,5.0,0.0005512158163398714,0.0011024316326797429
-6.283185307179586,-0.6981317007977319,0.5,0.0,-6.283185307179586,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.0027560790816904164,5.0,0.0005512158163380833,0.0011024316326761665
-6.283185307179586,0.6981317007977319,0.5,0.0,-6.283185307179586,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.0027560790816904164,5.0,0.0005512158163380833,0.0011024316326761665
-6.283185307179586,2.094395102393195,0.5,0.0,-6.283185307179586,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081699357,5.0,0.0005512158163398714,0.0011024316326797429
-6.283185307179586,3.4906585039886586,0.5,0.0,-6.283185307179586,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081701175,5.0,0.0005512158163402351,0.0011024316326804702
-6.283185307179586,4.886921905584122,0.5,0.0,-6.283185307179586,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081701946,5.0,0.0005512158163403891,0.0011024316326807783
-6.283185307179586,6.283185307179586,0.5,0.0,-6.283185307179586,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081702381,5.0,0.0005512158163404762,0.0011024316326809524
-4.886921905584122,-6.283185307179586,0.5,0.0,-4.886921905584122,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308335791,2.6750637986081123,0.016187102941577894,0.017320613233343163
-4.886921905584122,-4.886921905584122,0.5,0.0,-4.886921905584122,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.03900917688666418,2.8451370866128003,0.01371082506716943,0.015603670754665672
