theta,rho,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-6.283185307179586,-6.283185307179586,0.5,-6.283185307179586,0.39269908169872414,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.24068070119518561,2.5947212099926382,0.09275782703293525,0.09627228047807425
-6.283185307179586,-4.886921905584122,0.5,-6.283185307179586,0.39269908169872414,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086301724493,2.663535618232673,0.08017195698660677,0.08541634520689798
-6.283185307179586,-3.490658503988659,0.5,-6.283185307179586,0.39269908169872414,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.17324222418318622,2.644516762169755,0.06550997394361215,0.06929688967327449
-6.283185307179586,-2.0943951023931957,0.5,-6.283185307179586,0.39269908169872414,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469373919578,2.716598681820814,0.05398099274674846,0.058657877495678315
-6.283185307179586,-0.6981317007977319,0.5,-6.283185307179586,0.39269908169872414,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13348014607357553,2.7145813855620213,0.049171539591155076,0.05339205842943021
-6.283185307179586,0.6981317007977319,0.5,-6.283185307179586,0.39269908169872414,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13348014607357486,2.7145813863927906,0.04917153957610639,0.05339205842942994
-6.283185307179586,2.094395102393195,0.5,-6.283185307179586,0.39269908169872414,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469373917652,2.716598693550199,0.05398099251366909,0.058657877495670606
-6.283185307179586,3.4906585039886586,0.5,-6.283185307179586,0.39269908169872414,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.17324222418313737,2.6445168021915793,0.06550997295217299,0.06929688967325495
-6.283185307179586,4.886921905584122,0.5,-6.283185307179586,0.39269908169872414,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086301720038,2.663535650166079,0.0801719560254001,0.08541634520688016
-6.283185307179586,6.283185307179586,0.5,-6.283185307179586,0.39269908169872414,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.24068070119518561,2.5947212099926382,0.09275782703293525,0.09627228047807425
