r,omega,mass_m,metric_phi
15.0,-0.0027470912881495404,6.853118529518686,12.9805644855188
15.1,-0.0027971784458758115,6.924345399532459,13.036748009889024
15.2,-0.0028475969974724935,6.998199958514,13.096773992981202
15.3,-0.0028983469128218893,7.074059181491946,13.160668680797883
15.4,-0.002949428161610276,7.151285212782716,13.22841705725953
15.5,-0.003000840713327958,7.2292556380420905,13.299964786344498
15.6,-0.0030525845372693277,7.307389366738282,13.375220026506232
15.7,-0.0031046596025329195,7.385166633593427,13.454054986536791
15.8,-0.0031570658780214742,7.46214241813113,13.536307126934725
15.9,-0.003209803332441991,7.53795332751887,13.621779965778936
16.0,-0.0032628719343057917,7.61231859509418,13.710243521589774
16.1,-0.0033162716519285784,7.6850362612545755,13.801434512118513
16.2,-0.003370002453430494,7.7559758120871996,13.895056517531295
16.3,-0.0034240643067361813,7.82506857550599,13.99078039547513
16.4,-0.003478457179574844,7.892297057846584,14.088245288752589
16.5,-0.003533181039480309,7.95768419768885,14.187060579806058
16.6,-0.0035882358537910855,8.02128326780227,14.286809110704478
16.7,-0.003643621589650428,8.0831689108154,14.387051901332704
16.8,-0.003699338214006399,8.143429577126247,14.487334469645889
16.9,-0.003755385693611929,8.202161459678203,14.587194702184407
17.0,-0.003811763995024884,8.259463893968158,14.686172062006127
17.1,-0.0038684730846081225,8.315436109975376,14.783817777333349
17.2,-0.003925512928529562,8.370175178137252,14.87970554665652
17.3,-0.0039828834927622455,8.423774974741372,14.973442237051913
17.4,-0.004040584743084401,8.476325993827407,15.064678045916589
17.5,-0.004098616645079508,8.527915844653306,15.15311563814213
17.6,-0.004156979164136363,8.578630289330698,15.238517850981344
17.7,-0.0042156722654491455,8.628554689444739,15.320713664408167
17.8,-0.00427469591401748,8.677775740044568,15.399602252056846
17.9,-0.004334050074646508,8.726383372496727,15.475155044839575
18.0,-0.004393734711946947,8.774472703848149,15.547415846803316
18.1,-0.004453749790335167,8.82214590032522,15.616499134525316
18.2,-0.004514095274033243,8.869513808419834,15.682586744099885
18.3,-0.004574771127069039,8.916697191928495,15.745923202674465
18.4,-0.004635777313276265,8.96382740170681,15.806809995489969
18.5,-0.004697113796294548,9.011046302071644,15.865599076658983
18.6,-0.004758780539569502,9.058505289436667,15.922685935472801
18.7,-0.004820777506352791,9.106363270246565,15.978502523344103
18.8,-0.004883104659702211,9.1547835204898,16.03351033330659
18.9,-0.004945761962481744,9.203929429246678,16.08819390817333
19.0,-0.00500874937736164,9.253959231210073,16.143055038948408
19.1,-0.005072066866818479,9.305019950505292,16.198607905972377
19.2,-0.005135714393135247,9.357240898166358,16.25537541597528
19.3,-0.0051996919184014055,9.410727172045595,16.313887003869343
19.4,-0.005263999404512964,9.46555368254647,16.374678205377144
19.5,-0.005328636813172548,9.521760253297977,16.438292374839513
19.6,-0.005393604105889474,9.579348310365623,16.50528503603701
19.7,-0.005458901243979824,9.638279572532918,16.576231535379353
19.8,-0.00552452818856651,9.698476994624299,16.651738954162134
19.9,-0.005590484900579361,9.75982801247402,16.732463694332314
20.0,-0.005656771340755181,9.822189917380573,16.819136894003133
20.1,-0.005723387469637833,9.885396979762724,16.91260106149845
20.2,-0.005790333247578312,9.94926877552697,17.013863430222816
20.3,-0.005857608634734815,10.013619067366982,17.124175300948604
20.4,-0.00592521359107282,10.078264569262823,17.245153651905593
20.5,-0.005993148076365163,10.14303297560333,17.378975088838004
20.6,-0.006061412050192104,10.207769754360577,17.52870115341135
20.7,-0.006130005471941417,10.272343365339314,17.698859845132258
20.8,-0.006198928300808455,10.336648744021124,17.896574001103637
20.9,-0.0062681804957962295,10.400609063757926,18.134004475626735
21.0,-0.006337762015715493,10.464175933583926,18.434531553114496
21.1,-0.00640767281918481,10.527328292587901,18.85273225182425
21.2,-0.006477912864630633,10.590070319626086,19.578157041390696
