r,omega,mass_m,metric_phi
15.0,-0.0027470912881495404,6.853118529518679,12.980564485518707
15.1,-0.0027971784458758115,6.924345399532453,13.036748009888932
15.2,-0.0028475969974724935,6.998199958513995,13.09677399298111
15.3,-0.0028983469128218893,7.0740591814919425,13.16066868079779
15.4,-0.002949428161610276,7.151285212782713,13.228417057259438
15.5,-0.003000840713327958,7.229255638042089,13.29996478634441
15.6,-0.0030525845372693277,7.30738936673828,13.375220026506144
15.7,-0.0031046596025329195,7.385166633593426,13.454054986536704
15.8,-0.0031570658780214742,7.462142418131129,13.536307126934638
15.9,-0.003209803332441991,7.53795332751887,13.62177996577885
16.0,-0.0032628719343057917,7.61231859509418,13.710243521589689
16.1,-0.0033162716519285784,7.685036261254577,13.80143451211843
16.2,-0.003370002453430494,7.755975812087201,13.895056517531211
16.3,-0.0034240643067361813,7.825068575505992,13.990780395475047
16.4,-0.003478457179574844,7.892297057846585,14.088245288752505
16.5,-0.003533181039480309,7.9576841976888515,14.187060579805975
16.6,-0.0035882358537910855,8.021283267802271,14.286809110704397
16.7,-0.003643621589650428,8.083168910815402,14.387051901332624
16.8,-0.003699338214006399,8.143429577126248,14.487334469645813
16.9,-0.003755385693611929,8.202161459678205,14.58719470218433
17.0,-0.003811763995024884,8.25946389396816,14.686172062006053
17.1,-0.0038684730846081225,8.315436109975378,14.783817777333276
17.2,-0.003925512928529562,8.370175178137254,14.879705546656451
17.3,-0.0039828834927622455,8.423774974741375,14.973442237051849
17.4,-0.004040584743084401,8.47632599382741,15.064678045916526
17.5,-0.004098616645079508,8.52791584465331,15.153115638142069
17.6,-0.004156979164136363,8.578630289330702,15.238517850981284
17.7,-0.0042156722654491455,8.628554689444742,15.320713664408107
17.8,-0.00427469591401748,8.677775740044572,15.399602252056786
17.9,-0.004334050074646508,8.72638337249673,15.475155044839514
18.0,-0.004393734711946947,8.774472703848152,15.547415846803258
18.1,-0.004453749790335167,8.822145900325223,15.616499134525258
18.2,-0.004514095274033243,8.869513808419837,15.682586744099826
18.3,-0.004574771127069039,8.916697191928499,15.74592320267441
18.4,-0.004635777313276265,8.963827401706814,15.806809995489914
18.5,-0.004697113796294548,9.011046302071648,15.86559907665893
18.6,-0.004758780539569502,9.05850528943667,15.92268593547275
18.7,-0.004820777506352791,9.106363270246568,15.978502523344053
18.8,-0.004883104659702211,9.154783520489804,16.033510333306545
18.9,-0.004945761962481744,9.203929429246681,16.088193908173288
19.0,-0.00500874937736164,9.253959231210077,16.143055038948365
19.1,-0.005072066866818479,9.305019950505296,16.198607905972334
19.2,-0.005135714393135247,9.357240898166362,16.255375415975237
19.3,-0.0051996919184014055,9.410727172045599,16.313887003869304
19.4,-0.005263999404512964,9.465553682546474,16.374678205377105
19.5,-0.005328636813172548,9.52176025329798,16.43829237483948
19.6,-0.005393604105889474,9.579348310365626,16.505285036036977
19.7,-0.005458901243979824,9.638279572532921,16.57623153537932
19.8,-0.00552452818856651,9.698476994624302,16.651738954162102
19.9,-0.005590484900579361,9.759828012474024,16.73246369433228
20.0,-0.005656771340755181,9.822189917380577,16.8191368940031
20.1,-0.005723387469637833,9.885396979762728,16.912601061498417
20.2,-0.005790333247578312,9.949268775526974,17.013863430222784
20.3,-0.005857608634734815,10.013619067366985,17.124175300948576
20.4,-0.00592521359107282,10.078264569262826,17.245153651905568
20.5,-0.005993148076365163,10.143032975603333,17.37897508883798
20.6,-0.006061412050192104,10.20776975436058,17.52870115341133
20.7,-0.006130005471941417,10.272343365339317,17.698859845132247
20.8,-0.006198928300808455,10.336648744021128,17.89657400110363
20.9,-0.0062681804957962295,10.40060906375793,18.13400447562674
21.0,-0.006337762015715493,10.46417593358393,18.434531553114514
21.1,-0.00640767281918481,10.527328292587903,18.852732251824303
21.2,-0.006477912864630633,10.590070319626088,19.578157041390835
