r,omega,mass_m,metric_phi
15.0,-0.0027470912881495404,6.853118529518682,12.980564485518785
15.1,-0.0027971784458758115,6.924345399532455,13.03674800988901
15.2,-0.0028475969974724935,6.998199958513996,13.096773992981188
15.3,-0.0028983469128218893,7.074059181491942,13.160668680797869
15.4,-0.002949428161610276,7.151285212782711,13.228417057259517
15.5,-0.003000840713327958,7.229255638042086,13.299964786344482
15.6,-0.0030525845372693277,7.307389366738278,13.375220026506216
15.7,-0.0031046596025329195,7.385166633593423,13.454054986536773
15.8,-0.0031570658780214742,7.462142418131125,13.536307126934707
15.9,-0.003209803332441991,7.537953327518865,13.621779965778918
16.0,-0.0032628719343057917,7.612318595094176,13.710243521589755
16.1,-0.0033162716519285784,7.685036261254571,13.801434512118494
16.2,-0.003370002453430494,7.755975812087195,13.895056517531275
16.3,-0.0034240643067361813,7.825068575505986,13.990780395475111
16.4,-0.003478457179574844,7.892297057846579,14.088245288752569
16.5,-0.003533181039480309,7.957684197688845,14.187060579806037
16.6,-0.0035882358537910855,8.021283267802264,14.286809110704457
16.7,-0.003643621589650428,8.083168910815395,14.387051901332681
16.8,-0.003699338214006399,8.143429577126241,14.487334469645866
16.9,-0.003755385693611929,8.202161459678198,14.58719470218438
17.0,-0.003811763995024884,8.259463893968153,14.6861720620061
17.1,-0.0038684730846081225,8.315436109975371,14.78381777733332
17.2,-0.003925512928529562,8.370175178137247,14.87970554665649
17.3,-0.0039828834927622455,8.423774974741368,14.97344223705188
17.4,-0.004040584743084401,8.476325993827404,15.064678045916551
17.5,-0.004098616645079508,8.527915844653302,15.153115638142092
17.6,-0.004156979164136363,8.578630289330695,15.238517850981305
17.7,-0.0042156722654491455,8.628554689444735,15.320713664408128
17.8,-0.00427469591401748,8.677775740044565,15.399602252056805
17.9,-0.004334050074646508,8.726383372496723,15.475155044839532
18.0,-0.004393734711946947,8.774472703848145,15.547415846803274
18.1,-0.004453749790335167,8.822145900325216,15.616499134525274
18.2,-0.004514095274033243,8.86951380841983,15.68258674409984
18.3,-0.004574771127069039,8.916697191928492,15.74592320267442
18.4,-0.004635777313276265,8.963827401706807,15.806809995489923
18.5,-0.004697113796294548,9.011046302071641,15.865599076658937
18.6,-0.004758780539569502,9.058505289436663,15.922685935472755
18.7,-0.004820777506352791,9.106363270246561,15.978502523344057
18.8,-0.004883104659702211,9.154783520489797,16.03351033330654
18.9,-0.004945761962481744,9.203929429246674,16.088193908173277
19.0,-0.00500874937736164,9.25395923121007,16.143055038948347
19.1,-0.005072066866818479,9.305019950505288,16.198607905972317
19.2,-0.005135714393135247,9.357240898166355,16.255375415975216
19.3,-0.0051996919184014055,9.410727172045592,16.31388700386928
19.4,-0.005263999404512964,9.465553682546467,16.37467820537708
19.5,-0.005328636813172548,9.521760253297973,16.43829237483945
19.6,-0.005393604105889474,9.579348310365619,16.505285036036945
19.7,-0.005458901243979824,9.638279572532914,16.576231535379286
19.8,-0.00552452818856651,9.698476994624295,16.651738954162067
19.9,-0.005590484900579361,9.759828012474017,16.732463694332246
20.0,-0.005656771340755181,9.82218991738057,16.819136894003066
20.1,-0.005723387469637833,9.88539697976272,16.912601061498382
20.2,-0.005790333247578312,9.949268775526967,17.013863430222745
20.3,-0.005857608634734815,10.013619067366978,17.124175300948533
20.4,-0.00592521359107282,10.078264569262819,17.24515365190552
20.5,-0.005993148076365163,10.143032975603326,17.378975088837933
20.6,-0.006061412050192104,10.207769754360573,17.528701153411276
20.7,-0.006130005471941417,10.27234336533931,17.698859845132183
20.8,-0.006198928300808455,10.33664874402112,17.896574001103538
20.9,-0.0062681804957962295,10.400609063757923,18.134004475626618
21.0,-0.006337762015715493,10.464175933583922,18.434531553114347
21.1,-0.00640767281918481,10.527328292587898,18.85273225182405
21.2,-0.006477912864630633,10.590070319626083,19.578157041390334
