anchor,omega0,theta0,phi0,rho0,j_ext,gamma_host,A0,xp0,psi0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,psi_final,psi_min,psi_max,probe_response_ratio,probe_boundary_delta,core_mean_abs_psi,outer_mean_abs_psi,localization_ratio,sample_count
scalar,0.5,0.0,0.0,0.0,-0.01,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,2.167485190562235,0.2167485190562235,0.0930769698007601,0.0930769698007601,0.10140501563572264,0.930769698007601,-0.006923030199239899,0.100001210361866,0.0955796945995922,1.0462599904801606,59
scalar,0.5,0.0,0.0,0.0,-0.001,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.7206662024830258,0.07206662024830258,0.11548856636754573,0.1,0.11548856636754573,1.1548856636754572,0.015488566367545725,0.10000069320708105,0.11343103484421832,0.8815990557118519,57
scalar,0.5,0.0,0.0,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124985083,0.055160281249850826,0.11783929446946348,0.1,0.11783929446946348,1.1783929446946346,0.017839294469463474,0.10000077179329181,0.11467364309049258,0.8720466979005634,56
scalar,0.5,0.0,0.0,0.0,0.001,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.38121836852203816,0.038121836852203814,0.12016332684146325,0.1,0.12016332684146325,1.2016332684146325,0.02016332684146324,0.10000069894368184,0.11725311402606717,0.8528617749243755,57
scalar,0.5,0.0,0.0,0.0,0.01,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,-1.1991859381621084,-0.11991859381621084,0.13993697457290927,0.1,0.13993697457290927,1.3993697457290926,0.03993697457290926,0.100001333726763,0.13422035176845937,0.7450534319808156,59
phi_sheet,0.5,0.0,0.7853981633974483,0.0,-0.01,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,1,A termination event occurred.,True,[3.3760815357011564],3.3760815357011564,1.6205191371365548,0.9599999999999999,0.10031547068305283,0.1,0.10048528377270297,1.0031547068305282,0.0003154706830528209,0.1000012371029902,0.10042335958078163,0.9957965708421469,62
phi_sheet,0.5,0.0,0.7853981633974483,0.0,-0.001,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,1,A termination event occurred.,True,[3.3822221639872003],3.3822221639872003,1.623466638713856,0.96,0.10147004060907089,0.1,0.10147004060907089,1.0147004060907088,0.0014700406090708829,0.10000065861281951,0.10105737306940642,0.9895434204898523,61
phi_sheet,0.5,0.0,0.7853981633974483,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,1,A termination event occurred.,True,[3.382921053355878],3.382921053355878,1.6238021056108223,0.9600000000000005,0.10160266653077443,0.1,0.10160266653077443,1.0160266653077443,0.001602666530774427,0.10000067252697706,0.1011301001509498,0.9888319340899799,61
phi_sheet,0.5,0.0,0.7853981633974483,0.0,0.001,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,1,A termination event occurred.,True,[3.383623434041656],3.383623434041656,1.6241392483399952,0.9600000000000002,0.10173621401430476,0.1,0.10173621401430476,1.0173621401430475,0.0017362140143047516,0.10000066205931812,0.10119651147615048,0.9881828988036392,61
phi_sheet,0.5,0.0,0.7853981633974483,0.0,0.01,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,1,A termination event occurred.,True,[3.390110707795177],3.390110707795177,1.627253139741685,0.96,0.10298237228436147,0.1,0.10298237228436147,1.0298237228436147,0.002982372284361462,0.10000136276194577,0.10179904125352003,0.9823409094089862,62
