phi,theta,slice_name,omega0,theta0,phi0,rho0,j_ext,gamma_host,A0,xp0,psi0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,psi_final,psi_min,psi_max,probe_response_ratio,probe_boundary_delta,core_mean_abs_psi,outer_mean_abs_psi,localization_ratio,sample_count
-6.283185307179586,-6.283185307179586,phi_theta,0.5,-6.283185307179586,-6.283185307179586,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.551602812493897,0.055160281249389695,0.11783929446956927,0.1,0.11783929446956927,1.1783929446956927,0.017839294469569264,0.10000081938806686,0.11520309977463317,0.8680393113005999,56
-6.283185307179586,-4.487989505128276,phi_theta,0.5,-4.487989505128276,-6.283185307179586,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124938995,0.05516028124938995,0.11783929446956927,0.1,0.11783929446956927,1.1783929446956927,0.017839294469569264,0.10000081936695862,0.115203057170208,0.8680396321359019,56
-6.283185307179586,-2.6927937030769655,phi_theta,0.5,-2.6927937030769655,-6.283185307179586,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124939052,0.05516028124939052,0.11783929446956921,0.1,0.11783929446956921,1.178392944695692,0.01783929446956921,0.10000081931778333,0.11520295735594753,0.8680403837968023,56
-6.283185307179586,-0.8975979010256552,phi_theta,0.5,-0.8975979010256552,-6.283185307179586,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124939336,0.05516028124939336,0.11783929446956899,0.1,0.11783929446956899,1.1783929446956898,0.017839294469568986,0.10000081907467799,0.11520246412159998,0.868044098163767,56
-6.283185307179586,0.8975979010256552,phi_theta,0.5,0.8975979010256552,-6.283185307179586,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124939336,0.05516028124939336,0.11783929446956896,0.1,0.11783929446956896,1.1783929446956896,0.01783929446956896,0.10000081907467799,0.11520246401646479,0.8680440989559548,56
-6.283185307179586,2.6927937030769655,phi_theta,0.5,2.6927937030769655,-6.283185307179586,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124939056,0.05516028124939056,0.11783929446956926,0.1,0.11783929446956926,1.1783929446956924,0.01783929446956925,0.10000081931778335,0.11520295749890291,0.8680403827196508,56
-6.283185307179586,4.487989505128276,phi_theta,0.5,4.487989505128276,-6.283185307179586,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124938994,0.055160281249389945,0.11783929446956923,0.1,0.11783929446956923,1.1783929446956922,0.017839294469569222,0.1000008193669586,0.11520305704183834,0.8680396331031498,56
-6.283185307179586,6.283185307179586,phi_theta,0.5,6.283185307179586,-6.283185307179586,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124938972,0.05516028124938972,0.1178392944695693,0.1,0.1178392944695693,1.178392944695693,0.017839294469569292,0.10000081938806686,0.11520309975126526,0.8680393114766738,56
-4.487989505128276,-6.283185307179586,phi_theta,0.5,-6.283185307179586,-4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186311350289236,0.08186311350289235,0.11828817028315085,0.1,0.11828817028315085,1.1828817028315084,0.018288170283150842,0.100002106738639,0.11475148963600547,0.871466741354279,176
-4.487989505128276,-4.487989505128276,phi_theta,0.5,-4.487989505128276,-4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186311350296164,0.08186311350296163,0.11828817028315097,0.1,0.11828817028315097,1.1828817028315097,0.018288170283150967,0.10000210672435772,0.11475148658150373,0.8714667644268811,176
-4.487989505128276,-2.6927937030769655,phi_theta,0.5,-2.6927937030769655,-4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186311350313029,0.08186311350313029,0.11828817028315114,0.1,0.11828817028315114,1.1828817028315113,0.018288170283151134,0.10000210669113256,0.11475147947910345,0.8714668180756938,176
-4.487989505128276,-0.8975979010256552,phi_theta,0.5,-0.8975979010256552,-4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186311350397331,0.08186311350397331,0.11828817028315218,0.1,0.11828817028315218,1.1828817028315217,0.018288170283152175,0.10000210652700559,0.11475144438502655,0.8714670831633946,176
-4.487989505128276,0.8975979010256552,phi_theta,0.5,0.8975979010256552,-4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.818631135039731,0.0818631135039731,0.11828817028315211,0.1,0.11828817028315211,1.182881702831521,0.018288170283152105,0.10000210652700621,0.11475144438542965,0.8714670831603387,176
-4.487989505128276,2.6927937030769655,phi_theta,0.5,2.6927937030769655,-4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186311350313348,0.08186311350313348,0.11828817028315113,0.1,0.11828817028315113,1.1828817028315113,0.01828817028315112,0.1000021066911339,0.11475147947954806,0.871466818072329,176
-4.487989505128276,4.487989505128276,phi_theta,0.5,4.487989505128276,-4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186311350296123,0.08186311350296123,0.11828817028315089,0.1,0.11828817028315089,1.1828817028315088,0.018288170283150884,0.10000210672435784,0.11475148658279294,0.8714667644170915,176
-4.487989505128276,6.283185307179586,phi_theta,0.5,6.283185307179586,-4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186311350289323,0.08186311350289323,0.11828817028315076,0.1,0.11828817028315076,1.1828817028315075,0.01828817028315076,0.10000210673863905,0.11475148963676102,0.8714667413485414,176
-2.6927937030769655,-6.283185307179586,phi_theta,0.5,-6.283185307179586,-2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636248288818193,0.17636248288818193,0.12014166399272758,0.1,0.12014166399272758,1.2014166399272757,0.02014166399272757,0.10000221412719154,0.11633017334360235,0.8596412371175344,190
-2.6927937030769655,-4.487989505128276,phi_theta,0.5,-4.487989505128276,-2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636248288824925,0.17636248288824924,0.12014166399272792,0.1,0.12014166399272792,1.2014166399272792,0.020141663992727918,0.10000221411389286,0.116330170326529,0.8596412592983838,190
-2.6927937030769655,-2.6927937030769655,phi_theta,0.5,-2.6927937030769655,-2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636248288840781,0.1763624828884078,0.12014166399272877,0.1,0.12014166399272877,1.2014166399272876,0.020141663992728764,0.10000221408295201,0.11633016330810654,0.8596413108962196,190
