mode,omega,theta,phi,rho,hosting_value
1D_phi,0.5,0.0,-6.283185307179586,0.0,0.9246002761246634
1D_phi,0.5,0.0,-5.621797380108051,0.0,0.9159158390613317
1D_phi,0.5,0.0,-4.960409453036515,0.0,0.9032663589094403
1D_phi,0.5,0.0,-4.29902152596498,0.0,0.9055140668362339
1D_phi,0.5,0.0,-3.6376335988934447,0.0,0.9193660213950603
1D_phi,0.5,0.0,-2.9762456718219092,0.0,0.9239711495565173
1D_phi,0.5,0.0,-2.314857744750374,0.0,0.9121905045063177
1D_phi,0.5,0.0,-1.6534698176788387,0.0,0.9020826258634259
1D_phi,0.5,0.0,-0.9920818906073032,0.0,0.9085957484749463
1D_phi,0.5,0.0,-0.33069396353576774,0.0,0.9221567532490621
1D_phi,0.5,0.0,0.33069396353576774,0.0,0.9221567532490621
1D_phi,0.5,0.0,0.9920818906073032,0.0,0.9085957484749463
1D_phi,0.5,0.0,1.6534698176788378,0.0,0.9020826258634259
1D_phi,0.5,0.0,2.3148577447503733,0.0,0.9121905045063177
1D_phi,0.5,0.0,2.976245671821909,0.0,0.9239711495565173
1D_phi,0.5,0.0,3.6376335988934443,0.0,0.9193660213950603
1D_phi,0.5,0.0,4.29902152596498,0.0,0.9055140668362339
1D_phi,0.5,0.0,4.960409453036515,0.0,0.9032663589094403
1D_phi,0.5,0.0,5.621797380108051,0.0,0.9159158390613317
1D_phi,0.5,0.0,6.283185307179586,0.0,0.9246002761246634
2D_theta_rho,0.5,-6.283185307179586,0.7853981633974483,-6.283185307179586,0.9131253759233001
2D_theta_rho,0.5,-6.283185307179586,0.7853981633974483,-4.960409453036515,0.9578081023963231
2D_theta_rho,0.5,-6.283185307179586,0.7853981633974483,-3.6376335988934447,0.9235105711578823
2D_theta_rho,0.5,-6.283185307179586,0.7853981633974483,-2.314857744750374,0.9383395443810694
2D_theta_rho,0.5,-6.283185307179586,0.7853981633974483,-0.9920818906073032,0.9460399332437485
2D_theta_rho,0.5,-6.283185307179586,0.7853981633974483,0.33069396353576774,0.9179296463291595
2D_theta_rho,0.5,-6.283185307179586,0.7853981633974483,1.6534698176788378,0.9604810405888963
2D_theta_rho,0.5,-6.283185307179586,0.7853981633974483,2.976245671821909,0.9143550807748897
2D_theta_rho,0.5,-6.283185307179586,0.7853981633974483,4.29902152596498,0.9527923555772855
2D_theta_rho,0.5,-6.283185307179586,0.7853981633974483,5.621797380108051,0.9305528127809277
2D_theta_rho,0.5,-4.960409453036515,0.7853981633974483,-6.283185307179586,0.9942992593127069
2D_theta_rho,0.5,-4.960409453036515,0.7853981633974483,-4.960409453036515,0.9179033035748518
2D_theta_rho,0.5,-4.960409453036515,0.7853981633974483,-3.6376335988934447,0.9575024119740361
2D_theta_rho,0.5,-4.960409453036515,0.7853981633974483,-2.314857744750374,0.9616048063350293
2D_theta_rho,0.5,-4.960409453036515,0.7853981633974483,-0.9920818906073032,0.9150630273282752
2D_theta_rho,0.5,-4.960409453036515,0.7853981633974483,0.33069396353576774,0.9957768648043209
2D_theta_rho,0.5,-4.960409453036515,0.7853981633974483,1.6534698176788378,0.9032153253170191
2D_theta_rho,0.5,-4.960409453036515,0.7853981633974483,2.976245671821909,0.9854992891432874
2D_theta_rho,0.5,-4.960409453036515,0.7853981633974483,4.29902152596498,0.9307525766377943
2D_theta_rho,0.5,-4.960409453036515,0.7853981633974483,5.621797380108051,0.9417457860628524
2D_theta_rho,0.5,-3.6376335988934447,0.7853981633974483,-6.283185307179586,0.9314558250495626
2D_theta_rho,0.5,-3.6376335988934447,0.7853981633974483,-4.960409453036515,0.9315632483113245
2D_theta_rho,0.5,-3.6376335988934447,0.7853981633974483,-3.6376335988934447,0.960554242157594
2D_theta_rho,0.5,-3.6376335988934447,0.7853981633974483,-2.314857744750374,0.9105998529220596
2D_theta_rho,0.5,-3.6376335988934447,0.7853981633974483,-0.9920818906073032,0.9707609462904193
2D_theta_rho,0.5,-3.6376335988934447,0.7853981633974483,0.33069396353576774,0.9151494689420164
2D_theta_rho,0.5,-3.6376335988934447,0.7853981633974483,1.6534698176788378,0.9517748563132414
2D_theta_rho,0.5,-3.6376335988934447,0.7853981633974483,2.976245671821909,0.9415905655331822
2D_theta_rho,0.5,-3.6376335988934447,0.7853981633974483,4.29902152596498,0.922430145201988
2D_theta_rho,0.5,-3.6376335988934447,0.7853981633974483,5.621797380108051,0.9671871013858275
2D_theta_rho,0.5,-2.314857744750374,0.7853981633974483,-6.283185307179586,0.9581833106746727
2D_theta_rho,0.5,-2.314857744750374,0.7853981633974483,-4.960409453036515,0.9468131291476668
2D_theta_rho,0.5,-2.314857744750374,0.7853981633974483,-3.6376335988934447,0.921367753538466
2D_theta_rho,0.5,-2.314857744750374,0.7853981633974483,-2.314857744750374,0.978948298468093
2D_theta_rho,0.5,-2.314857744750374,0.7853981633974483,-0.9920818906073032,0.9052848197207213
2D_theta_rho,0.5,-2.314857744750374,0.7853981633974483,0.33069396353576774,0.9782256824220609
2D_theta_rho,0.5,-2.314857744750374,0.7853981633974483,1.6534698176788378,0.9224958834324152
2D_theta_rho,0.5,-2.314857744750374,0.7853981633974483,2.976245671821909,0.945398823464847
2D_theta_rho,0.5,-2.314857744750374,0.7853981633974483,4.29902152596498,0.9595181827045494
2D_theta_rho,0.5,-2.314857744750374,0.7853981633974483,5.621797380108051,0.9125514452617794
2D_theta_rho,0.5,-0.9920818906073032,0.7853981633974483,-6.283185307179586,0.9723263211333332
2D_theta_rho,0.5,-0.9920818906073032,0.7853981633974483,-4.960409453036515,0.9069789509763783
2D_theta_rho,0.5,-0.9920818906073032,0.7853981633974483,-3.6376335988934447,0.9893353396013418
2D_theta_rho,0.5,-0.9920818906073032,0.7853981633974483,-2.314857744750374,0.9106482212843952
2D_theta_rho,0.5,-0.9920818906073032,0.7853981633974483,-0.9920818906073032,0.9649943366128344
2D_theta_rho,0.5,-0.9920818906073032,0.7853981633974483,0.33069396353576774,0.9454338260610382
2D_theta_rho,0.5,-0.9920818906073032,0.7853981633974483,1.6534698176788378,0.9243450743259726
2D_theta_rho,0.5,-0.9920818906073032,0.7853981633974483,2.976245671821909,0.982355986866189
2D_theta_rho,0.5,-0.9920818906073032,0.7853981633974483,4.29902152596498,0.9039942585194057
2D_theta_rho,0.5,-0.9920818906073032,0.7853981633974483,5.621797380108051,0.9853411546245923
2D_theta_rho,0.5,0.33069396353576774,0.7853981633974483,-6.283185307179586,0.9215661565469899
2D_theta_rho,0.5,0.33069396353576774,0.7853981633974483,-4.960409453036515,0.9631505585127584
2D_theta_rho,0.5,0.33069396353576774,0.7853981633974483,-3.6376335988934447,0.9110328351871474
2D_theta_rho,0.5,0.33069396353576774,0.7853981633974483,-2.314857744750374,0.9615099456082631
2D_theta_rho,0.5,0.33069396353576774,0.7853981633974483,-0.9920818906073032,0.9242202305460244
2D_theta_rho,0.5,0.33069396353576774,0.7853981633974483,0.33069396353576774,0.9382552458133537
2D_theta_rho,0.5,0.33069396353576774,0.7853981633974483,1.6534698176788378,0.9502862372332664
2D_theta_rho,0.5,0.33069396353576774,0.7853981633974483,2.976245671821909,0.915554654102511
2D_theta_rho,0.5,0.33069396353576774,0.7853981633974483,4.29902152596498,0.965706601899397
2D_theta_rho,0.5,0.33069396353576774,0.7853981633974483,5.621797380108051,0.9129383568181277
2D_theta_rho,0.5,1.6534698176788378,0.7853981633974483,-6.283185307179586,0.9993516287882964
2D_theta_rho,0.5,1.6534698176788378,0.7853981633974483,-4.960409453036515,0.9049965598367246
2D_theta_rho,0.5,1.6534698176788378,0.7853981633974483,-3.6376335988934447,0.9809606407768414
2D_theta_rho,0.5,1.6534698176788378,0.7853981633974483,-2.314857744750374,0.9384470938201
2D_theta_rho,0.5,1.6534698176788378,0.7853981633974483,-0.9920818906073032,0.9346428472821472
2D_theta_rho,0.5,1.6534698176788378,0.7853981633974483,0.33069396353576774,0.9841384857569008
2D_theta_rho,0.5,1.6534698176788378,0.7853981633974483,1.6534698176788378,0.9038082905641796
2D_theta_rho,0.5,1.6534698176788378,0.7853981633974483,2.976245671821909,0.9986167042515615
2D_theta_rho,0.5,1.6534698176788378,0.7853981633974483,4.29902152596498,0.9125418714500199
2D_theta_rho,0.5,1.6534698176788378,0.7853981633974483,5.621797380108051,0.966423540340537
2D_theta_rho,0.5,2.976245671821909,0.7853981633974483,-6.283185307179586,0.915279535166339
2D_theta_rho,0.5,2.976245671821909,0.7853981633974483,-4.960409453036515,0.9506367689053616
2D_theta_rho,0.5,2.976245671821909,0.7853981633974483,-3.6376335988934447,0.934435762698189
2D_theta_rho,0.5,2.976245671821909,0.7853981633974483,-2.314857744750374,0.9270240318592484
2D_theta_rho,0.5,2.976245671821909,0.7853981633974483,-0.9920818906073032,0.9565416262967315
2D_theta_rho,0.5,2.976245671821909,0.7853981633974483,0.33069396353576774,0.9128849656691872
2D_theta_rho,0.5,2.976245671821909,0.7853981633974483,1.6534698176788378,0.9608208432791242
2D_theta_rho,0.5,2.976245671821909,0.7853981633974483,2.976245671821909,0.9200390042309003
2D_theta_rho,0.5,2.976245671821909,0.7853981633974483,4.29902152596498,0.9430268214250425
2D_theta_rho,0.5,2.976245671821909,0.7853981633974483,5.621797380108051,0.9426090296171067
2D_theta_rho,0.5,4.29902152596498,0.7853981633974483,-6.283185307179586,0.9848804175069132
2D_theta_rho,0.5,4.29902152596498,0.7853981633974483,-4.960409453036515,0.9271952353125766
2D_theta_rho,0.5,4.29902152596498,0.7853981633974483,-3.6376335988934447,0.9441672186206986
2D_theta_rho,0.5,4.29902152596498,0.7853981633974483,-2.314857744750374,0.9708120762144805
2D_theta_rho,0.5,4.29902152596498,0.7853981633974483,-0.9920818906073032,0.9086090903323112
2D_theta_rho,0.5,4.29902152596498,0.7853981633974483,0.33069396353576774,0.9944162690941146
2D_theta_rho,0.5,4.29902152596498,0.7853981633974483,1.6534698176788378,0.9073246200002187
2D_theta_rho,0.5,4.29902152596498,0.7853981633974483,2.976245671821909,0.97340186607895
2D_theta_rho,0.5,4.29902152596498,0.7853981633974483,4.29902152596498,0.9412678620726017
2D_theta_rho,0.5,4.29902152596498,0.7853981633974483,5.621797380108051,0.9297796641397292
2D_theta_rho,0.5,5.621797380108051,0.7853981633974483,-6.283185307179586,0.9440662819761507
2D_theta_rho,0.5,5.621797380108051,0.7853981633974483,-4.960409453036515,0.9218354036764058
2D_theta_rho,0.5,5.621797380108051,0.7853981633974483,-3.6376335988934447,0.972970718771753
2D_theta_rho,0.5,5.621797380108051,0.7853981633974483,-2.314857744750374,0.9070155544523021
2D_theta_rho,0.5,5.621797380108051,0.7853981633974483,-0.9920818906073032,0.972695394867088
