theta,phi,rho,chi,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,sample_count
0.0,0.39269908169872414,-6.283185307179586,0.7071067811865476,0.5,0.0,0.39269908169872414,-6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067276453,0.08928812067276452,203
0.0,0.39269908169872414,-5.385587406153931,0.7071067811865476,0.5,0.0,0.39269908169872414,-5.385587406153931,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344958978,0.05069720344958978,259
0.0,0.39269908169872414,-4.487989505128276,0.7071067811865476,0.5,0.0,0.39269908169872414,-4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8204386192399722,0.08204386192399722,211
0.0,0.39269908169872414,-3.5903916041026207,0.7071067811865475,0.5,0.0,0.39269908169872414,-3.5903916041026207,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419645431,0.06509752419645431,232
0.0,0.39269908169872414,-2.6927937030769655,0.7071067811865475,0.5,0.0,0.39269908169872414,-2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419655861,0.0650975241965586,232
0.0,0.39269908169872414,-1.7951958020513104,0.7071067811865475,0.5,0.0,0.39269908169872414,-1.7951958020513104,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8204386192397487,0.08204386192397486,211
0.0,0.39269908169872414,-0.8975979010256552,0.7071067811865476,0.5,0.0,0.39269908169872414,-0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344973448,0.05069720344973448,259
0.0,0.39269908169872414,0.0,0.7071067811865476,0.5,0.0,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067096225,0.08928812067096224,203
0.0,0.39269908169872414,0.8975979010256552,0.7071067811865476,0.5,0.0,0.39269908169872414,0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344966268,0.05069720344966268,259
0.0,0.39269908169872414,1.7951958020513104,0.7071067811865475,0.5,0.0,0.39269908169872414,1.7951958020513104,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8204386192401797,0.08204386192401797,211
0.0,0.39269908169872414,2.6927937030769655,0.7071067811865475,0.5,0.0,0.39269908169872414,2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419644799,0.06509752419644799,232
0.0,0.39269908169872414,3.5903916041026207,0.7071067811865475,0.5,0.0,0.39269908169872414,3.5903916041026207,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419656492,0.06509752419656492,232
0.0,0.39269908169872414,4.487989505128276,0.7071067811865476,0.5,0.0,0.39269908169872414,4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8204386192395414,0.08204386192395415,211
0.0,0.39269908169872414,5.385587406153931,0.7071067811865476,0.5,0.0,0.39269908169872414,5.385587406153931,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344966163,0.05069720344966163,259
0.0,0.39269908169872414,6.283185307179586,0.7071067811865476,0.5,0.0,0.39269908169872414,6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067276453,0.08928812067276452,203
