theta,phi,rho,chi,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,sample_count
0.0,-6.283185307179586,-6.283185307179586,1.0,0.5,0.0,-6.283185307179586,-6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.006669459753918111,0.0006669459753918111,57
0.0,-6.283185307179586,-4.487989505128276,1.0,0.5,0.0,-6.283185307179586,-4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.006669459754263984,0.0006669459754263983,57
0.0,-6.283185307179586,-2.6927937030769655,1.0,0.5,0.0,-6.283185307179586,-2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.006669459754787517,0.0006669459754787518,60
0.0,-6.283185307179586,-0.8975979010256552,1.0,0.5,0.0,-6.283185307179586,-0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.0066694597544638985,0.0006669459754463898,63
0.0,-6.283185307179586,0.8975979010256552,1.0,0.5,0.0,-6.283185307179586,0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.006669459754463857,0.0006669459754463857,63
0.0,-6.283185307179586,2.6927937030769655,1.0,0.5,0.0,-6.283185307179586,2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.006669459754787486,0.0006669459754787486,60
0.0,-6.283185307179586,4.487989505128276,1.0,0.5,0.0,-6.283185307179586,4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.00666945975426398,0.000666945975426398,57
0.0,-6.283185307179586,6.283185307179586,1.0,0.5,0.0,-6.283185307179586,6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.006669459753918111,0.0006669459753918111,57
0.0,-4.487989505128276,-6.283185307179586,-0.9009688679024189,0.5,0.0,-4.487989505128276,-6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.2717687858071429,0.02717687858071429,179
0.0,-4.487989505128276,-4.487989505128276,-0.9009688679024189,0.5,0.0,-4.487989505128276,-4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.24755320613056062,0.02475532061305606,186
0.0,-4.487989505128276,-2.6927937030769655,-0.9009688679024189,0.5,0.0,-4.487989505128276,-2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.1933150840592233,0.019331508405922328,206
0.0,-4.487989505128276,-0.8975979010256552,-0.9009688679024189,0.5,0.0,-4.487989505128276,-0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.14892086499750934,0.014892086499750934,228
0.0,-4.487989505128276,0.8975979010256552,-0.9009688679024189,0.5,0.0,-4.487989505128276,0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.1489208649991708,0.014892086499917079,228
0.0,-4.487989505128276,2.6927937030769655,-0.9009688679024189,0.5,0.0,-4.487989505128276,2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.19331508406293546,0.019331508406293545,206
0.0,-4.487989505128276,4.487989505128276,-0.9009688679024189,0.5,0.0,-4.487989505128276,4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.24755320613360762,0.024755320613360762,186
0.0,-4.487989505128276,6.283185307179586,-0.9009688679024189,0.5,0.0,-4.487989505128276,6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.2717687858071429,0.02717687858071429,179
0.0,-2.6927937030769655,-6.283185307179586,0.6234898018587334,0.5,0.0,-2.6927937030769655,-6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.208975000754944,0.12089750007549441,192
0.0,-2.6927937030769655,-4.487989505128276,0.6234898018587334,0.5,0.0,-2.6927937030769655,-4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.1171158386119224,0.11171158386119225,200
0.0,-2.6927937030769655,-2.6927937030769655,0.6234898018587334,0.5,0.0,-2.6927937030769655,-2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8960526560315355,0.08960526560315354,219
0.0,-2.6927937030769655,-0.8975979010256552,0.6234898018587334,0.5,0.0,-2.6927937030769655,-0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.7045732714709233,0.07045732714709232,243
0.0,-2.6927937030769655,0.8975979010256552,0.6234898018587334,0.5,0.0,-2.6927937030769655,0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.7045732714714292,0.07045732714714292,243
0.0,-2.6927937030769655,2.6927937030769655,0.6234898018587334,0.5,0.0,-2.6927937030769655,2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8960526560335145,0.08960526560335144,219
0.0,-2.6927937030769655,4.487989505128276,0.6234898018587334,0.5,0.0,-2.6927937030769655,4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.1171158386139177,0.11171158386139177,200
0.0,-2.6927937030769655,6.283185307179586,0.6234898018587334,0.5,0.0,-2.6927937030769655,6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.208975000754944,0.12089750007549441,192
0.0,-0.8975979010256552,-6.283185307179586,-0.22252093395631434,0.5,0.0,-0.8975979010256552,-6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.0947361339672934,0.30947361339672935,220
