theta,phi,rho,chi,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,sample_count
-6.283185307179586,0.39269908169872414,-6.283185307179586,0.7071067811865476,0.5,-6.283185307179586,0.39269908169872414,-6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067202527,0.08928812067202527,203
-6.283185307179586,0.39269908169872414,-4.487989505128276,0.7071067811865476,0.5,-6.283185307179586,0.39269908169872414,-4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.820438619201922,0.0820438619201922,211
-6.283185307179586,0.39269908169872414,-2.6927937030769655,0.7071067811865475,0.5,-6.283185307179586,0.39269908169872414,-2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.650975241999796,0.06509752419997959,232
-6.283185307179586,0.39269908169872414,-0.8975979010256552,0.7071067811865476,0.5,-6.283185307179586,0.39269908169872414,-0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344640046,0.05069720344640046,259
-6.283185307179586,0.39269908169872414,0.8975979010256552,0.7071067811865476,0.5,-6.283185307179586,0.39269908169872414,0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344632858,0.050697203446328575,259
-6.283185307179586,0.39269908169872414,2.6927937030769655,0.7071067811865475,0.5,-6.283185307179586,0.39269908169872414,2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419986883,0.06509752419986883,232
-6.283185307179586,0.39269908169872414,4.487989505128276,0.7071067811865476,0.5,-6.283185307179586,0.39269908169872414,4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8204386192014977,0.08204386192014977,211
-6.283185307179586,0.39269908169872414,6.283185307179586,0.7071067811865476,0.5,-6.283185307179586,0.39269908169872414,6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067202527,0.08928812067202527,203
-4.487989505128276,0.39269908169872414,-6.283185307179586,0.7071067811865476,0.5,-4.487989505128276,0.39269908169872414,-6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067202633,0.08928812067202632,203
-4.487989505128276,0.39269908169872414,-4.487989505128276,0.7071067811865476,0.5,-4.487989505128276,0.39269908169872414,-4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8204386192019884,0.08204386192019883,211
-4.487989505128276,0.39269908169872414,-2.6927937030769655,0.7071067811865475,0.5,-4.487989505128276,0.39269908169872414,-2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419997558,0.06509752419997558,232
-4.487989505128276,0.39269908169872414,-0.8975979010256552,0.7071067811865476,0.5,-4.487989505128276,0.39269908169872414,-0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.506972034464037,0.0506972034464037,259
-4.487989505128276,0.39269908169872414,0.8975979010256552,0.7071067811865476,0.5,-4.487989505128276,0.39269908169872414,0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344633155,0.05069720344633155,259
-4.487989505128276,0.39269908169872414,2.6927937030769655,0.7071067811865475,0.5,-4.487989505128276,0.39269908169872414,2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419986476,0.06509752419986477,232
-4.487989505128276,0.39269908169872414,4.487989505128276,0.7071067811865476,0.5,-4.487989505128276,0.39269908169872414,4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.820438619201568,0.08204386192015681,211
-4.487989505128276,0.39269908169872414,6.283185307179586,0.7071067811865476,0.5,-4.487989505128276,0.39269908169872414,6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067202633,0.08928812067202632,203
-2.6927937030769655,0.39269908169872414,-6.283185307179586,0.7071067811865476,0.5,-2.6927937030769655,0.39269908169872414,-6.283185307179586,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067202896,0.08928812067202896,203
-2.6927937030769655,0.39269908169872414,-4.487989505128276,0.7071067811865476,0.5,-2.6927937030769655,0.39269908169872414,-4.487989505128276,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8204386192021504,0.08204386192021504,211
-2.6927937030769655,0.39269908169872414,-2.6927937030769655,0.7071067811865475,0.5,-2.6927937030769655,0.39269908169872414,-2.6927937030769655,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.6509752419996588,0.06509752419996588,232
-2.6927937030769655,0.39269908169872414,-0.8975979010256552,0.7071067811865476,0.5,-2.6927937030769655,0.39269908169872414,-0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344641122,0.050697203446411224,259
-2.6927937030769655,0.39269908169872414,0.8975979010256552,0.7071067811865476,0.5,-2.6927937030769655,0.39269908169872414,0.8975979010256552,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5069720344633927,0.05069720344633927,259
