phi,theta,chi,E0
-6.283185307179586,-6.283185307179586,1.0,0.9173867490363242
-6.283185307179586,-4.71238898038469,1.0,0.9173867490363242
-6.283185307179586,-3.141592653589793,1.0,0.9173867490363242
-6.283185307179586,-1.5707963267948966,1.0,0.9173867490363242
-6.283185307179586,0.0,1.0,0.9173867490363242
-6.283185307179586,1.5707963267948966,1.0,0.9173867490363242
-6.283185307179586,3.141592653589793,1.0,0.9173867490363242
-6.283185307179586,4.71238898038469,1.0,0.9173867490363242
-6.283185307179586,6.283185307179586,1.0,0.9173867490363242
-4.71238898038469,-6.283185307179586,-1.0,0.8611611041539671
-4.71238898038469,-4.71238898038469,-1.0,0.8611611041539671
-4.71238898038469,-3.141592653589793,-1.0,0.8611611041539671
-4.71238898038469,-1.5707963267948966,-1.0,0.8611611041539671
-4.71238898038469,0.0,-1.0,0.8611611041539671
-4.71238898038469,1.5707963267948966,-1.0,0.8611611041539671
-4.71238898038469,3.141592653589793,-1.0,0.8611611041539671
-4.71238898038469,4.71238898038469,-1.0,0.8611611041539671
-4.71238898038469,6.283185307179586,-1.0,0.8611611041539671
-3.141592653589793,-6.283185307179586,1.0,0.9173867490363242
-3.141592653589793,-4.71238898038469,1.0,0.9173867490363242
-3.141592653589793,-3.141592653589793,1.0,0.9173867490363242
-3.141592653589793,-1.5707963267948966,1.0,0.9173867490363242
-3.141592653589793,0.0,1.0,0.9173867490363242
-3.141592653589793,1.5707963267948966,1.0,0.9173867490363242
-3.141592653589793,3.141592653589793,1.0,0.9173867490363242
-3.141592653589793,4.71238898038469,1.0,0.9173867490363242
-3.141592653589793,6.283185307179586,1.0,0.9173867490363242
-1.5707963267948966,-6.283185307179586,-1.0,0.8611611041539671
-1.5707963267948966,-4.71238898038469,-1.0,0.8611611041539671
-1.5707963267948966,-3.141592653589793,-1.0,0.8611611041539671
-1.5707963267948966,-1.5707963267948966,-1.0,0.8611611041539671
-1.5707963267948966,0.0,-1.0,0.8611611041539671
-1.5707963267948966,1.5707963267948966,-1.0,0.8611611041539671
-1.5707963267948966,3.141592653589793,-1.0,0.8611611041539671
-1.5707963267948966,4.71238898038469,-1.0,0.8611611041539671
-1.5707963267948966,6.283185307179586,-1.0,0.8611611041539671
0.0,-6.283185307179586,1.0,0.9173867490363242
0.0,-4.71238898038469,1.0,0.9173867490363242
0.0,-3.141592653589793,1.0,0.9173867490363242
0.0,-1.5707963267948966,1.0,0.9173867490363242
0.0,0.0,1.0,0.9173867490363242
0.0,1.5707963267948966,1.0,0.9173867490363242
0.0,3.141592653589793,1.0,0.9173867490363242
0.0,4.71238898038469,1.0,0.9173867490363242
0.0,6.283185307179586,1.0,0.9173867490363242
1.5707963267948966,-6.283185307179586,-1.0,0.8611611041539671
1.5707963267948966,-4.71238898038469,-1.0,0.8611611041539671
1.5707963267948966,-3.141592653589793,-1.0,0.8611611041539671
1.5707963267948966,-1.5707963267948966,-1.0,0.8611611041539671
1.5707963267948966,0.0,-1.0,0.8611611041539671
1.5707963267948966,1.5707963267948966,-1.0,0.8611611041539671
1.5707963267948966,3.141592653589793,-1.0,0.8611611041539671
1.5707963267948966,4.71238898038469,-1.0,0.8611611041539671
1.5707963267948966,6.283185307179586,-1.0,0.8611611041539671
3.141592653589793,-6.283185307179586,1.0,0.9173867490363242
3.141592653589793,-4.71238898038469,1.0,0.9173867490363242
3.141592653589793,-3.141592653589793,1.0,0.9173867490363242
3.141592653589793,-1.5707963267948966,1.0,0.9173867490363242
3.141592653589793,0.0,1.0,0.9173867490363242
3.141592653589793,1.5707963267948966,1.0,0.9173867490363242
3.141592653589793,3.141592653589793,1.0,0.9173867490363242
3.141592653589793,4.71238898038469,1.0,0.9173867490363242
3.141592653589793,6.283185307179586,1.0,0.9173867490363242
4.71238898038469,-6.283185307179586,-1.0,0.8611611041539671
4.71238898038469,-4.71238898038469,-1.0,0.8611611041539671
4.71238898038469,-3.141592653589793,-1.0,0.8611611041539671
4.71238898038469,-1.5707963267948966,-1.0,0.8611611041539671
4.71238898038469,0.0,-1.0,0.8611611041539671
4.71238898038469,1.5707963267948966,-1.0,0.8611611041539671
4.71238898038469,3.141592653589793,-1.0,0.8611611041539671
4.71238898038469,4.71238898038469,-1.0,0.8611611041539671
4.71238898038469,6.283185307179586,-1.0,0.8611611041539671
6.283185307179586,-6.283185307179586,1.0,0.9173867490363242
6.283185307179586,-4.71238898038469,1.0,0.9173867490363242
6.283185307179586,-3.141592653589793,1.0,0.9173867490363242
6.283185307179586,-1.5707963267948966,1.0,0.9173867490363242
6.283185307179586,0.0,1.0,0.9173867490363242
6.283185307179586,1.5707963267948966,1.0,0.9173867490363242
6.283185307179586,3.141592653589793,1.0,0.9173867490363242
6.283185307179586,4.71238898038469,1.0,0.9173867490363242
6.283185307179586,6.283185307179586,1.0,0.9173867490363242
