lambda_q,central_amplitude_base,success,failure_reason,final_mass,compactness_90,boundary_qnorm,regular_branch_candidate
0.005,0.01,True,,0.004987410240540783,9.630999999999839,0.01387156651502128,True
0.005,0.02,True,,0.01995077724991575,9.630999999999839,0.02773442270699622,True
0.005,0.03,True,,0.04489348361306026,9.630999999999839,0.04157974903231532,True
0.005,0.04,True,,0.07982107902744104,9.630999999999839,0.05539850429726972,True
0.01,0.01,True,,0.0049876239172472634,9.630999999999839,0.01387126046311424,True
0.01,0.02,True,,0.019954193138285586,9.630999999999839,0.02773197029774312,True
0.01,0.03,True,,0.04491075169185433,9.630999999999839,0.04157144954373295,True
0.01,0.04,True,,0.07987554430978204,9.630999999999839,0.05537875570207495,True
0.02,0.01,True,,0.004988051220523162,9.630999999999839,0.013870648393976916,True
0.02,0.02,True,,0.019961021705047592,9.630999999999839,0.02772706658878683,True
0.02,0.03,True,,0.044945251262627106,9.630999999999839,0.04155485899094132,True
0.02,0.04,True,,0.07998426912015519,9.630999999999839,0.05533929400515679,True
0.04,0.01,True,,0.004988905626566504,9.630999999999839,0.013869424394391228,True
0.04,0.02,True,,0.01997466600880702,9.630999999999839,0.02771726360674174,True
0.04,0.03,True,,0.045014104316555434,9.630999999999839,0.04152171154348769,True
0.04,0.04,True,,0.08020089831271218,9.630999999999839,0.05526051229567478,True
