step,t,core_x,w,theta,phi,rho
0,0.0,0.05161290322580636,0.49784771657928795,3.128069458023889,-1.5640347290119445,1.5640347290119445
1,0.01,0.05161290322580636,0.49753167140362975,3.1260836876197886,-1.5630418438098943,1.5630418438098943
2,0.02,0.05161290322580636,0.49705863065984895,3.1231114849687676,-1.5615557424843838,1.5615557424843838
3,0.03,0.05161290322580636,0.4964293335589501,3.119157494670549,-1.5595787473352745,1.5595787473352745
4,0.04,0.05161290322580636,0.4956445586680151,3.1142266086063826,-1.5571133043031913,1.5571133043031913
5,0.05,0.05161290322580636,0.4947051228705704,3.1083239594068397,-1.5541619797034198,1.5541619797034198
6,0.06,0.05161290322580636,0.4936118804904768,3.101454914947049,-1.5507274574735246,1.5507274574735246
7,0.07,0.05161290322580636,0.4923657225799248,3.0936250738730435,-1.5468125369365218,1.5468125369365218
8,0.08,0.05161290322580636,0.49096757637138017,3.084840262158227,-1.5424201310791135,1.5424201310791135
9,0.09,0.05161290322580636,0.48941840489258726,3.0751065306843737,-1.5375532653421868,1.5375532653421868
10,0.1,0.05161290322580636,0.4877192067430116,3.064430153836973,-1.5322150769184866,1.5322150769184866
11,0.11,0.05161290322580636,0.48587101602938376,3.052817629100241,-1.5264088145501205,1.5264088145501205
12,0.12,0.05161290322580636,0.4838749024573002,3.0402756776326636,-1.5201378388163318,1.5201378388163318
13,0.13,0.05161290322580636,0.48173197157514625,3.0268112457996126,-1.5134056228998063,1.5134056228998063
14,0.14,0.05161290322580636,0.47944336516593117,3.0124315076353154,-1.5062157538176577,1.5062157538176577
15,0.15,0.05161290322580636,0.4770102617819711,2.9971438682023686,-1.4985719341011843,1.4985719341011843
16,0.16,0.05161290322580636,0.4744338774167233,2.9809559678129967,-1.4904779839064983,1.4904779839064983
17,0.17,0.05161290322580636,0.471715466307467,2.9638756870724436,-1.4819378435362218,1.4819378435362218
18,0.18,0.05161290322580636,0.4688563218619428,2.945911152701222,-1.472955576350611,1.472955576350611
19,0.19,0.05161290322580636,0.46585777770151104,2.927070744089468,-1.463535372044734,1.463535372044734
20,0.2,0.05161290322580636,0.46272120881286405,2.9073631005333644,-1.4536815502666822,1.4536815502666822
21,0.21,0.05161290322580636,0.459448032799838,2.8867971291005063,-1.4433985645502532,1.4433985645502532
22,0.22,0.05161290322580636,0.456039711226411,2.865382013068207,-1.4326910065341034,1.4326910065341034
23,0.23,0.05161290322580636,0.4524977510415528,2.8431272208760907,-1.4215636104380454,1.4215636104380454
24,0.24,0.05161290322580636,0.44882370607620564,2.820042515531904,-1.410021257765952,1.410021257765952
25,0.25,0.05161290322580636,0.4450191786023288,2.79613796440728,-1.39806898220364,1.39806898220364
26,0.26,0.05161290322580636,0.4410858209436304,2.771423949358264,-1.385711974679132,1.385711974679132
27,0.27,0.05161290322580636,0.437025337127342,2.74591117710372,-1.37295558855186,1.37295558855186
28,0.28,0.05161290322580636,0.43283948456616395,2.719610689793307,-1.3598053448966534,1.3598053448966534
29,0.29,0.1548387096774193,0.4285979699755818,2.692960467637574,-1.346480233818787,1.346480233818787
30,0.3,0.1548387096774193,0.42463541951371886,2.6680630287966385,-1.3340315143983192,1.3340315143983192
31,0.31,0.1548387096774193,0.42057534641108923,2.6425528371321207,-1.3212764185660604,1.3212764185660604
32,0.32,0.1548387096774193,0.4164196317518587,2.6164417118444123,-1.3082208559222062,1.3082208559222062
33,0.33,0.1548387096774193,0.412170159934799,2.5897414929601887,-1.2948707464800944,1.2948707464800944
34,0.34,0.1548387096774193,0.4078288202299468,2.562464051113186,-1.281232025556593,1.281232025556593
35,0.35000000000000003,0.1548387096774193,0.4033975084270031,2.5346212979013982,-1.2673106489506991,1.2673106489506991
36,0.36,0.25806451612903225,0.39918302398190914,2.5081409111586477,-1.2540704555793238,1.2540704555793238
37,0.37,0.25806451612903225,0.39528087903044196,2.483623011333105,-1.2418115056665524,1.2418115056665524
38,0.38,0.25806451612903225,0.3913168532160773,2.458716302579009,-1.2293581512895044,1.2293581512895044
39,0.39,0.25806451612903225,0.38729236958417823,2.4334297261540763,-1.2167148630770381,1.2167148630770381
40,0.4,0.25806451612903225,0.3832088088789456,2.4077719575299827,-1.2038859787649914,1.2038859787649914
41,0.41000000000000003,0.361290322580645,0.37988382315833297,2.3868804561036447,-1.1934402280518224,1.1934402280518224
42,0.42,0.361290322580645,0.3765642880412705,2.366023201829451,-1.1830116009147256,1.1830116009147256
43,0.43,0.361290322580645,0.37321042645676794,2.3449502679993905,-1.1724751339996953,1.1724751339996953
44,0.44,0.4645161290322579,0.37016149107500357,2.3257932420061516,-1.1628966210030758,1.1628966210030758
45,0.45,0.4645161290322579,0.36772329417605554,2.3104735990746703,-1.1552367995373352,1.1552367995373352
46,0.46,0.4645161290322579,0.3652716176277294,2.295069261008271,-1.1475346305041354,1.1475346305041354
47,0.47000000000000003,0.5677419354838711,0.3629444674170695,2.280447344997051,-1.1402236724985255,1.1402236724985255
48,0.48,0.5677419354838711,0.3615203198364196,2.2714991618430562,-1.1357495809215281,1.1357495809215281
49,0.49,0.5677419354838711,0.3600985605520946,2.2625659847974395,-1.1312829923987198,1.1312829923987198
