theta_2,rho_2,dm
-3.141592653589793,-3.141592653589793,-2.4034399917439866
-3.141592653589793,-2.8108986900540254,-2.3001494136817224
-3.141592653589793,-2.4802047265182576,-2.196858835619459
-3.141592653589793,-2.14951076298249,-2.093568257557197
-3.141592653589793,-1.8188167994467224,-1.990277679494934
-3.141592653589793,-1.4881228359109546,-1.8869871014326707
-3.141592653589793,-1.157428872375187,-1.7836965233704092
-3.141592653589793,-0.8267349088394194,-1.680405945308146
-3.141592653589793,-0.4960409453036516,-1.5771153672458826
-3.141592653589793,-0.16534698176788387,-1.4738247891836205
-3.141592653589793,0.16534698176788387,-1.3705342111213574
-3.141592653589793,0.4960409453036516,-1.2672436330590942
-3.141592653589793,0.8267349088394189,-1.1639530549968318
-3.141592653589793,1.1574288723751867,-1.0606624769345685
-3.141592653589793,1.4881228359109544,-0.9573718988723061
-3.141592653589793,1.8188167994467221,-0.8540813208100432
-3.141592653589793,2.14951076298249,-0.7507907427477808
-3.141592653589793,2.4802047265182576,-0.6475001646855175
-3.141592653589793,2.8108986900540254,-0.5442095866232548
-3.141592653589793,3.141592653589793,-0.4409190085609921
-2.8108986900540254,-3.141592653589793,-2.196858835619459
-2.8108986900540254,-2.8108986900540254,-2.093568257557197
-2.8108986900540254,-2.4802047265182576,-1.9902776794949333
-2.8108986900540254,-2.14951076298249,-1.8869871014326707
-2.8108986900540254,-1.8188167994467224,-1.7836965233704087
-2.8108986900540254,-1.4881228359109546,-1.6804059453081464
-2.8108986900540254,-1.157428872375187,-1.5771153672458826
-2.8108986900540254,-0.8267349088394194,-1.4738247891836205
-2.8108986900540254,-0.4960409453036516,-1.3705342111213574
-2.8108986900540254,-0.16534698176788387,-1.267243633059094
-2.8108986900540254,0.16534698176788387,-1.1639530549968318
-2.8108986900540254,0.4960409453036516,-1.0606624769345685
-2.8108986900540254,0.8267349088394189,-0.957371898872306
-2.8108986900540254,1.1574288723751867,-0.8540813208100431
-2.8108986900540254,1.4881228359109544,-0.7507907427477808
-2.8108986900540254,1.8188167994467221,-0.6475001646855176
-2.8108986900540254,2.14951076298249,-0.5442095866232548
-2.8108986900540254,2.4802047265182576,-0.4409190085609922
-2.8108986900540254,2.8108986900540254,-0.3376284304987293
-2.8108986900540254,3.141592653589793,-0.2343378524364663
-2.4802047265182576,-3.141592653589793,-1.990277679494934
-2.4802047265182576,-2.8108986900540254,-1.8869871014326707
-2.4802047265182576,-2.4802047265182576,-1.7836965233704087
-2.4802047265182576,-2.14951076298249,-1.6804059453081464
-2.4802047265182576,-1.8188167994467224,-1.5771153672458826
-2.4802047265182576,-1.4881228359109546,-1.4738247891836207
-2.4802047265182576,-1.157428872375187,-1.3705342111213574
-2.4802047265182576,-0.8267349088394194,-1.267243633059094
-2.4802047265182576,-0.4960409453036516,-1.1639530549968318
-2.4802047265182576,-0.16534698176788387,-1.0606624769345685
-2.4802047265182576,0.16534698176788387,-0.9573718988723058
-2.4802047265182576,0.4960409453036516,-0.8540813208100431
-2.4802047265182576,0.8267349088394189,-0.7507907427477808
-2.4802047265182576,1.1574288723751867,-0.6475001646855175
-2.4802047265182576,1.4881228359109544,-0.5442095866232548
-2.4802047265182576,1.8188167994467221,-0.4409190085609921
-2.4802047265182576,2.14951076298249,-0.33762843049872926
-2.4802047265182576,2.4802047265182576,-0.2343378524364663
-2.4802047265182576,2.8108986900540254,-0.13104727437420358
-2.4802047265182576,3.141592653589793,-0.02775669631194073
-2.14951076298249,-3.141592653589793,-1.7836965233704087
-2.14951076298249,-2.8108986900540254,-1.6804059453081464
