theta,phi,rho,e_flux
-6.283185307179586,-6.283185307179586,-6.283185307179586,3.9478417604357423
-6.283185307179586,-6.283185307179586,-5.621797380108051,3.5541511693673575
-6.283185307179586,-6.283185307179586,-4.960409453036515,3.204203977306572
-6.283185307179586,-6.283185307179586,-4.29902152596498,2.898000184253384
-6.283185307179586,-6.283185307179586,-3.6376335988934447,2.635539790207795
-6.283185307179586,-6.283185307179586,-2.9762456718219092,2.4168227951698036
-6.283185307179586,-6.283185307179586,-2.314857744750374,2.2418491991394105
-6.283185307179586,-6.283185307179586,-1.6534698176788387,2.110619002116616
-6.283185307179586,-6.283185307179586,-0.9920818906073032,2.0231322041014193
-6.283185307179586,-6.283185307179586,-0.33069396353576774,1.979388805093821
-6.283185307179586,-6.283185307179586,0.33069396353576774,1.979388805093821
-6.283185307179586,-6.283185307179586,0.9920818906073032,2.0231322041014193
-6.283185307179586,-6.283185307179586,1.6534698176788378,2.1106190021166156
-6.283185307179586,-6.283185307179586,2.3148577447503733,2.2418491991394105
-6.283185307179586,-6.283185307179586,2.976245671821909,2.4168227951698036
-6.283185307179586,-6.283185307179586,3.6376335988934443,2.635539790207795
-6.283185307179586,-6.283185307179586,4.29902152596498,2.898000184253384
-6.283185307179586,-6.283185307179586,4.960409453036515,3.204203977306572
-6.283185307179586,-6.283185307179586,5.621797380108051,3.5541511693673575
-6.283185307179586,-6.283185307179586,6.283185307179586,3.9478417604357423
-5.621797380108051,-6.283185307179586,-6.283185307179586,3.5541511693673575
-5.621797380108051,-6.283185307179586,-5.621797380108051,3.1604605782989736
-5.621797380108051,-6.283185307179586,-4.960409453036515,2.810513386238188
-5.621797380108051,-6.283185307179586,-4.29902152596498,2.504309593185
-5.621797380108051,-6.283185307179586,-3.6376335988934447,2.2418491991394105
-5.621797380108051,-6.283185307179586,-2.9762456718219092,2.0231322041014193
-5.621797380108051,-6.283185307179586,-2.314857744750374,1.8481586080710262
-5.621797380108051,-6.283185307179586,-1.6534698176788387,1.7169284110482315
-5.621797380108051,-6.283185307179586,-0.9920818906073032,1.6294416130330347
-5.621797380108051,-6.283185307179586,-0.33069396353576774,1.5856982140254368
-5.621797380108051,-6.283185307179586,0.33069396353576774,1.5856982140254368
-5.621797380108051,-6.283185307179586,0.9920818906073032,1.6294416130330347
-5.621797380108051,-6.283185307179586,1.6534698176788378,1.7169284110482312
-5.621797380108051,-6.283185307179586,2.3148577447503733,1.8481586080710262
-5.621797380108051,-6.283185307179586,2.976245671821909,2.0231322041014193
-5.621797380108051,-6.283185307179586,3.6376335988934443,2.24184919913941
-5.621797380108051,-6.283185307179586,4.29902152596498,2.504309593185
-5.621797380108051,-6.283185307179586,4.960409453036515,2.810513386238188
-5.621797380108051,-6.283185307179586,5.621797380108051,3.1604605782989736
-5.621797380108051,-6.283185307179586,6.283185307179586,3.5541511693673575
-4.960409453036515,-6.283185307179586,-6.283185307179586,3.204203977306572
-4.960409453036515,-6.283185307179586,-5.621797380108051,2.810513386238188
-4.960409453036515,-6.283185307179586,-4.960409453036515,2.4605661941774013
-4.960409453036515,-6.283185307179586,-4.29902152596498,2.1543624011242137
-4.960409453036515,-6.283185307179586,-3.6376335988934447,1.891902007078624
-4.960409453036515,-6.283185307179586,-2.9762456718219092,1.673185012040633
-4.960409453036515,-6.283185307179586,-2.314857744750374,1.4982114160102402
-4.960409453036515,-6.283185307179586,-1.6534698176788387,1.3669812189874453
-4.960409453036515,-6.283185307179586,-0.9920818906073032,1.2794944209722487
-4.960409453036515,-6.283185307179586,-0.33069396353576774,1.2357510219646506
-4.960409453036515,-6.283185307179586,0.33069396353576774,1.2357510219646506
-4.960409453036515,-6.283185307179586,0.9920818906073032,1.2794944209722487
-4.960409453036515,-6.283185307179586,1.6534698176788378,1.366981218987445
-4.960409453036515,-6.283185307179586,2.3148577447503733,1.4982114160102398
-4.960409453036515,-6.283185307179586,2.976245671821909,1.6731850120406329
-4.960409453036515,-6.283185307179586,3.6376335988934443,1.891902007078624
-4.960409453036515,-6.283185307179586,4.29902152596498,2.1543624011242137
-4.960409453036515,-6.283185307179586,4.960409453036515,2.4605661941774013
-4.960409453036515,-6.283185307179586,5.621797380108051,2.810513386238188
-4.960409453036515,-6.283185307179586,6.283185307179586,3.204203977306572
-4.29902152596498,-6.283185307179586,-6.283185307179586,2.898000184253384
-4.29902152596498,-6.283185307179586,-5.621797380108051,2.504309593185
-4.29902152596498,-6.283185307179586,-4.960409453036515,2.1543624011242137
-4.29902152596498,-6.283185307179586,-4.29902152596498,1.8481586080710257
-4.29902152596498,-6.283185307179586,-3.6376335988934447,1.5856982140254365
-4.29902152596498,-6.283185307179586,-2.9762456718219092,1.3669812189874453
-4.29902152596498,-6.283185307179586,-2.314857744750374,1.1920076229570524
-4.29902152596498,-6.283185307179586,-1.6534698176788387,1.0607774259342575
-4.29902152596498,-6.283185307179586,-0.9920818906073032,0.973290627919061
-4.29902152596498,-6.283185307179586,-0.33069396353576774,0.9295472289114627
-4.29902152596498,-6.283185307179586,0.33069396353576774,0.9295472289114627
-4.29902152596498,-6.283185307179586,0.9920818906073032,0.973290627919061
-4.29902152596498,-6.283185307179586,1.6534698176788378,1.0607774259342573
-4.29902152596498,-6.283185307179586,2.3148577447503733,1.192007622957052
-4.29902152596498,-6.283185307179586,2.976245671821909,1.3669812189874448
-4.29902152596498,-6.283185307179586,3.6376335988934443,1.5856982140254363
-4.29902152596498,-6.283185307179586,4.29902152596498,1.8481586080710257
-4.29902152596498,-6.283185307179586,4.960409453036515,2.1543624011242137
-4.29902152596498,-6.283185307179586,5.621797380108051,2.504309593185
-4.29902152596498,-6.283185307179586,6.283185307179586,2.898000184253384
-3.6376335988934447,-6.283185307179586,-6.283185307179586,2.635539790207795
-3.6376335988934447,-6.283185307179586,-5.621797380108051,2.2418491991394105
-3.6376335988934447,-6.283185307179586,-4.960409453036515,1.891902007078624
-3.6376335988934447,-6.283185307179586,-4.29902152596498,1.5856982140254365
-3.6376335988934447,-6.283185307179586,-3.6376335988934447,1.3232378199798471
-3.6376335988934447,-6.283185307179586,-2.9762456718219092,1.1045208249418559
-3.6376335988934447,-6.283185307179586,-2.314857744750374,0.9295472289114629
-3.6376335988934447,-6.283185307179586,-1.6534698176788387,0.7983170318886682
-3.6376335988934447,-6.283185307179586,-0.9920818906073032,0.7108302338734717
-3.6376335988934447,-6.283185307179586,-0.33069396353576774,0.6670868348658734
-3.6376335988934447,-6.283185307179586,0.33069396353576774,0.6670868348658734
-3.6376335988934447,-6.283185307179586,0.9920818906073032,0.7108302338734717
