param,val,e_flux
theta,-6.283185307179586,7.2893978247479305
phi,-6.283185307179586,0.5243227338078721
theta,-6.156252270670907,7.002336986957004
phi,-6.156252270670907,0.6755697543614682
theta,-6.029319234162229,6.721134533610791
phi,-6.029319234162229,1.1196154891849
theta,-5.90238619765355,6.44579046470929
phi,-5.90238619765355,1.8279954533971756
theta,-5.775453161144872,6.1763047802525035
phi,-5.775453161144872,2.755300651482671
theta,-5.648520124636193,5.91267748024043
phi,-5.648520124636193,3.842088411840302
theta,-5.521587088127515,5.654908564673068
phi,-5.521587088127515,5.018692816418037
theta,-5.394654051618836,5.402998033550419
phi,-5.394654051618836,4.276764209160517
theta,-5.267721015110158,5.156945886872483
phi,-5.267721015110158,3.147719355250374
theta,-5.140787978601479,4.916752124639259
phi,-5.140787978601479,2.153002005508125
theta,-5.013854942092801,4.682416746850749
phi,-5.013854942092801,1.3563761255394111
theta,-4.886921905584122,4.45393975350695
phi,-4.886921905584122,0.8089075032527556
theta,-4.759988869075444,4.231321144607866
phi,-4.759988869075444,0.5456902992262382
theta,-4.6330558325667655,4.014560920153492
phi,-4.6330558325667655,0.5835974198675943
theta,-4.5061227960580865,3.803659080143832
phi,-4.5061227960580865,0.9201989202910654
theta,-4.3791897595494085,3.5986156245788856
phi,-4.3791897595494085,1.5339177700956328
theta,-4.25225672304073,3.3994305534586524
phi,-4.25225672304073,2.3854129970537565
theta,-4.1253236865320515,3.2061038667831303
phi,-4.1253236865320515,3.4201015456078183
theta,-3.998390650023373,3.018635564552322
phi,-3.998390650023373,4.571657192494857
theta,-3.8714576135146945,2.837025646766226
phi,-3.8714576135146945,4.720192446236746
theta,-3.744524577006016,2.661274113424843
phi,-3.744524577006016,3.5591153038080097
theta,-3.6175915404973376,2.491380964528173
phi,-3.6175915404973376,2.505994116764074
theta,-3.490658503988659,2.327346200076215
phi,-3.490658503988659,1.628336688368477
theta,-3.3637254674799806,2.16916982006897
phi,-3.3637254674799806,0.9824031392396451
theta,-3.2367924309713016,2.0168518245064377
phi,-3.2367924309713016,0.609599487500057
theta,-3.109859394462623,1.8703922133886188
phi,-3.109859394462623,0.5338234154745837
theta,-2.9829263579539447,1.7297909867155123
phi,-2.9829263579539447,0.7599323661862233
theta,-2.855993321445266,1.5950481444871185
phi,-2.855993321445266,1.2734321686425447
theta,-2.7290602849365877,1.4661636867034376
phi,-2.7290602849365877,2.0414061518406683
theta,-2.602127248427909,1.3431376133644695
phi,-2.602127248427909,3.0146251888699696
theta,-2.4751942119192307,1.225969924470214
phi,-2.4751942119192307,4.130703411805294
theta,-2.3482611754105522,1.1146606200206715
phi,-2.3482611754105522,5.168357368287449
theta,-2.2213281389018737,1.0092097000158418
phi,-2.2213281389018737,3.9857628317392004
theta,-2.094395102393195,0.9096171644557243
phi,-2.094395102393195,2.8837750359432914
theta,-1.9674620658845168,0.8158830133403203
phi,-1.9674620658845168,1.9330342607009834
theta,-1.8405290293758378,0.7280072466696285
phi,-1.8405290293758378,1.1944854589761666
theta,-1.7135959928671598,0.64598986444365
phi,-1.7135959928671598,0.7154715271237407
theta,-1.5866629563584809,0.5698308666623838
phi,-1.5866629563584809,0.5266985022739146
theta,-1.4597299198498028,0.4995302533258308
phi,-1.4597299198498028,0.6402672256022407
theta,-1.332796883341124,0.4350880244339901
phi,-1.332796883341124,1.0488976469818592
theta,-1.2058638468324459,0.3765041799868627
phi,-1.2058638468324459,1.726395495104422
theta,-1.078930810323767,0.32377871998444757
phi,-1.078930810323767,2.6293313983029343
theta,-0.9519977738150889,0.27691164442674565
phi,-0.9519977738150889,3.6998248200706514
theta,-0.82506473730641,0.23590295331375608
phi,-0.82506473730641,4.86925435177896
theta,-0.6981317007977319,0.20075264664547962
phi,-0.6981317007977319,4.423798152963002
theta,-0.571198664289053,0.17146072442191565
phi,-0.571198664289053,3.2829235205408818
theta,-0.4442656277803749,0.1480271866430647
phi,-0.4442656277803749,2.267709454138305
theta,-0.317332591271696,0.1304520333089263
phi,-0.317332591271696,1.4432338121330348
theta,-0.19039955476301706,0.11873526441950075
phi,-0.19039955476301706,0.8623476245117626
theta,-0.06346651825433902,0.11287687997478803
phi,-0.06346651825433902,0.5622872045828528
theta,0.06346651825433991,0.11287687997478806
phi,0.06346651825433991,0.562287204582854
theta,0.19039955476301795,0.11873526441950082
phi,0.19039955476301795,0.8623476245117656
theta,0.3173325912716969,0.1304520333089264
phi,0.3173325912716969,1.44323381213304
theta,0.4442656277803749,0.1480271866430647
phi,0.4442656277803749,2.267709454138305
theta,0.5711986642890539,0.17146072442191584
phi,0.5711986642890539,3.2829235205408893
theta,0.6981317007977319,0.20075264664547962
phi,0.6981317007977319,4.423798152963002
theta,0.8250647373064108,0.23590295331375635
phi,0.8250647373064108,4.8692543517789515
theta,0.9519977738150889,0.27691164442674565
phi,0.9519977738150889,3.6998248200706514
theta,1.0789308103237678,0.32377871998444796
phi,1.0789308103237678,2.629331398302927
theta,1.2058638468324459,0.3765041799868627
phi,1.2058638468324459,1.726395495104422
